combo,count,wins,losses,wr,avg_R
Session quality + Confluence quality,136,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Session quality + Min confidence,119,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Confluence quality + Min confidence,87,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Session quality + Confluence quality + Min confidence,87,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Min confidence + S/R zone alignment,84,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Confluence quality + Min confidence + Risk approved + Session quality + Valid signal,37,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE

--- pairwise co-occurrence (primary 6 filters) ---
Risk approved + Valid signal,291,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Confluence quality + Session quality,136,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Min confidence + Session quality,119,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Confluence quality + Min confidence,87,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Min confidence + S/R zone alignment,84,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Risk approved + Session quality,75,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Min confidence + Risk approved,67,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Confluence quality + Risk approved,66,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Session quality + Valid signal,63,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Min confidence + Valid signal,59,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Confluence quality + Valid signal,55,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
S/R zone alignment + Session quality,35,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Confluence quality + S/R zone alignment,27,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Risk approved + S/R zone alignment,12,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
