filter,blocked_count,hypothetical_wins,hypothetical_losses,hypothetical_wr,avg_R,potential_wins_lost,potential_losses_avoided
S/R zone alignment,397,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Risk approved,329,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Valid signal,291,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Min confidence,218,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Session quality,168,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Confluence quality,136,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Trend alignment (regime),47,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Zone cooldown (duplicate entry),34,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Signal persistence,34,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Execution filter: news_intelligence,8,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
Execution filter: confluence_avoid,8,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE,OUTCOME_NOT_AVAILABLE
