symbol,entry_time,signal,score,outcome,r_multiple
EURAUD,2025-07-30 00:00:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-07-30 02:00:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-07-30 08:45:00+00:00,SELL,3,WIN,1.0
EURAUD,2025-07-30 12:30:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-07-30 18:00:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-07-30 19:00:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-07-30 20:15:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-07-31 15:00:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-07-31 15:30:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-07-31 20:30:00+00:00,BUY,3,LOSS,-1.0
EURAUD,2025-08-01 00:00:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-01 01:30:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-08-01 14:15:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-08-01 19:45:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-04 00:00:00+00:00,BUY,2,LOSS,-1.0
EURAUD,2025-08-04 01:00:00+00:00,BUY,4,WIN,1.0
EURAUD,2025-08-04 15:30:00+00:00,SELL,3,WIN,1.0
EURAUD,2025-08-04 16:30:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-08-04 17:00:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-08-04 17:30:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-08-04 18:00:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-04 18:30:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-04 19:30:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-05 00:00:00+00:00,BUY,3,LOSS,-1.0
EURAUD,2025-08-05 12:45:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-08-05 15:30:00+00:00,SELL,3,WIN,1.0
EURAUD,2025-08-05 16:00:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-05 17:30:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-06 04:45:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-08-06 14:45:00+00:00,SELL,4,LOSS,-1.0
EURAUD,2025-08-06 18:45:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-08-06 19:15:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-07 00:00:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-07 01:30:00+00:00,BUY,3,LOSS,-1.0
EURAUD,2025-08-07 06:30:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-11 14:45:00+00:00,SELL,4,LOSS,-1.0
EURAUD,2025-08-12 08:30:00+00:00,SELL,3,WIN,1.0
EURAUD,2025-08-12 09:00:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-08-12 12:45:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-08-12 14:00:00+00:00,SELL,3,WIN,1.0
EURAUD,2025-08-12 15:30:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-08-14 12:45:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-08-14 13:15:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-08-14 14:00:00+00:00,SELL,3,WIN,1.0
EURAUD,2025-08-14 14:45:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-15 00:15:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-08-15 02:30:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-08-15 09:45:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-15 10:45:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-08-15 14:15:00+00:00,SELL,4,LOSS,-1.0
EURAUD,2025-08-15 15:00:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-08-15 17:15:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-08-15 18:15:00+00:00,SELL,3,WIN,1.0
EURAUD,2025-08-15 19:45:00+00:00,BUY,3,LOSS,-1.0
EURAUD,2025-08-18 08:15:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-08-18 15:15:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-18 16:00:00+00:00,BUY,2,WIN,1.0
EURAUD,2025-08-19 08:15:00+00:00,SELL,3,WIN,1.0
EURAUD,2025-08-19 09:15:00+00:00,BUY,3,WIN,1.0
EURAUD,2025-08-19 15:30:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-19 20:45:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-08-20 02:45:00+00:00,SELL,4,LOSS,-1.0
EURAUD,2025-08-20 04:00:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-20 04:45:00+00:00,BUY,3,WIN,1.0
EURAUD,2025-08-20 14:15:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-08-20 15:00:00+00:00,BUY,2,LOSS,-1.0
EURAUD,2025-08-22 08:30:00+00:00,SELL,4,WIN,1.0
EURAUD,2025-08-25 15:00:00+00:00,SELL,3,WIN,1.0
EURAUD,2025-08-27 01:45:00+00:00,SELL,3,WIN,1.0
EURAUD,2025-08-28 09:00:00+00:00,SELL,3,LOSS,-1.0
EURAUD,2025-08-28 14:00:00+00:00,SELL,3,WIN,1.0
EURAUD,2025-08-28 14:30:00+00:00,SELL,2,WIN,1.0
EURAUD,2025-08-29 02:45:00+00:00,SELL,2,LOSS,-1.0
EURAUD,2025-09-01 03:15:00+00:00,SELL,2,LOSS,-1.0
