trade_id,symbol,direction,entry_time,entry_price,requested_entry,stop_loss,take_profit,lot_size,confidence,strategy,exit_time,exit_price,exit_reason,pnl_pips,pnl_usd,commission_usd,slippage_pips,hold_bars,confluence_factors,quality_grade
1,EURUSD,BUY,2026-05-21T19:00:00,1.1597,1.15952,1.15739,1.16379,0.64,85,stop_hunt,2026-05-25T00:00:00,1.16372,TP,40.2,250.65,6.58,1.8,29,25,B
2,EURUSD,SELL,2026-05-25T14:00:00,1.16109,1.16117,1.16204,1.15944,1.0,60,stop_hunt,2026-05-25T15:00:00,1.16217,SL,-10.8,-114.54,7.0,0.8,1,37,B
3,EURUSD,BUY,2026-05-26T12:00:00,1.16444,1.16426,1.16229,1.1682,1.0,60,stop_hunt,2026-05-26T16:00:00,1.16217,SL,-22.7,-234.13,7.0,1.8,4,34,B
4,EURUSD,SELL,2026-05-27T17:00:00,1.16404,1.16413,1.1663,1.15978,0.91,85,stop_hunt,2026-05-28T06:00:00,1.15981,TP,42.3,378.27,6.37,0.9,13,27,B
5,EURUSD,BUY,2026-05-29T09:00:00,1.16535,1.16534,1.16331,1.1694,1.0,30,stop_hunt,2026-05-29T11:00:00,1.16322,SL,-21.3,-220.46,7.0,0.1,2,26,B
6,EURUSD,SELL,2026-06-01T13:00:00,1.16514,1.16543,1.16706,1.16217,1.0,85,stop_hunt,2026-06-01T16:00:00,1.16223,TP,29.1,283.99,7.0,2.9,3,22,B
8,EURUSD,SELL,2026-06-03T11:00:00,1.16069,1.16094,1.16234,1.15813,1.0,30,stop_hunt,2026-06-04T12:00:00,1.16244,SL,-17.5,-182.26,7.0,2.5,25,20,B
7,EURUSD,SELL,2026-06-03T08:00:00,1.16257,1.16283,1.1651,1.15828,0.91,85,stop_hunt,2026-06-05T16:00:00,1.15849,TP,40.8,365.13,6.37,2.6,56,24,B
9,EURUSD,SELL,2026-06-03T12:00:00,1.1626,1.16283,1.1651,1.1583,0.91,85,stop_hunt,2026-06-05T16:00:00,1.15841,TP,41.9,375.2,6.37,2.3,52,19,B
11,EURUSD,SELL,2026-06-11T09:00:00,1.15472,1.15481,1.15578,1.15286,1.0,60,stop_hunt,2026-06-11T12:00:00,1.15296,TP,17.6,168.72,7.0,0.9,3,26,B
12,EURUSD,BUY,2026-06-11T14:00:00,1.15387,1.15378,1.15206,1.15722,1.0,85,stop_hunt,2026-06-11T15:00:00,1.15193,SL,-19.4,-201.39,7.0,0.9,1,33,B
10,EURUSD,SELL,2026-06-10T23:00:00,1.15328,1.15351,1.15587,1.1488,0.92,60,stop_hunt,2026-06-11T20:00:00,1.1559,SL,-26.2,-247.61,6.44,2.3,21,30,B
13,EURUSD,BUY,2026-06-30T17:00:00,1.14289,1.14249,1.14038,1.14672,1.0,60,stop_hunt,2026-07-01T04:00:00,1.14029,SL,-26.0,-266.82,7.0,4.0,11,25,B
14,EURUSD,BUY,2026-07-01T01:00:00,1.14227,1.142,1.14065,1.14637,1.0,60,stop_hunt,2026-07-01T04:00:00,1.14058,SL,-16.9,-175.97,7.0,2.7,3,25,B
15,EURUSD,BUY,2026-07-03T04:00:00,1.1453,1.14514,1.14005,1.15532,0.4,85,stop_hunt,2026-07-08T00:00:00,1.13989,SL,-54.1,-219.19,2.8,1.6,68,32,B
16,EURUSD,BUY,2026-07-09T09:00:00,1.1445,1.1442,1.14216,1.14829,0.98,85,stop_hunt,2026-07-09T13:00:00,1.14211,SL,-23.9,-241.52,6.86,3.0,4,31,B
17,EURUSD,BUY,2026-07-15T05:00:00,1.14485,1.1446,1.13932,1.15517,0.37,85,stop_hunt,2026-07-15T15:00:00,1.14271,end_of_backtest,-21.4,-81.8,2.59,2.5,10,21,B
