pattern,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
Three Outside Up,60,40,20,0,0.6667,0.5406,0.7727,0.3333,1.0,0.3333,0.1,0.5667,2.0,-7.0,7,True,False,False,False,1.3701542589289646
Three Inside Up,37,23,14,0,0.6216,0.461,0.7594,0.2432,1.0,0.2432,-0.0811,0.5676,1.6429,-2.0,2,True,False,False,False,0.884660954045457
Bullish Separating Lines,102,58,44,0,0.5686,0.4717,0.6605,0.1373,1.0,0.1373,-0.0588,0.3333,1.3182,-8.0,4,True,True,False,False,0.636348290083929
Upside Gap Two Crows,33,18,15,0,0.5455,0.3799,0.7016,0.0909,1.0,0.0909,-0.2727,0.3939,1.2,-5.0,5,True,False,False,False,0.32054617168760907
Three Outside Down,50,27,23,0,0.54,0.404,0.6703,0.08,1.0,0.08,-0.2,0.32,1.1739,-6.0,4,True,False,False,False,0.31454605061794605
Tweezer Top,376,194,182,0,0.516,0.4655,0.5661,0.0319,1.0,0.0319,-0.0745,0.1277,1.0659,-10.0,5,True,True,True,False,0.18923862147959153
Dark Cloud Cover,209,108,101,0,0.5167,0.4493,0.5836,0.0335,1.0,0.0335,-0.1005,0.177,1.0693,-13.0,6,True,True,False,False,0.1791281022790352
Hanging Man,212,108,103,1,0.5094,0.4426,0.576,0.0242,1.0,0.0242,-0.1078,0.1563,1.0499,-16.859,5,True,True,False,False,0.1297432704101681
Bearish Separating Lines,79,40,39,0,0.5063,0.3984,0.6137,0.0127,1.0,0.0127,-0.2152,0.2405,1.0256,-7.0,5,True,False,False,False,0.05565173826035829
Tweezer Bottom,397,199,198,0,0.5013,0.4523,0.5502,0.0025,1.0,0.0025,-0.0932,0.0982,1.0051,-25.0,10,True,True,True,False,0.014966130013211095
Shooting Star,182,91,91,0,0.5,0.4281,0.5719,0.0,-0.0,0.0,-0.1429,0.1429,1.0,-13.0,9,True,True,False,False,0.0
Inverted Hammer,201,100,101,0,0.4975,0.4291,0.566,-0.005,-1.0,-0.005,-0.1443,0.1443,0.9901,-11.0,5,True,True,False,False,-0.026541338487006027
Evening Doji Star,310,154,156,0,0.4968,0.4415,0.5521,-0.0065,-1.0,-0.0065,-0.1226,0.1097,0.9872,-26.0,11,True,True,True,False,-0.03730865392916502
Morning Doji Star,298,146,152,0,0.4899,0.4337,0.5465,-0.0201,-1.0,-0.0201,-0.1342,0.0872,0.9605,-24.0,7,True,True,False,False,-0.11457891582515281
Bullish Engulfing,491,239,252,0,0.4868,0.4428,0.5309,-0.0265,-1.0,-0.0265,-0.1161,0.0631,0.9484,-31.0,10,True,True,True,False,-0.16425968598704616
Bearish Engulfing,534,257,277,0,0.4813,0.4392,0.5236,-0.0375,-1.0,-0.0375,-0.1162,0.0413,0.9278,-45.0,9,True,True,True,False,-0.23558500300860022
Piercing Line,215,102,113,0,0.4744,0.4087,0.541,-0.0512,-1.0,-0.0512,-0.1907,0.0791,0.9027,-17.0,6,True,True,False,False,-0.2752142544734293
Morning Star,167,78,89,0,0.4671,0.393,0.5426,-0.0659,-1.0,-0.0659,-0.2216,0.0781,0.8764,-23.0,7,True,True,False,False,-0.33766922624267476
Three White Soldiers,625,317,303,5,0.5072,0.4681,0.5462,,,,,,1.0475,,9,True,True,True,False,
Bearish Kicker,1063,529,532,2,0.4976,0.4677,0.5277,,,,,,0.9944,,10,True,True,True,False,
Three Black Crows,677,323,352,2,0.4771,0.4397,0.5148,,,,,,0.9196,,9,True,True,True,False,
Bearish Counterattack,250,124,125,1,0.496,0.4346,0.5576,,,,,,0.992,,8,True,True,False,False,
Bullish Kicker,1054,529,520,5,0.5019,0.4718,0.532,,,,,,1.0177,,8,True,True,True,False,
Three Inside Down,29,15,14,0,0.5172,0.3443,0.6861,0.0345,1.0,0.0345,-0.3103,0.3793,1.0714,-3.0,4,False,False,False,True,
Evening Star,177,83,93,1,0.4689,0.3968,0.5423,,,,,,0.8925,,6,True,True,False,False,
Hammer,207,106,100,1,0.5121,0.4444,0.5793,,,,,,1.06,,6,True,True,False,False,
Bullish Counterattack,283,128,154,1,0.4523,0.3953,0.5105,,,,,,0.8312,,9,True,True,False,False,
Bearish Harami,25,16,9,0,0.64,0.4452,0.7975,0.28,1.0,0.28,-0.12,0.68,1.7778,-3.0,3,False,False,False,True,
Bullish Harami,18,8,10,0,0.4444,0.2456,0.6628,-0.1111,-1.0,-0.1111,-0.5556,0.3333,0.8,-5.0,5,False,False,False,True,
