pattern,month,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
Tweezer Top,2018-03,69,46,23,0,0.6667,0.5493,0.7665,0.3333,1.0,0.3333,0.1014,0.5362,2.0,-3.0,3,True,False,False,False,1.4160234641750513
Three White Soldiers,2018-07,95,62,33,0,0.6526,0.5526,0.7408,0.3053,1.0,0.3053,0.0947,0.4947,1.8788,-3.0,2,True,False,False,False,1.3934955028551304
Bearish Kicker,2018-09,42,27,15,0,0.6429,0.4917,0.7701,0.2857,1.0,0.2857,-0.0,0.5714,1.8,-4.0,4,True,False,False,False,1.0745748730536508
Morning Doji Star,2018-07,44,28,16,0,0.6364,0.4887,0.7622,0.2727,1.0,0.2727,-0.0455,0.5455,1.75,-3.0,3,True,False,False,False,1.038076860960366
Bearish Counterattack,2018-03,49,31,18,0,0.6327,0.4927,0.7534,0.2653,1.0,0.2653,-0.0204,0.5102,1.7222,-4.0,4,True,False,False,False,1.0378597033400871
Bearish Kicker,2018-05,205,120,85,0,0.5854,0.517,0.6506,0.1707,1.0,0.1707,0.0439,0.3073,1.4118,-8.0,6,True,True,False,False,0.9094684620123815
Hammer,2018-06,37,23,14,0,0.6216,0.461,0.7594,0.2432,1.0,0.2432,-0.0811,0.5135,1.6429,-4.0,4,True,False,False,False,0.884660954045457
Tweezer Bottom,2018-07,56,34,22,0,0.6071,0.4763,0.7242,0.2143,1.0,0.2143,-0.0714,0.4643,1.5455,-5.0,4,True,False,False,False,0.8664258866969441
Inverted Hammer,2018-03,36,22,14,0,0.6111,0.4486,0.7522,0.2222,1.0,0.2222,-0.0556,0.5556,1.5714,-3.0,3,True,False,False,False,0.8023459601895467
Bullish Engulfing,2018-03,99,58,41,0,0.5859,0.4874,0.6779,0.1717,1.0,0.1717,-0.0303,0.3535,1.4146,-3.0,3,True,False,False,False,0.7907077209341553
Morning Doji Star,2018-03,59,35,24,0,0.5932,0.4659,0.7091,0.1864,1.0,0.1864,-0.0508,0.4237,1.4583,-5.0,3,True,False,False,False,0.7631858263981995
Shooting Star,2018-04,33,20,13,0,0.6061,0.4368,0.7532,0.2121,1.0,0.2121,-0.0909,0.5152,1.5385,-3.0,2,True,False,False,False,0.7479410672710879
Evening Star,2018-06,33,20,13,0,0.6061,0.4368,0.7532,0.2121,1.0,0.2121,-0.1515,0.5758,1.5385,-4.0,3,True,False,False,False,0.7479410672710879
Bullish Engulfing,2018-04,76,44,32,0,0.5789,0.4668,0.6835,0.1579,1.0,0.1579,-0.0526,0.3684,1.375,-6.0,6,True,False,False,False,0.6858868761106968
Bullish Kicker,2018-09,46,27,19,0,0.587,0.4434,0.7171,0.1739,1.0,0.1739,-0.1304,0.4348,1.4211,-4.0,4,True,False,False,False,0.6695406679373792
Bearish Kicker,2018-07,181,102,79,0,0.5635,0.4907,0.6337,0.1271,1.0,0.1271,-0.0276,0.2707,1.2911,-8.0,4,True,True,False,False,0.6614292499274607
Bearish Engulfing,2018-05,82,47,35,0,0.5732,0.4652,0.6746,0.1463,1.0,0.1463,-0.0732,0.3659,1.3429,-8.0,6,True,False,False,False,0.6464763809206424
Three White Soldiers,2018-06,120,68,52,0,0.5667,0.4773,0.6519,0.1333,1.0,0.1333,-0.05,0.3,1.3077,-6.0,5,True,True,False,False,0.6392788797280456
Dark Cloud Cover,2018-06,36,21,15,0,0.5833,0.422,0.7286,0.1667,1.0,0.1667,-0.1125,0.5,1.4,-6.0,5,True,False,False,False,0.6019400160377921
Bullish Kicker,2018-11,47,27,20,0,0.5745,0.4328,0.7049,0.1489,1.0,0.1489,-0.1489,0.4468,1.35,-5.0,5,True,False,False,False,0.576421830524185
Three White Soldiers,2018-02,98,55,43,0,0.5612,0.4625,0.6553,0.1224,1.0,0.1224,-0.0816,0.3061,1.2791,-7.0,6,True,False,False,False,0.5624426696564737
Inverted Hammer,2018-02,31,18,13,0,0.5806,0.4077,0.7358,0.1613,1.0,0.1613,-0.1613,0.4839,1.3846,-3.0,3,True,False,False,False,0.5590232011215959
Bearish Kicker,2018-08,42,24,18,0,0.5714,0.4221,0.7088,0.1429,1.0,0.1429,-0.1429,0.4286,1.3333,-4.0,3,True,False,False,False,0.5374754965326101
Dark Cloud Cover,2018-04,33,19,14,0,0.5758,0.4081,0.7276,0.1515,1.0,0.1515,-0.2121,0.4545,1.3571,-4.0,4,True,False,False,False,0.5342436194793485
Bearish Kicker,2018-03,173,95,78,0,0.5491,0.4747,0.6214,0.0983,1.0,0.0983,-0.052,0.2486,1.2179,-9.0,5,True,True,False,False,0.5071351359127882
Bullish Kicker,2018-02,190,104,86,0,0.5474,0.4764,0.6165,0.0947,1.0,0.0947,-0.0526,0.2316,1.2093,-13.0,7,True,True,False,False,0.4973902936360159
Dark Cloud Cover,2018-01,30,17,13,0,0.5667,0.392,0.7262,0.1333,1.0,0.1333,-0.2,0.4667,1.3077,-2.0,2,True,False,False,False,0.45775049435787
Bullish Counterattack,2018-04,43,24,19,0,0.5581,0.4111,0.6957,0.1163,1.0,0.1163,-0.1628,0.3953,1.2632,-3.0,3,True,False,False,False,0.4401012544246938
Evening Star,2018-02,36,20,16,0,0.5556,0.3958,0.7046,0.1111,1.0,0.1111,-0.2222,0.4444,1.25,-3.0,3,True,False,False,False,0.40117298009477337
Hammer,2018-05,46,25,21,0,0.5435,0.4018,0.6785,0.087,1.0,0.087,-0.2174,0.3478,1.1905,-4.0,3,True,False,False,False,0.3349628413487751
Hanging Man,2018-03,39,21,18,0,0.5385,0.3857,0.6843,0.0769,1.0,0.0769,-0.2308,0.3846,1.1667,-6.0,6,True,False,False,False,0.2836748300213617
Piercing Line,2018-05,39,21,18,0,0.5385,0.3857,0.6843,0.0769,1.0,0.0769,-0.2308,0.3846,1.1667,-6.0,6,True,False,False,False,0.2836748300213617
Evening Doji Star,2018-05,60,32,28,0,0.5333,0.4089,0.6537,0.0667,1.0,0.0667,-0.2,0.3,1.1429,-6.0,6,True,False,False,False,0.27419528674035987
Tweezer Top,2018-01,72,38,34,0,0.5278,0.414,0.6387,0.0556,1.0,0.0556,-0.1667,0.2778,1.1176,-6.0,3,True,False,False,False,0.23854954492785052
Bearish Counterattack,2018-06,51,27,24,0,0.5294,0.3952,0.6595,0.0588,1.0,0.0588,-0.2157,0.3333,1.125,-5.0,4,True,False,False,False,0.23233313065258793
Hammer,2018-04,30,16,14,0,0.5333,0.3614,0.6977,0.0667,1.0,0.0667,-0.2667,0.4,1.1429,-11.0,11,True,False,False,False,0.22904694653915925
Morning Doji Star,2018-06,57,30,27,0,0.5263,0.3992,0.6501,0.0526,1.0,0.0526,-0.193,0.2982,1.1111,-7.0,4,True,False,False,False,0.21357930235474165
Evening Doji Star,2018-02,57,30,27,0,0.5263,0.3992,0.6501,0.0526,1.0,0.0526,-0.193,0.2982,1.1111,-6.0,4,True,False,False,False,0.21357930235474165
Bearish Counterattack,2018-07,36,19,17,0,0.5278,0.3701,0.6801,0.0556,1.0,0.0556,-0.2778,0.3889,1.1176,-4.0,3,True,False,False,False,0.20076703594301887
Tweezer Top,2018-05,65,34,31,0,0.5231,0.4038,0.6398,0.0462,1.0,0.0462,-0.2,0.2615,1.0968,-5.0,5,True,False,False,False,0.19356204908162084
Shooting Star,2018-01,38,20,18,0,0.5263,0.3726,0.6752,0.0526,1.0,0.0526,-0.2632,0.3684,1.1111,-9.0,5,True,False,False,False,0.19270334258641938
Piercing Line,2018-06,38,20,18,0,0.5263,0.3726,0.6752,0.0526,1.0,0.0526,-0.2632,0.3684,1.1111,-3.0,3,True,False,False,False,0.19270334258641938
Piercing Line,2018-03,40,21,19,0,0.525,0.375,0.6706,0.05,1.0,0.05,-0.25,0.35,1.1053,-4.0,5,True,False,False,False,0.1856786033352154
Three White Soldiers,2018-04,118,61,57,0,0.5169,0.4277,0.6051,0.0339,1.0,0.0339,-0.1356,0.2034,1.0702,-14.0,6,True,True,False,False,0.16201228641648086
Evening Doji Star,2018-03,50,26,24,0,0.52,0.3851,0.652,0.04,1.0,0.04,-0.24,0.32,1.0833,-9.0,8,True,False,False,False,0.15727302530897302
Tweezer Top,2018-07,56,29,27,0,0.5179,0.3901,0.6433,0.0357,1.0,0.0357,-0.2143,0.2857,1.0741,-7.0,7,True,False,False,False,0.14433693026169345
Bullish Kicker,2018-06,186,95,91,0,0.5108,0.4394,0.5816,0.0215,1.0,0.0215,-0.1183,0.172,1.044,-17.0,6,True,True,False,False,0.11246883526237361
Dark Cloud Cover,2018-05,35,18,17,0,0.5143,0.3557,0.6701,0.0286,1.0,0.0286,-0.3143,0.3714,1.0588,-5.0,5,True,False,False,False,0.10248864163984475
Evening Doji Star,2018-01,55,28,27,0,0.5091,0.3808,0.6362,0.0182,1.0,0.0182,-0.2364,0.2727,1.037,-9.0,6,True,False,False,False,0.07326140077137973
Tweezer Bottom,2018-01,69,35,34,0,0.5072,0.3921,0.6217,0.0145,1.0,0.0145,-0.2181,0.2464,1.0294,-9.0,5,True,False,False,False,0.061603181009715714
Bearish Engulfing,2018-04,81,41,40,0,0.5062,0.3995,0.6123,0.0123,1.0,0.0123,-0.2099,0.2099,1.025,-9.0,5,True,False,False,False,0.054202646741350315
Bullish Engulfing,2018-06,91,46,45,0,0.5055,0.4046,0.6059,0.011,1.0,0.011,-0.1868,0.2088,1.0222,-8.0,5,True,False,False,False,0.04973967434753944
Tweezer Bottom,2018-05,72,36,36,0,0.5,0.3875,0.6125,0.0,-0.0,0.0,-0.2222,0.2222,1.0,-8.0,6,True,False,False,False,0.0
Bullish Kicker,2018-10,40,20,20,0,0.5,0.352,0.648,-0.0,-0.0,-0.0,-0.3,0.3,1.0,-7.0,6,True,False,False,False,-0.0
Hanging Man,2018-07,36,18,18,0,0.5,0.3447,0.6553,-0.0,0.0,-0.0,-0.3333,0.3333,1.0,-7.0,7,True,False,False,False,-0.0
Shooting Star,2018-05,30,15,15,0,0.5,0.3315,0.6685,0.0,0.0,0.0,-0.3333,0.3333,1.0,-5.0,5,True,False,False,False,0.0
Morning Doji Star,2018-05,46,23,23,0,0.5,0.3612,0.6388,-0.0,-0.0,-0.0,-0.3043,0.3043,1.0,-6.0,5,True,False,False,False,-0.0
Bearish Counterattack,2018-05,40,20,20,0,0.5,0.352,0.648,-0.0,0.0,-0.0,-0.3,0.3,1.0,-5.0,5,True,False,False,False,-0.0
Hanging Man,2018-05,34,17,17,0,0.5,0.3407,0.6593,0.0,-0.0,0.0,-0.3529,0.3529,1.0,-6.0,4,True,False,False,False,0.0
Morning Doji Star,2018-04,50,25,25,0,0.5,0.3664,0.6336,0.0,0.0,0.0,-0.28,0.28,1.0,-6.0,6,True,False,False,False,0.0
Dark Cloud Cover,2018-07,32,16,16,0,0.5,0.3363,0.6637,-0.0,-0.0,-0.0,-0.3125,0.3141,1.0,-4.0,3,True,False,False,False,-0.0
Bullish Kicker,2018-08,40,20,20,0,0.5,0.352,0.648,-0.0,0.0,-0.0,-0.3,0.3,1.0,-6.0,6,True,False,False,False,-0.0
Bearish Engulfing,2018-06,91,45,46,0,0.4945,0.3941,0.5954,-0.011,-1.0,-0.011,-0.2088,0.1868,0.9783,-10.0,6,True,False,False,False,-0.04973967434753944
Tweezer Bottom,2018-04,73,36,37,0,0.4932,0.3817,0.6053,-0.0137,-1.0,-0.0137,-0.2329,0.2055,0.973,-10.0,9,True,False,False,False,-0.05896569177689713
Tweezer Top,2018-02,59,29,30,0,0.4915,0.3684,0.6157,-0.0169,-1.0,-0.0169,-0.2881,0.2203,0.9667,-9.0,4,True,False,False,False,-0.06919442310155349
Bullish Counterattack,2018-03,55,27,28,0,0.4909,0.3638,0.6192,-0.0182,-1.0,-0.0182,-0.2727,0.2364,0.9643,-8.0,4,True,False,False,False,-0.07326140077137973
Bearish Counterattack,2018-04,51,25,26,0,0.4902,0.3586,0.6232,-0.0196,-1.0,-0.0196,-0.2941,0.2549,0.9615,-7.0,5,True,False,False,False,-0.07744437688419598
Three Black Crows,2018-06,110,54,56,0,0.4909,0.3994,0.5831,-0.0182,-1.0,-0.0182,-0.2,0.1636,0.9643,-10.0,6,True,True,False,False,-0.08571344966388449
Dark Cloud Cover,2018-02,43,21,22,0,0.4884,0.3462,0.6325,-0.0233,-1.0,-0.0233,-0.3023,0.3023,0.9545,-6.0,5,True,False,False,False,-0.08817161847029549
Hanging Man,2018-01,41,20,21,0,0.4878,0.3425,0.6352,-0.0244,-1.0,-0.0244,-0.3171,0.2683,0.9524,-7.0,5,True,False,False,False,-0.09119913868611419
Dark Cloud Cover,2018-03,37,18,19,0,0.4865,0.3345,0.6411,-0.027,-1.0,-0.027,-0.3514,0.2973,0.9474,-6.0,3,True,False,False,False,-0.09821482631261241
Inverted Hammer,2018-06,31,15,16,0,0.4839,0.3197,0.6516,-0.0323,-1.0,-0.0323,-0.3548,0.3548,0.9375,-4.0,4,True,False,False,False,-0.11194326966043118
Bullish Kicker,2018-05,180,88,92,0,0.4889,0.4169,0.5614,-0.0222,-1.0,-0.0222,-0.1667,0.1222,0.9565,-13.0,7,True,True,False,False,-0.11540663409410135
Three Black Crows,2018-03,121,59,62,0,0.4876,0.4003,0.5757,-0.0248,-1.0,-0.0248,-0.1901,0.157,0.9516,-8.0,5,True,True,False,False,-0.11913972190938477
Bearish Kicker,2018-04,164,80,84,0,0.4878,0.4125,0.5637,-0.0244,-1.0,-0.0244,-0.1707,0.1341,0.9524,-14.0,5,True,True,False,False,-0.12458506956317417
Bearish Engulfing,2018-03,112,54,58,0,0.4821,0.3917,0.5737,-0.0357,-1.0,-0.0357,-0.2321,0.1429,0.931,-11.0,4,True,True,False,False,-0.16876774512803058
Evening Doji Star,2018-04,44,21,23,0,0.4773,0.3375,0.6206,-0.0455,-1.0,-0.0455,-0.3182,0.2273,0.913,-7.0,5,True,False,False,False,-0.17320314328454953
Three White Soldiers,2018-03,108,52,56,0,0.4815,0.3895,0.5747,-0.037,-1.0,-0.037,-0.2222,0.1667,0.9286,-11.0,6,True,True,False,False,-0.1735798716424783
Piercing Line,2018-02,38,18,20,0,0.4737,0.3248,0.6274,-0.0526,-1.0,-0.0526,-0.3684,0.2632,0.9,-9.0,6,True,False,False,False,-0.19270334258641938
Morning Star,2018-07,36,17,19,0,0.4722,0.3199,0.6299,-0.0556,-1.0,-0.0556,-0.3889,0.2778,0.8947,-8.0,4,True,False,False,False,-0.20076703594301887
Three Black Crows,2018-04,132,63,69,0,0.4773,0.3939,0.5619,-0.0455,-1.0,-0.0455,-0.2273,0.1212,0.913,-12.0,9,True,True,False,False,-0.22251088533408978
Bearish Kicker,2018-06,184,88,96,0,0.4783,0.4073,0.5501,-0.0435,-1.0,-0.0435,-0.1848,0.0978,0.9167,-17.0,6,True,True,False,False,-0.2270854783909071
Tweezer Bottom,2018-03,68,32,36,0,0.4706,0.3567,0.5876,-0.0588,-1.0,-0.0588,-0.2941,0.1765,0.8889,-7.0,4,True,False,False,False,-0.24896546247031887
Bullish Counterattack,2018-06,45,21,24,0,0.4667,0.3293,0.6092,-0.0667,-1.0,-0.0667,-0.3778,0.2444,0.875,-8.0,5,True,False,False,False,-0.2553703811458226
Three White Soldiers,2018-05,102,48,54,0,0.4706,0.3766,0.5668,-0.0588,-1.0,-0.0588,-0.2549,0.1373,0.8889,-22.0,8,True,True,False,False,-0.27252206450790256
Tweezer Top,2018-06,60,28,32,0,0.4667,0.3463,0.5911,-0.0667,-1.0,-0.0667,-0.3,0.2,0.875,-10.0,4,True,False,False,False,-0.27419528674035987
Bullish Kicker,2018-03,205,97,108,0,0.4732,0.4059,0.5414,-0.0537,-1.0,-0.0537,-0.1902,0.0927,0.8981,-17.0,7,True,True,False,False,-0.2861069502640005
Hanging Man,2018-04,37,17,20,0,0.4595,0.3104,0.6162,-0.0811,-1.0,-0.0811,-0.4054,0.2432,0.85,-7.0,4,True,False,False,False,-0.2950082375538099
Three White Soldiers,2018-09,35,16,19,0,0.4571,0.3047,0.6181,-0.0857,-1.0,-0.0857,-0.4286,0.2571,0.8421,-8.0,8,True,False,False,False,-0.30710757302568864
Inverted Hammer,2018-05,35,16,19,0,0.4571,0.3047,0.6181,-0.0857,-1.0,-0.0857,-0.4286,0.2014,0.8421,-5.0,3,True,False,False,False,-0.30710757302568864
Tweezer Bottom,2018-02,69,32,37,0,0.4638,0.3511,0.5802,-0.0725,-1.0,-0.0725,-0.3043,0.1594,0.8649,-13.0,9,True,False,False,False,-0.3080159050485785
