pattern,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
Bearish Separating Lines,35,21,14,0,0.6,0.4357,0.7445,0.2,1.0,0.2,-0.1429,0.4857,1.5,-3.0,3,True,False,False,False,0.716703787691222
Morning Doji Star,131,71,60,0,0.542,0.4567,0.6249,0.084,1.0,0.084,-0.0992,0.2519,1.1833,-10.0,4,True,True,False,False,0.4101553614972552
Three White Soldiers,299,159,140,0,0.5318,0.4752,0.5876,0.0635,1.0,0.0635,-0.0502,0.1773,1.1357,-14.0,9,True,True,False,False,0.36219018714066875
Morning Star,83,44,39,0,0.5301,0.4238,0.6338,0.0602,1.0,0.0602,-0.1807,0.2771,1.1282,-6.0,5,True,False,False,False,0.26673517129036745
Shooting Star,84,43,41,0,0.5119,0.4068,0.6159,0.0238,1.0,0.0238,-0.1905,0.2381,1.0488,-9.0,6,True,False,False,False,0.10573509990446954
Tweezer Bottom,169,82,87,0,0.4852,0.411,0.56,-0.0296,-1.0,-0.0296,-0.1834,0.1243,0.9425,-13.0,8,True,True,False,False,-0.15201963373668775
Inverted Hammer,90,43,47,0,0.4778,0.3776,0.5798,-0.0444,-1.0,-0.0444,-0.2444,0.1561,0.9149,-8.0,5,True,False,False,False,-0.20028216208934813
Bullish Separating Lines,37,17,20,0,0.4595,0.3104,0.6162,-0.0811,-1.0,-0.0811,-0.4054,0.2432,0.85,-4.0,3,True,False,False,False,-0.2950082375538099
Hammer,70,31,38,1,0.4429,0.3325,0.5592,-0.0928,-1.0,-0.0928,-0.3214,0.1357,0.829,-14.0,9,True,False,False,False,-0.39557669258943406
Bullish Engulfing,224,102,122,0,0.4554,0.3914,0.5208,-0.0893,-1.0,-0.0893,-0.2143,0.0446,0.8361,-32.0,9,True,True,False,False,-0.4836577659168547
Three Outside Up,35,15,20,0,0.4286,0.2798,0.5914,-0.1429,-1.0,-0.1429,-0.4857,0.2,0.75,-8.0,5,True,False,False,False,-0.5120848563053781
Evening Star,87,41,44,2,0.4713,0.3698,0.5751,,,,,,0.9318,,9,True,False,False,False,
Bearish Kicker,458,230,224,4,0.5022,0.4566,0.5478,,,,,,1.0268,,7,True,True,True,False,
Evening Doji Star,155,75,79,1,0.4839,0.4065,0.562,,,,,,0.9494,,6,True,True,False,False,
Bullish Counterattack,118,59,57,2,0.5,0.4112,0.5888,,,,,,1.0351,,7,True,True,False,False,
Bullish Kicker,474,239,234,1,0.5042,0.4594,0.549,,,,,,1.0214,,7,True,True,True,False,
Tweezer Top,147,77,69,1,0.5238,0.4435,0.6029,,,,,,1.1159,,7,True,True,False,False,
Three Black Crows,253,110,140,3,0.4348,0.3751,0.4964,,,,,,0.7857,,7,True,True,False,False,
Three Outside Down,25,12,13,0,0.48,0.3003,0.665,-0.04,-1.0,-0.04,-0.44,0.36,0.9231,-6.0,3,False,False,False,True,
Three Inside Down,13,9,4,0,0.6923,0.4237,0.8732,0.3846,1.0,0.3846,-0.0769,0.8462,2.25,-2.0,2,False,False,False,True,
Bearish Engulfing,212,100,109,3,0.4717,0.4056,0.5388,,,,,,0.9174,,7,True,True,False,False,
Three Inside Up,16,6,10,0,0.375,0.1848,0.6136,-0.25,-1.0,-0.25,-0.75,0.25,0.6,-7.0,4,False,False,False,True,
Dark Cloud Cover,87,46,39,2,0.5287,0.4249,0.6302,,,,,,1.1795,,6,True,False,False,False,
Bearish Counterattack,102,47,54,1,0.4608,0.3672,0.5572,,,,,,0.8704,,5,True,True,False,False,
Hanging Man,84,40,43,1,0.4762,0.3728,0.5817,,,,,,0.9302,,9,True,False,False,False,
Bullish Harami,15,7,8,0,0.4667,0.2481,0.6988,-0.0667,-1.0,-0.0667,-0.6,0.4667,0.875,-3.0,3,False,False,False,True,
Piercing Line,101,54,45,2,0.5347,0.4379,0.6289,,,,,,1.2,,6,True,True,False,False,
Upside Gap Two Crows,9,1,8,0,0.1111,0.0199,0.435,-0.7778,-1.0,-0.7778,,,0.125,-6.0,6,False,False,False,True,
Bearish Harami,9,5,4,0,0.5556,0.2666,0.8112,0.1111,1.0,0.1111,,,1.25,-3.0,3,False,False,False,True,
