pair,pattern,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
XAUUSD,Inverted Hammer,48,31,17,0,0.6458,0.5044,0.7657,0.2917,1.0,0.2917,0.0,0.5417,1.8235,-2.0,2,True,False,False,False,1.1352439809588697
GBPUSD,Hammer,49,31,18,0,0.6327,0.4927,0.7534,0.2653,1.0,0.2653,-0.0204,0.5102,1.7222,-3.0,3,True,False,False,False,1.0378597033400871
XAUUSD,Dark Cloud Cover,68,42,26,0,0.6176,0.4988,0.7239,0.2353,1.0,0.2353,-0.0,0.4706,1.6154,-4.0,4,True,False,False,False,0.9962852605317353
AUDUSD,Hanging Man,50,31,19,0,0.62,0.4815,0.7414,0.24,1.0,0.24,-0.04,0.48,1.6316,-4.0,4,True,False,False,False,0.9436381518538381
XAUUSD,Shooting Star,36,22,14,0,0.6111,0.4486,0.7522,0.2222,1.0,0.2222,-0.1111,0.5556,1.5714,-5.0,3,True,False,False,False,0.8023459601895467
XAUUSD,Hanging Man,61,36,25,0,0.5902,0.465,0.7046,0.1803,1.0,0.1803,-0.0492,0.4098,1.44,-4.0,4,True,False,False,False,0.74412232962363
USDJPY,Piercing Line,55,32,23,0,0.5818,0.4503,0.7026,0.1636,1.0,0.1636,-0.0909,0.4182,1.3913,-4.0,4,True,False,False,False,0.6585475366042705
GBPUSD,Morning Doji Star,75,43,32,0,0.5733,0.4605,0.679,0.1467,1.0,0.1467,-0.0933,0.36,1.3438,-11.0,5,True,False,False,False,0.6353185810200047
EURUSD,Evening Doji Star,93,53,40,0,0.5699,0.4685,0.6658,0.1398,1.0,0.1398,-0.0538,0.3333,1.325,-5.0,5,True,False,False,False,0.6351526105613465
EURUSD,Bearish Kicker,318,174,144,0,0.5472,0.4922,0.601,0.0943,1.0,0.0943,-0.0189,0.2013,1.2083,-9.0,7,True,True,True,False,0.5436575209926108
USDJPY,Evening Doji Star,86,48,38,0,0.5581,0.4529,0.6584,0.1163,1.0,0.1163,-0.093,0.3256,1.2632,-5.0,5,True,False,False,False,0.519385114199528
GBPUSD,Tweezer Top,121,67,54,0,0.5537,0.4648,0.6393,0.1074,1.0,0.1074,-0.0744,0.2727,1.2407,-6.0,4,True,True,False,False,0.5159518602043518
USDJPY,Tweezer Bottom,105,58,47,0,0.5524,0.4571,0.644,0.1048,1.0,0.1048,-0.0857,0.3143,1.234,-7.0,5,True,True,False,False,0.4887284170629446
GBPUSD,Shooting Star,52,29,23,0,0.5577,0.4234,0.6841,0.1154,1.0,0.1154,-0.1538,0.3846,1.2609,-6.0,5,True,False,False,False,0.4581716868239149
EURUSD,Tweezer Bottom,104,57,47,0,0.5481,0.4524,0.6403,0.0962,1.0,0.0962,-0.0962,0.2885,1.2128,-7.0,4,True,True,False,False,0.4477109856851537
EURUSD,Bearish Engulfing,150,81,69,0,0.54,0.4602,0.6178,0.08,1.0,0.08,-0.067,0.24,1.1739,-10.0,6,True,True,False,False,0.40138238694519396
AUDUSD,Dark Cloud Cover,64,35,29,0,0.5469,0.4257,0.6627,0.0937,1.0,0.0937,-0.1563,0.3437,1.2069,-5.0,5,True,False,False,False,0.39114008718922116
EURUSD,Morning Doji Star,94,51,43,0,0.5426,0.4422,0.6396,0.0851,1.0,0.0851,-0.1277,0.2766,1.186,-7.0,5,True,False,False,False,0.387534923475206
AUDUSD,Bullish Engulfing,145,78,67,0,0.5379,0.4569,0.6171,0.0759,1.0,0.0759,-0.0897,0.2276,1.1642,-19.0,9,True,True,False,False,0.3782557425876627
GBPUSD,Piercing Line,74,40,34,0,0.5405,0.4278,0.6493,0.0811,1.0,0.0811,-0.1622,0.2973,1.1765,-7.0,4,True,False,False,False,0.3501482860077948
USDJPY,Tweezer Top,84,45,39,0,0.5357,0.4298,0.6385,0.0714,1.0,0.0714,-0.1667,0.2857,1.1538,-5.0,5,True,False,False,False,0.3172052997134086
XAUUSD,Morning Star,54,29,25,0,0.537,0.4061,0.6631,0.0741,1.0,0.0741,-0.1852,0.3333,1.16,-5.0,5,True,False,False,False,0.2969433890257261
AUDUSD,Morning Star,54,29,25,0,0.537,0.4061,0.6631,0.0741,1.0,0.0741,-0.1852,0.3333,1.16,-6.0,3,True,False,False,False,0.2969433890257261
XAUUSD,Evening Doji Star,96,51,45,0,0.5312,0.4322,0.6279,0.0625,1.0,0.0625,-0.1458,0.2708,1.1333,-6.0,6,True,False,False,False,0.2859194361564614
AUDUSD,Evening Star,41,22,19,0,0.5366,0.3875,0.6794,0.0732,1.0,0.0732,-0.2195,0.3659,1.1579,-4.0,4,True,False,False,False,0.2735974160583426
USDJPY,Bearish Kicker,322,168,154,0,0.5217,0.4672,0.5757,0.0435,1.0,0.0435,-0.0621,0.1553,1.0909,-10.0,10,True,True,True,False,0.25132787606018553
EURUSD,Bullish Kicker,289,150,139,0,0.519,0.4616,0.576,0.0381,1.0,0.0381,-0.0796,0.1557,1.0791,-18.0,7,True,True,False,False,0.21602246316555782
USDJPY,Dark Cloud Cover,59,31,28,0,0.5254,0.4004,0.6473,0.0508,1.0,0.0508,-0.2203,0.289,1.1071,-7.0,6,True,False,False,False,0.2079927037608827
USDJPY,Hammer,67,35,32,0,0.5224,0.4048,0.6375,0.0448,1.0,0.0448,-0.194,0.2836,1.0938,-8.0,6,True,False,False,False,0.1890339451918896
GBPUSD,Bearish Kicker,291,149,142,0,0.512,0.4548,0.5689,0.0241,1.0,0.0241,-0.0928,0.134,1.0493,-16.0,7,True,True,False,False,0.1368097666346656
XAUUSD,Piercing Line,64,33,31,0,0.5156,0.3958,0.6337,0.0312,1.0,0.0312,-0.2188,0.2812,1.0645,-6.0,5,True,False,False,False,0.13024088282074386
XAUUSD,Three White Soldiers,178,91,87,0,0.5112,0.4383,0.5837,0.0225,1.0,0.0225,-0.1236,0.1573,1.046,-12.0,5,True,True,False,False,0.11671618063141698
EURUSD,Tweezer Top,110,56,54,0,0.5091,0.4169,0.6006,0.0182,1.0,0.0182,-0.1818,0.2,1.037,-11.0,7,True,True,False,False,0.08571344966388449
USDJPY,Three White Soldiers,183,93,90,0,0.5082,0.4363,0.5797,0.0164,1.0,0.0164,-0.1257,0.1585,1.0333,-19.0,5,True,True,False,False,0.08552494642478738
GBPUSD,Inverted Hammer,51,26,25,0,0.5098,0.3768,0.6414,0.0196,1.0,0.0196,-0.2549,0.2941,1.04,-7.0,3,True,False,False,False,0.07744437688419598
EURUSD,Evening Star,55,28,27,0,0.5091,0.3808,0.6362,0.0182,1.0,0.0182,-0.2364,0.3091,1.037,-12.0,6,True,False,False,False,0.07326140077137973
AUDUSD,Bullish Counterattack,83,42,41,0,0.506,0.4006,0.6109,0.012,1.0,0.012,-0.1813,0.2289,1.0244,-9.0,5,True,False,False,False,0.05316980158611976
XAUUSD,Tweezer Top,105,53,52,0,0.5048,0.4107,0.5985,0.0095,1.0,0.0095,-0.181,0.2,1.0192,-12.0,7,True,True,False,False,0.04430267139406464
EURUSD,Morning Star,50,25,25,0,0.5,0.3664,0.6336,-0.0,-0.0,-0.0,-0.28,0.28,1.0,-7.0,6,True,False,False,False,-0.0
EURUSD,Bullish Counterattack,72,36,36,0,0.5,0.3875,0.6125,0.0,0.0,0.0,-0.2222,0.2222,1.0,-7.0,4,True,False,False,False,0.0
GBPUSD,Bullish Separating Lines,30,15,15,0,0.5,0.3315,0.6685,-0.0,-0.0,-0.0,-0.3333,0.3333,1.0,-3.0,3,True,False,False,False,-0.0
EURUSD,Shooting Star,60,30,30,0,0.5,0.3773,0.6227,0.0,-0.0,0.0,-0.2667,0.2333,1.0,-6.0,4,True,False,False,False,0.0
AUDUSD,Bearish Counterattack,76,38,38,0,0.5,0.3903,0.6097,0.0,0.0,0.0,-0.2105,0.2368,1.0,-9.0,8,True,False,False,False,0.0
XAUUSD,Evening Star,52,26,26,0,0.5,0.3689,0.6311,0.0,0.0,0.0,-0.2692,0.2692,1.0,-6.0,4,True,False,False,False,0.0
XAUUSD,Three Black Crows,193,96,97,0,0.4974,0.4276,0.5673,-0.0052,-1.0,-0.0052,-0.1399,0.1295,0.9897,-13.0,6,True,True,False,False,-0.027392862427129305
AUDUSD,Tweezer Top,103,51,52,0,0.4951,0.4005,0.5901,-0.0097,-1.0,-0.0097,-0.1845,0.1845,0.9808,-9.0,5,True,True,False,False,-0.045050591721671314
EURUSD,Bearish Counterattack,75,37,38,0,0.4933,0.3833,0.604,-0.0133,-1.0,-0.0133,-0.2533,0.2267,0.9737,-7.0,5,True,False,False,False,-0.0575987534258082
AUDUSD,Tweezer Bottom,113,55,58,0,0.4867,0.3965,0.5778,-0.0265,-1.0,-0.0265,-0.2035,0.1504,0.9483,-14.0,5,True,True,False,False,-0.12550925888245412
AUDUSD,Piercing Line,64,31,33,0,0.4844,0.3663,0.6042,-0.0312,-1.0,-0.0312,-0.2812,0.2187,0.9394,-8.0,5,True,False,False,False,-0.13024088282074386
EURUSD,Hanging Man,60,29,31,0,0.4833,0.3617,0.6069,-0.0333,-1.0,-0.0333,-0.2667,0.2,0.9355,-8.0,5,True,False,False,False,-0.13689209967697127
AUDUSD,Morning Doji Star,89,43,46,0,0.4831,0.3822,0.5855,-0.0337,-1.0,-0.0337,-0.236,0.1685,0.9348,-8.0,7,True,False,False,False,-0.15164358589012994
GBPUSD,Bullish Counterattack,87,42,45,0,0.4828,0.3807,0.5863,-0.0345,-1.0,-0.0345,-0.2414,0.1724,0.9333,-10.0,5,True,False,False,False,-0.15446812009949815
USDJPY,Morning Doji Star,83,40,43,0,0.4819,0.3776,0.5878,-0.0361,-1.0,-0.0361,-0.253,0.1807,0.9302,-11.0,5,True,False,False,False,-0.1599524864382436
GBPUSD,Three Black Crows,187,90,97,0,0.4813,0.4108,0.5526,-0.0374,-1.0,-0.0374,-0.1765,0.1123,0.9278,-11.0,6,True,True,False,False,-0.1958429294098401
GBPUSD,Bearish Engulfing,150,72,78,0,0.48,0.4015,0.5594,-0.04,-1.0,-0.04,-0.2,0.12,0.9231,-15.0,7,True,True,False,False,-0.20069119347259698
USDJPY,Bullish Separating Lines,34,16,18,0,0.4706,0.3145,0.6326,-0.0588,-1.0,-0.0588,-0.4118,0.2353,0.8889,-6.0,4,True,False,False,False,-0.2090544660155775
GBPUSD,Bullish Kicker,298,143,155,0,0.4799,0.4238,0.5365,-0.0403,-1.0,-0.0403,-0.1611,0.0738,0.9226,-31.0,8,True,True,False,False,-0.2297278760076447
USDJPY,Bearish Engulfing,151,72,79,0,0.4768,0.3987,0.5561,-0.0464,-1.0,-0.0464,-0.2053,0.1258,0.9114,-17.0,9,True,True,False,False,-0.2331080561672672
USDJPY,Inverted Hammer,70,33,37,0,0.4714,0.359,0.5868,-0.0571,-1.0,-0.0571,-0.2857,0.1714,0.8919,-11.0,6,True,False,False,False,-0.2433990209790591
GBPUSD,Dark Cloud Cover,47,22,25,0,0.4681,0.3333,0.6077,-0.0638,-1.0,-0.0638,-0.3617,0.234,0.88,-6.0,4,True,False,False,False,-0.24698262449592343
EURUSD,Hammer,51,23,27,1,0.451,0.3227,0.5862,-0.0686,-1.0,-0.0686,-0.3333,0.1865,0.8704,-7.0,6,True,False,False,False,-0.2710553190946859
USDJPY,Shooting Star,60,28,32,0,0.4667,0.3463,0.5911,-0.0667,-1.0,-0.0667,-0.3,0.1667,0.875,-12.0,6,True,False,False,False,-0.27419528674035987
USDJPY,Bullish Engulfing,124,58,66,0,0.4677,0.3822,0.5552,-0.0645,-1.0,-0.0645,-0.2258,0.1129,0.8788,-15.0,9,True,True,False,False,-0.31142623605599845
EURUSD,Three Black Crows,164,77,87,0,0.4695,0.3947,0.5457,-0.061,-1.0,-0.061,-0.2076,0.0976,0.8851,-17.0,6,True,True,False,False,-0.3114626739079354
AUDUSD,Evening Doji Star,97,45,52,0,0.4639,0.3679,0.5626,-0.0722,-1.0,-0.0722,-0.2577,0.134,0.8654,-16.0,6,True,False,False,False,-0.3310346519600153
XAUUSD,Bullish Engulfing,142,66,76,0,0.4648,0.3848,0.5467,-0.0704,-1.0,-0.0704,-0.2394,0.0986,0.8684,-15.0,6,True,True,False,False,-0.3493842619702975
AUDUSD,Bearish Engulfing,149,69,80,0,0.4631,0.385,0.5431,-0.0738,-1.0,-0.0738,-0.2215,0.0742,0.8625,-18.0,6,True,True,False,False,-0.3697848847043037
GBPUSD,Hanging Man,64,29,35,0,0.4531,0.3373,0.5743,-0.0937,-1.0,-0.0937,-0.3437,0.1563,0.8286,-7.0,5,True,False,False,False,-0.39114008718922116
GBPUSD,Tweezer Bottom,133,61,72,0,0.4586,0.3763,0.5433,-0.0827,-1.0,-0.0827,-0.2632,0.0827,0.8472,-25.0,10,True,True,False,False,-0.40505135145594034
XAUUSD,Morning Doji Star,88,40,48,0,0.4545,0.3546,0.5583,-0.0909,-1.0,-0.0909,-0.2955,0.1136,0.8333,-11.0,7,True,False,False,False,-0.40801704600865146
GBPUSD,Bullish Engulfing,142,65,77,0,0.4577,0.378,0.5397,-0.0845,-1.0,-0.0845,-0.2398,0.0845,0.8442,-18.0,6,True,True,False,False,-0.4193603712569622
