pattern,category,bars_required,confirmation_required,source_module
Bearish Marubozu,bearish,1,False,candlestick_patterns_mw.compute()
Bullish Marubozu,bullish,1,False,candlestick_patterns_mw.compute()
Doji,neutral,1,False,candlestick_patterns_mw.compute()
Dragonfly Doji,bullish,1,True,candlestick_patterns_mw.compute()
Gravestone Doji,bearish,1,True,candlestick_patterns_mw.compute()
Hammer,bullish,1,True,candlestick_patterns_mw.compute()
Hanging Man,bearish,1,True,candlestick_patterns_mw.compute()
Inverted Hammer,bullish,1,True,candlestick_patterns_mw.compute()
Long-Legged Doji,neutral,1,False,candlestick_patterns_mw.compute()
Shooting Star,bearish,1,True,candlestick_patterns_mw.compute()
Spinning Top,neutral,1,False,candlestick_patterns_mw.compute()
Bearish Counterattack,bearish,2,False,candlestick_patterns_mw.compute()
Bearish Engulfing,bearish,2,False,candlestick_patterns_mw.compute()
Bearish Harami,bearish,2,False,candlestick_patterns_mw.compute()
Bearish Kicker,bearish,2,False,candlestick_patterns_mw.compute()
Bearish Separating Lines,bearish,2,False,candlestick_patterns_mw.compute()
Bullish Counterattack,bullish,2,False,candlestick_patterns_mw.compute()
Bullish Engulfing,bullish,2,False,candlestick_patterns_mw.compute()
Bullish Harami,bullish,2,False,candlestick_patterns_mw.compute()
Bullish Kicker,bullish,2,False,candlestick_patterns_mw.compute()
Bullish Separating Lines,bullish,2,False,candlestick_patterns_mw.compute()
Dark Cloud Cover,bearish,2,False,candlestick_patterns_mw.compute()
Piercing Line,bullish,2,False,candlestick_patterns_mw.compute()
Tweezer Bottom,bullish,2,False,candlestick_patterns_mw.compute()
Tweezer Top,bearish,2,False,candlestick_patterns_mw.compute()
Bearish Abandoned Baby,bearish,3,False,candlestick_patterns_mw.compute()
Bullish Abandoned Baby,bullish,3,False,candlestick_patterns_mw.compute()
Evening Doji Star,bearish,3,False,candlestick_patterns_mw.compute()
Evening Star,bearish,3,False,candlestick_patterns_mw.compute()
Morning Doji Star,bullish,3,False,candlestick_patterns_mw.compute()
Morning Star,bullish,3,False,candlestick_patterns_mw.compute()
Three Black Crows,bearish,3,False,candlestick_patterns_mw.compute()
Three Inside Down,bearish,3,False,candlestick_patterns_mw.compute()
Three Inside Up,bullish,3,False,candlestick_patterns_mw.compute()
Three Outside Down,bearish,3,False,candlestick_patterns_mw.compute()
Three Outside Up,bullish,3,False,candlestick_patterns_mw.compute()
Three White Soldiers,bullish,3,False,candlestick_patterns_mw.compute()
Upside Gap Two Crows,bearish,3,False,candlestick_patterns_mw.compute()
