pattern,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
Bearish Harami,34,21,13,0,0.6176,0.4504,0.761,0.2353,1.0,0.2353,-0.1176,0.5294,1.6154,-4.0,3,True,False,False,False,0.836573398868459
Three Outside Up,95,55,40,0,0.5789,0.4785,0.6733,0.1579,1.0,0.1579,-0.0316,0.3684,1.375,-8.0,5,True,False,False,False,0.7207105794327714
Three Inside Down,42,24,18,0,0.5714,0.4221,0.7088,0.1429,1.0,0.1429,-0.1429,0.4286,1.3333,-4.0,5,True,False,False,False,0.5374754965326101
Bullish Separating Lines,139,75,64,0,0.5396,0.4568,0.6203,0.0791,1.0,0.0791,-0.0791,0.2518,1.1719,-9.0,4,True,True,False,False,0.390883915628396
Three Inside Up,53,29,24,0,0.5472,0.4145,0.6734,0.0943,1.0,0.0943,-0.1698,0.3585,1.2083,-3.0,3,True,False,False,False,0.3761611955910111
Bearish Separating Lines,114,61,53,0,0.5351,0.4439,0.624,0.0702,1.0,0.0702,-0.1053,0.2456,1.1509,-7.0,5,True,True,False,False,0.33309423541110017
Dark Cloud Cover,296,156,140,0,0.527,0.4702,0.5832,0.0541,1.0,0.0541,-0.0608,0.1689,1.1143,-13.0,6,True,True,False,False,0.30803090870922606
Tweezer Top,523,272,251,0,0.5201,0.4773,0.5626,0.0402,1.0,0.0402,-0.044,0.1205,1.0837,-12.0,7,True,True,True,False,0.2517119657097059
Three Outside Down,75,39,36,0,0.52,0.4087,0.6293,0.04,1.0,0.04,-0.2,0.28,1.0833,-4.0,4,True,False,False,False,0.17322933361145323
Morning Doji Star,429,217,212,0,0.5058,0.4587,0.5529,0.0117,1.0,0.0117,-0.0816,0.1049,1.0236,-15.0,7,True,True,True,False,0.07094628694164501
Shooting Star,266,134,132,0,0.5038,0.444,0.5634,0.0075,1.0,0.0075,-0.1128,0.1278,1.0152,-15.0,9,True,True,False,False,0.04190436493800187
Hanging Man,296,149,147,0,0.5034,0.4467,0.5599,0.0068,1.0,0.0068,-0.1015,0.115,1.0136,-26.0,11,True,True,False,False,0.03871737854385836
Piercing Line,316,157,159,0,0.4968,0.4421,0.5517,-0.0063,-1.0,-0.0063,-0.1139,0.1013,0.9874,-24.0,8,True,True,True,False,-0.03628108117542687
Tweezer Bottom,566,281,285,0,0.4965,0.4554,0.5375,-0.0071,-1.0,-0.0071,-0.0883,0.0742,0.986,-26.0,10,True,True,True,False,-0.04501655105646704
Evening Doji Star,465,230,235,0,0.4946,0.4494,0.5399,-0.0108,-1.0,-0.0108,-0.1011,0.0839,0.9787,-30.0,11,True,True,True,False,-0.06635720484855698
Inverted Hammer,291,143,148,0,0.4914,0.4345,0.5486,-0.0172,-1.0,-0.0172,-0.1409,0.093,0.9662,-15.0,6,True,True,False,False,-0.09764016539901445
Morning Star,250,122,128,0,0.488,0.4267,0.5497,-0.024,-1.0,-0.024,-0.144,0.096,0.9531,-21.0,7,True,True,False,False,-0.13261087053916282
Bearish Engulfing,746,358,388,0,0.4799,0.4442,0.5158,-0.0402,-1.0,-0.0402,-0.1099,0.0269,0.9227,-52.0,9,True,True,True,False,-0.26596582044233924
Bullish Engulfing,715,341,374,0,0.4769,0.4405,0.5136,-0.0462,-1.0,-0.0462,-0.1189,0.0294,0.9118,-51.0,9,True,True,True,False,-0.3037040237135818
Bullish Harami,33,15,18,0,0.4545,0.2984,0.6201,-0.0909,-1.0,-0.0909,-0.3939,0.2121,0.8333,-5.0,4,True,False,False,False,-0.32054617168760907
Upside Gap Two Crows,42,19,23,0,0.4524,0.3122,0.6005,-0.0952,-1.0,-0.0952,-0.381,0.1905,0.8261,-7.0,5,True,False,False,False,-0.35806625101402717
Three White Soldiers,925,476,445,4,0.5146,0.4824,0.5467,,,,,,1.0697,,8,True,True,True,False,
Bearish Kicker,1521,763,756,2,0.5016,0.4765,0.5267,,,,,,1.0093,,10,True,True,True,False,
Three Black Crows,930,435,494,1,0.4677,0.4359,0.4999,,,,,,0.8806,,9,True,True,True,False,
Bearish Counterattack,352,171,180,1,0.4858,0.434,0.5379,,,,,,0.95,,8,True,True,True,False,
Bullish Kicker,1528,768,756,4,0.5026,0.4776,0.5277,,,,,,1.0159,,8,True,True,True,False,
Evening Star,264,125,138,1,0.4735,0.4141,0.5337,,,,,,0.9058,,10,True,True,False,False,
Hammer,277,137,138,2,0.4946,0.4362,0.5531,,,,,,0.9964,,8,True,True,False,False,
Bullish Counterattack,401,188,212,1,0.4688,0.4205,0.5177,,,,,,0.8868,,9,True,True,True,False,
