pattern,session,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
Piercing Line,london_ny_overlap,35,23,12,0,0.6571,0.4915,0.7917,0.3143,1.0,0.3143,0.0286,0.6,1.9167,-3.0,2,True,False,False,False,1.1263000023567555
Bullish Separating Lines,asian,54,34,20,0,0.6296,0.4963,0.7458,0.2593,1.0,0.2593,-0.0,0.5185,1.7,-3.0,3,True,False,False,False,1.0391014949307797
Bearish Separating Lines,asian,44,27,17,0,0.6136,0.4662,0.7428,0.2273,1.0,0.2273,-0.0466,0.5,1.5882,-4.0,4,True,False,False,False,0.8652543839247937
Inverted Hammer,london,60,36,24,0,0.6,0.4737,0.7143,0.2,1.0,0.2,-0.0667,0.4333,1.5,-6.0,6,True,False,False,False,0.8221747728346623
Morning Doji Star,london_ny_overlap,54,31,23,0,0.5741,0.4416,0.6967,0.1481,1.0,0.1481,-0.1111,0.4074,1.3478,-5.0,4,True,False,False,False,0.593486044732929
Hanging Man,new_york,67,38,29,0,0.5672,0.4481,0.679,0.1343,1.0,0.1343,-0.1045,0.3731,1.3103,-11.0,8,True,False,False,False,0.5666798848051512
Hammer,london_ny_overlap,39,22,17,0,0.5641,0.4098,0.707,0.1282,1.0,0.1282,-0.1795,0.4359,1.2941,-3.0,3,True,False,False,False,0.4729143460174067
Piercing Line,new_york,66,36,30,0,0.5455,0.4261,0.6598,0.0909,1.0,0.0909,-0.1515,0.3333,1.2,-8.0,4,True,False,False,False,0.3822065591026388
Tweezer Bottom,asian,252,134,118,0,0.5317,0.4701,0.5924,0.0635,1.0,0.0635,-0.0635,0.1905,1.1356,-14.0,6,True,True,False,False,0.3513702325341975
Dark Cloud Cover,new_york,61,33,28,0,0.541,0.4172,0.6599,0.082,1.0,0.082,-0.1475,0.3115,1.1786,-8.0,5,True,False,False,False,0.3384250195736975
Tweezer Top,london,112,60,52,0,0.5357,0.4437,0.6254,0.0714,1.0,0.0714,-0.1071,0.25,1.1538,-4.0,4,True,True,False,False,0.33753549025606117
Bearish Kicker,new_york,320,169,151,0,0.5281,0.4734,0.5822,0.0563,1.0,0.0563,-0.0562,0.1688,1.1192,-19.0,6,True,True,True,False,0.3249321352322199
Morning Star,new_york,54,29,25,0,0.537,0.4061,0.6631,0.0741,1.0,0.0741,-0.1852,0.3333,1.16,-5.0,5,True,False,False,False,0.2969433890257261
Dark Cloud Cover,london,58,31,27,0,0.5345,0.408,0.6567,0.069,1.0,0.069,-0.2069,0.3448,1.1481,-6.0,4,True,False,False,False,0.2813500836294947
Evening Doji Star,london,104,55,49,0,0.5288,0.4336,0.622,0.0577,1.0,0.0577,-0.1346,0.25,1.1224,-12.0,7,True,True,False,False,0.2685335122040891
Tweezer Top,asian,245,128,117,0,0.5224,0.46,0.5842,0.0449,1.0,0.0449,-0.0776,0.1673,1.094,-10.0,5,True,True,False,False,0.2471893859633631
Morning Doji Star,new_york,93,49,44,0,0.5269,0.4264,0.6253,0.0538,1.0,0.0538,-0.1613,0.2473,1.1136,-9.0,5,True,False,False,False,0.24442925928612622
