timeframe,pattern,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
M15,Bearish Separating Lines,72,45,27,0,0.625,0.5095,0.7278,0.25,1.0,0.25,0.0278,0.4722,1.6667,-3.0,3,True,False,False,False,1.0726148602870977
H1,Shooting Star,67,41,26,0,0.6119,0.4922,0.7195,0.2239,1.0,0.2239,-0.0149,0.4627,1.5769,-7.0,5,True,False,False,False,0.9447477751889303
H4,Tweezer Bottom,57,34,23,0,0.5965,0.467,0.7138,0.193,1.0,0.193,-0.0526,0.4386,1.4783,-6.0,6,True,False,False,False,0.783665501035459
H1,Tweezer Top,157,90,67,0,0.5732,0.495,0.648,0.1465,1.0,0.1465,-0.0064,0.2994,1.3433,-8.0,7,True,True,False,False,0.7416701723384506
H1,Morning Doji Star,115,65,50,0,0.5652,0.474,0.6523,0.1304,1.0,0.1304,-0.0609,0.3043,1.3,-15.0,7,True,True,False,False,0.6198681609202699
H1,Hanging Man,76,43,33,0,0.5658,0.4539,0.6714,0.1316,1.0,0.1316,-0.0789,0.3684,1.303,-4.0,4,True,False,False,False,0.5716447935159448
M15,Three Inside Up,37,21,16,0,0.5676,0.4091,0.7133,0.1351,1.0,0.1351,-0.1892,0.4595,1.3125,-3.0,3,True,False,False,False,0.4914378901790347
H1,Inverted Hammer,70,39,31,0,0.5571,0.4408,0.6675,0.1143,1.0,0.1143,-0.1143,0.3429,1.2581,-8.0,6,True,False,False,False,0.48722430994582233
H1,Piercing Line,93,51,42,0,0.5484,0.4473,0.6456,0.0968,1.0,0.0968,-0.0968,0.2903,1.2143,-5.0,6,True,False,False,False,0.43979093492373633
M15,Three Outside Up,60,33,27,0,0.55,0.4249,0.6691,0.1,1.0,0.1,-0.1667,0.3667,1.2222,-5.0,4,True,False,False,False,0.41108738641733117
M15,Evening Star,161,87,74,0,0.5404,0.4633,0.6155,0.0807,1.0,0.0807,-0.0683,0.2422,1.1757,-10.0,6,True,True,False,False,0.4105690242532533
M15,Bullish Separating Lines,89,48,41,0,0.5393,0.4363,0.6391,0.0787,1.0,0.0787,-0.1236,0.2809,1.1707,-8.0,3,True,False,False,False,0.3541350210549919
H1,Evening Doji Star,129,69,60,0,0.5349,0.449,0.6187,0.0698,1.0,0.0698,-0.1012,0.2403,1.15,-7.0,4,True,True,False,False,0.33975390464179966
M15,Bearish Counterattack,230,122,108,0,0.5304,0.466,0.5939,0.0609,1.0,0.0609,-0.0696,0.1913,1.1296,-9.0,8,True,True,False,False,0.33144323857077723
H1,Dark Cloud Cover,92,49,43,0,0.5326,0.4314,0.6312,0.0652,1.0,0.0652,-0.1304,0.2609,1.1395,-7.0,6,True,False,False,False,0.29552548695359226
M15,Hammer,176,92,84,0,0.5227,0.4492,0.5952,0.0455,1.0,0.0455,-0.1023,0.1932,1.0952,-12.0,8,True,True,False,False,0.2355148128321092
H1,Bullish Counterattack,101,53,48,0,0.5248,0.4282,0.6194,0.0495,1.0,0.0495,-0.1485,0.2475,1.1042,-12.0,6,True,True,False,False,0.2289361542575714
M15,Dark Cloud Cover,178,91,87,0,0.5112,0.4383,0.5837,0.0225,1.0,0.0225,-0.1236,0.1685,1.046,-12.0,5,True,True,False,False,0.11671618063141698
H4,Bearish Kicker,150,76,74,0,0.5067,0.4275,0.5855,0.0133,1.0,0.0133,-0.1467,0.1733,1.027,-9.0,5,True,True,False,False,0.06672982182963849
M15,Three White Soldiers,583,294,289,0,0.5043,0.4638,0.5447,0.0086,1.0,0.0086,-0.0738,0.084,1.0173,-23.0,8,True,True,True,False,0.05478114845232275
M15,Tweezer Top,321,162,159,0,0.5047,0.4502,0.559,0.0093,1.0,0.0093,-0.1028,0.1215,1.0189,-10.0,5,True,True,True,False,0.053703329373562994
M15,Tweezer Bottom,371,184,187,0,0.496,0.4454,0.5466,-0.0081,-1.0,-0.0081,-0.1105,0.0943,0.984,-20.0,10,True,True,True,False,-0.04794304021961248
H1,Morning Star,69,34,35,0,0.4928,0.3783,0.6079,-0.0145,-1.0,-0.0145,-0.2464,0.2174,0.9714,-9.0,5,True,False,False,False,-0.061603181009715714
H1,Bullish Separating Lines,43,21,22,0,0.4884,0.3462,0.6325,-0.0233,-1.0,-0.0233,-0.3023,0.2558,0.9545,-5.0,4,True,False,False,False,-0.08817161847029549
M15,Morning Doji Star,270,132,138,0,0.4889,0.4298,0.5483,-0.0222,-1.0,-0.0222,-0.1407,0.0889,0.9565,-19.0,7,True,True,False,False,-0.12436703782352937
M15,Bullish Engulfing,444,217,227,0,0.4887,0.4425,0.5351,-0.0225,-1.0,-0.0225,-0.1126,0.0766,0.9559,-22.0,9,True,True,True,False,-0.1372066713487404
M15,Bearish Engulfing,490,239,251,0,0.4878,0.4438,0.5319,-0.0245,-1.0,-0.0245,-0.1143,0.0612,0.9522,-32.0,7,True,True,True,False,-0.15181288113096575
H1,Bullish Engulfing,197,95,102,0,0.4822,0.4135,0.5517,-0.0355,-1.0,-0.0355,-0.1777,0.1066,0.9314,-24.0,8,True,True,False,False,-0.18773347958965597
M15,Evening Doji Star,300,145,155,0,0.4833,0.4274,0.5397,-0.0333,-1.0,-0.0333,-0.1467,0.08,0.9355,-26.0,11,True,True,True,False,-0.19004677181613758
M15,Piercing Line,185,89,96,0,0.4811,0.4102,0.5527,-0.0378,-1.0,-0.0378,-0.1784,0.1135,0.9271,-18.0,6,True,True,False,False,-0.19753322426635903
H4,Inverted Hammer,34,16,18,0,0.4706,0.3145,0.6326,-0.0588,-1.0,-0.0588,-0.4118,0.2941,0.8889,-5.0,5,True,False,False,False,-0.2090544660155775
M15,Upside Gap Two Crows,32,15,17,0,0.4688,0.3087,0.6355,-0.0625,-1.0,-0.0625,-0.375,0.3125,0.8824,-5.0,4,True,False,False,False,-0.21853172259165501
M15,Three Outside Down,45,21,24,0,0.4667,0.3293,0.6092,-0.0667,-1.0,-0.0667,-0.3333,0.2444,0.875,-6.0,3,True,False,False,False,-0.2553703811458226
H1,Bearish Engulfing,186,88,98,0,0.4731,0.4026,0.5447,-0.0538,-1.0,-0.0538,-0.1935,0.086,0.898,-20.0,9,True,True,False,False,-0.28143364358677675
M15,Shooting Star,172,81,91,0,0.4709,0.3978,0.5453,-0.0581,-1.0,-0.0581,-0.2093,0.093,0.8901,-21.0,6,True,True,False,False,-0.299406241640321
M15,Inverted Hammer,187,88,99,0,0.4706,0.4004,0.542,-0.0588,-1.0,-0.0588,-0.2086,0.0909,0.8889,-17.0,5,True,True,False,False,-0.307902787414401
H4,Morning Doji Star,44,20,24,0,0.4545,0.3171,0.5993,-0.0909,-1.0,-0.0909,-0.3636,0.1818,0.8333,-7.0,5,True,False,False,False,-0.346025620320122
