datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 06:30:00+00:00,0.89805,0.89844,0.89805,0.89829,555,29,0
2025-07-25 06:45:00+00:00,0.89829,0.89862,0.8981,0.89861,354,29,0
2025-07-25 07:00:00+00:00,0.89862,0.89877,0.89823,0.89844,548,29,0
2025-07-25 07:15:00+00:00,0.89844,0.89861,0.89813,0.89831,461,29,0
2025-07-25 07:30:00+00:00,0.89834,0.89857,0.89815,0.89855,513,29,0
2025-07-25 07:45:00+00:00,0.89855,0.89871,0.89822,0.89846,407,29,0
2025-07-25 08:00:00+00:00,0.89846,0.89856,0.89782,0.89802,544,29,0
2025-07-25 08:15:00+00:00,0.89801,0.8983,0.89775,0.89824,433,29,0
2025-07-25 08:30:00+00:00,0.89826,0.89862,0.89805,0.89812,480,29,0
2025-07-25 08:45:00+00:00,0.89813,0.89824,0.89784,0.89813,476,29,0
2025-07-25 09:00:00+00:00,0.89813,0.89813,0.89731,0.8974,545,29,0
2025-07-25 09:15:00+00:00,0.8974,0.89755,0.89699,0.89705,345,29,0
2025-07-25 09:30:00+00:00,0.89705,0.89721,0.89691,0.89721,283,29,0
2025-07-25 09:45:00+00:00,0.89719,0.8975,0.89717,0.89743,314,29,0
2025-07-25 10:00:00+00:00,0.89743,0.89747,0.89718,0.89744,259,29,0
2025-07-25 10:15:00+00:00,0.89745,0.89748,0.89712,0.89734,315,29,0
2025-07-25 10:30:00+00:00,0.89734,0.89748,0.89715,0.89741,266,29,0
2025-07-25 10:45:00+00:00,0.89741,0.89753,0.89722,0.89747,461,29,0
2025-07-25 11:00:00+00:00,0.89748,0.89778,0.89688,0.89694,434,29,0
2025-07-25 11:15:00+00:00,0.89693,0.8972,0.89678,0.8971,458,29,0
2025-07-25 11:30:00+00:00,0.8971,0.89753,0.8971,0.89749,370,29,0
2025-07-25 11:45:00+00:00,0.8975,0.89785,0.89732,0.89773,395,29,0
2025-07-25 12:00:00+00:00,0.8977,0.89811,0.89751,0.89785,369,29,0
2025-07-25 12:15:00+00:00,0.89785,0.8981,0.89773,0.89794,343,29,0
2025-07-25 12:30:00+00:00,0.89791,0.89801,0.897,0.89734,532,24,0
2025-07-25 12:45:00+00:00,0.89735,0.89772,0.89716,0.8975,499,9,0
2025-07-25 13:00:00+00:00,0.8975,0.89801,0.89694,0.89784,999,29,0
2025-07-25 13:15:00+00:00,0.89784,0.89848,0.8977,0.89818,974,29,0
2025-07-25 13:30:00+00:00,0.89818,0.89869,0.89797,0.89825,857,29,0
2025-07-25 13:45:00+00:00,0.89825,0.89883,0.89822,0.89854,1061,29,0
2025-07-25 14:00:00+00:00,0.89855,0.89929,0.89855,0.89906,849,29,0
2025-07-25 14:15:00+00:00,0.89906,0.89921,0.89871,0.89901,553,9,0
2025-07-25 14:30:00+00:00,0.899,0.89903,0.89824,0.89852,745,29,0
2025-07-25 14:45:00+00:00,0.89854,0.89918,0.89847,0.89872,876,29,0
2025-07-25 15:00:00+00:00,0.89877,0.89886,0.89841,0.89849,803,29,0
2025-07-25 15:15:00+00:00,0.89849,0.89865,0.89835,0.89838,587,29,0
2025-07-25 15:30:00+00:00,0.89838,0.89865,0.89823,0.89846,464,29,0
2025-07-25 15:45:00+00:00,0.89846,0.899,0.89845,0.89876,421,29,0
2025-07-25 16:00:00+00:00,0.89877,0.8993,0.89876,0.89918,530,29,0
2025-07-25 16:15:00+00:00,0.89917,0.89958,0.89904,0.89953,450,29,0
2025-07-25 16:30:00+00:00,0.89954,0.89972,0.89944,0.8997,382,29,0
2025-07-25 16:45:00+00:00,0.8997,0.89981,0.89952,0.89967,353,29,0
2025-07-25 17:00:00+00:00,0.89966,0.89979,0.89954,0.8996,377,29,0
2025-07-25 17:15:00+00:00,0.8996,0.89978,0.8996,0.89965,266,29,0
2025-07-25 17:30:00+00:00,0.8996,0.89977,0.89955,0.89971,198,29,0
2025-07-25 17:45:00+00:00,0.89968,0.89976,0.89958,0.89959,170,29,0
2025-07-25 18:00:00+00:00,0.89962,0.89968,0.89932,0.89935,406,29,0
2025-07-25 18:15:00+00:00,0.89935,0.89958,0.89929,0.89951,333,29,0
2025-07-25 18:30:00+00:00,0.8995,0.89979,0.89935,0.89971,198,29,0
2025-07-25 18:45:00+00:00,0.89971,0.89994,0.89965,0.89978,270,29,0
2025-07-25 19:00:00+00:00,0.89977,0.89982,0.89962,0.89975,174,29,0
2025-07-25 19:15:00+00:00,0.89975,0.89995,0.89971,0.89972,260,29,0
2025-07-25 19:30:00+00:00,0.89972,0.8998,0.89949,0.89954,187,29,0
2025-07-25 19:45:00+00:00,0.89953,0.89953,0.89936,0.89942,150,29,0
2025-07-25 20:00:00+00:00,0.89942,0.89964,0.89933,0.89956,184,29,0
2025-07-25 20:15:00+00:00,0.89956,0.89956,0.89907,0.89921,162,29,0
2025-07-25 20:30:00+00:00,0.8992,0.89968,0.89919,0.89968,164,29,0
2025-07-25 20:45:00+00:00,0.89968,0.89979,0.89898,0.89948,256,29,0
2025-07-27 21:00:00+00:00,0.90039,0.90133,0.89981,0.90026,142,50,0
2025-07-27 21:15:00+00:00,0.90026,0.90026,0.90012,0.90015,30,113,0
