datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 09:00:00+00:00,1.09266,1.09273,1.0915,1.09225,8824,18,0
2025-07-25 13:00:00+00:00,1.09224,1.09236,1.09113,1.09137,13602,18,0
2025-07-25 17:00:00+00:00,1.09137,1.09157,1.09026,1.09089,5999,30,0
2025-07-27 21:00:00+00:00,1.09264,1.09264,1.09103,1.0918,7060,30,0
2025-07-28 01:00:00+00:00,1.09179,1.09251,1.09125,1.09227,12993,30,0
2025-07-28 05:00:00+00:00,1.09226,1.09237,1.09089,1.09134,15191,30,0
2025-07-28 09:00:00+00:00,1.09134,1.09214,1.0911,1.09156,14384,30,0
2025-07-28 13:00:00+00:00,1.09156,1.09168,1.09064,1.09109,12884,30,0
2025-07-28 17:00:00+00:00,1.09109,1.0921,1.09104,1.09181,7523,30,0
2025-07-28 21:00:00+00:00,1.09158,1.09229,1.09021,1.09217,6457,30,0
2025-07-29 01:00:00+00:00,1.09218,1.0929,1.09168,1.09278,8997,30,0
2025-07-29 05:00:00+00:00,1.09278,1.09331,1.09213,1.09292,13606,30,0
2025-07-29 09:00:00+00:00,1.09293,1.09359,1.09237,1.09278,10560,30,0
2025-07-29 13:00:00+00:00,1.09274,1.09373,1.09238,1.09349,15301,30,0
2025-07-29 17:00:00+00:00,1.09349,1.09372,1.09171,1.09263,8165,30,0
2025-07-29 21:00:00+00:00,1.09201,1.09375,1.09201,1.09351,7105,30,0
2025-07-30 01:00:00+00:00,1.09351,1.09357,1.0907499999999999,1.09208,14404,30,0
2025-07-30 05:00:00+00:00,1.09208,1.09237,1.091,1.09104,12548,30,0
2025-07-30 09:00:00+00:00,1.09104,1.0915,1.09058,1.0911,12627,30,0
2025-07-30 13:00:00+00:00,1.0911,1.09167,1.09051,1.09124,15474,30,0
2025-07-30 17:00:00+00:00,1.09125,1.0919699999999999,1.08964,1.09096,17580,24,0
2025-07-30 21:00:00+00:00,1.09056,1.0917,1.09015,1.09074,8054,30,0
2025-07-31 01:00:00+00:00,1.09074,1.09221,1.0903100000000001,1.09125,13119,30,0
2025-07-31 05:00:00+00:00,1.09126,1.09205,1.09026,1.0918,16013,30,0
2025-07-31 09:00:00+00:00,1.09178,1.09204,1.09061,1.09114,9670,30,0
2025-07-31 13:00:00+00:00,1.09114,1.0919699999999999,1.09032,1.09083,16695,30,0
2025-07-31 17:00:00+00:00,1.09083,1.09108,1.08947,1.0904,9813,30,0
2025-07-31 21:00:00+00:00,1.08936,1.09215,1.08883,1.09166,9655,30,0
2025-08-01 01:00:00+00:00,1.09166,1.09425,1.0915300000000001,1.09407,11616,25,0
2025-08-01 05:00:00+00:00,1.09409,1.09586,1.0937999999999999,1.09506,12163,30,0
2025-08-01 09:00:00+00:00,1.09506,1.09631,1.09433,1.09442,13361,20,0
2025-08-01 13:00:00+00:00,1.0944,1.09533,1.09289,1.09295,21775,30,0
2025-08-01 17:00:00+00:00,1.09295,1.09353,1.09169,1.09321,10945,0,0
2025-08-03 21:00:00+00:00,1.09159,1.09533,1.09159,1.0951,6817,30,0
2025-08-04 01:00:00+00:00,1.0951,1.09585,1.09454,1.09579,8611,30,0
2025-08-04 05:00:00+00:00,1.09578,1.09661,1.09549,1.09571,9878,19,0
2025-08-04 09:00:00+00:00,1.09573,1.09606,1.09445,1.09491,9012,18,0
