datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-09-16 09:00:00+00:00,0.85202,0.85218,0.85155,0.85183,1908,13,0
2025-09-16 10:00:00+00:00,0.85183,0.85233,0.85172,0.85204,3340,13,0
2025-09-16 11:00:00+00:00,0.85204,0.85291,0.85201,0.85273,3471,11,0
2025-09-16 12:00:00+00:00,0.85273,0.8529,0.8514,0.85243,5643,11,0
2025-09-16 13:00:00+00:00,0.85244,0.85282,0.85165,0.85171,5636,11,0
2025-09-16 14:00:00+00:00,0.85171,0.85243,0.851,0.8522,6512,11,0
2025-09-16 15:00:00+00:00,0.8522,0.8524,0.8513,0.85224,4462,11,0
2025-09-16 16:00:00+00:00,0.85225,0.85279,0.85214,0.85254,3300,14,0
2025-09-16 17:00:00+00:00,0.85255,0.85298,0.85245,0.85277,2987,14,0
2025-09-16 18:00:00+00:00,0.85277,0.85294,0.85252,0.85256,2598,14,0
2025-09-16 19:00:00+00:00,0.85256,0.85268,0.85235,0.85247,2173,14,0
2025-09-16 20:00:00+00:00,0.85245,0.85318,0.85234,0.85245,1468,14,0
2025-09-16 21:00:00+00:00,0.85183,0.85217,0.85086,0.85188,1041,170,0
2025-09-16 22:00:00+00:00,0.85188,0.85288,0.85188,0.85281,1365,11,0
2025-09-16 23:00:00+00:00,0.85281,0.85318,0.85274,0.85315,1241,11,0
2025-09-17 00:00:00+00:00,0.85314,0.85321,0.85244,0.85272,3065,11,0
2025-09-17 01:00:00+00:00,0.85272,0.85293,0.85189,0.85239,3517,11,0
2025-09-17 02:00:00+00:00,0.85239,0.8525,0.85156,0.85206,2512,11,0
2025-09-17 03:00:00+00:00,0.85207,0.85229,0.85197,0.85216,2065,11,0
2025-09-17 04:00:00+00:00,0.85216,0.8522,0.85164,0.85166,1694,11,0
2025-09-17 05:00:00+00:00,0.85166,0.85211,0.85166,0.85211,2249,11,0
2025-09-17 06:00:00+00:00,0.85209,0.85223,0.85164,0.85212,2473,13,0
2025-09-17 07:00:00+00:00,0.85212,0.8522,0.85167,0.85194,2788,13,0
2025-09-17 08:00:00+00:00,0.85193,0.85196,0.8515,0.85161,2572,13,0
2025-09-17 09:00:00+00:00,0.85162,0.85184,0.85137,0.85159,2289,13,0
2025-09-17 10:00:00+00:00,0.85162,0.85175,0.85124,0.85142,2336,13,0
2025-09-17 11:00:00+00:00,0.85141,0.85223,0.85136,0.85207,2670,11,0
2025-09-17 12:00:00+00:00,0.85207,0.85269,0.852,0.85246,2871,11,0
2025-09-17 13:00:00+00:00,0.85246,0.85253,0.85176,0.85219,3496,11,0
2025-09-17 14:00:00+00:00,0.85219,0.85224,0.85084,0.85093,3547,11,0
2025-09-17 15:00:00+00:00,0.85093,0.85095,0.85012,0.85048,3106,11,0
2025-09-17 16:00:00+00:00,0.85047,0.85053,0.84985,0.85005,2495,14,0
2025-09-17 17:00:00+00:00,0.85005,0.85052,0.84981,0.84981,2420,14,0
2025-09-17 18:00:00+00:00,0.84994,0.85275,0.84878,0.84996,18234,14,0
2025-09-17 19:00:00+00:00,0.84996,0.8515,0.84976,0.85067,11987,14,0
2025-09-17 20:00:00+00:00,0.85067,0.85076,0.84879,0.84899,2414,14,0
2025-09-17 21:00:00+00:00,0.84786,0.84937,0.84748,0.84932,1584,166,0
2025-09-17 22:00:00+00:00,0.84934,0.85069,0.84934,0.85043,2004,11,0
2025-09-17 23:00:00+00:00,0.85044,0.85057,0.84969,0.84978,2444,11,0
2025-09-18 00:00:00+00:00,0.84978,0.85028,0.84925,0.84994,4406,11,0
2025-09-18 01:00:00+00:00,0.84994,0.85081,0.84871,0.84909,5549,11,0
2025-09-18 02:00:00+00:00,0.84909,0.85021,0.84905,0.84975,3392,11,0
2025-09-18 03:00:00+00:00,0.84975,0.85002,0.84928,0.84936,2605,11,0
2025-09-18 04:00:00+00:00,0.84936,0.84944,0.84842,0.84866,2416,11,0
2025-09-18 05:00:00+00:00,0.84866,0.84866,0.84779,0.8483,3259,11,0
2025-09-18 06:00:00+00:00,0.8483,0.84836,0.8477,0.84792,3950,12,0
2025-09-18 07:00:00+00:00,0.84792,0.84972,0.84772,0.84948,4407,12,0
2025-09-18 08:00:00+00:00,0.84949,0.84978,0.84914,0.84945,3915,12,0
2025-09-18 09:00:00+00:00,0.84945,0.85081,0.84927,0.85079,3729,12,0
2025-09-18 10:00:00+00:00,0.85079,0.85163,0.85057,0.85093,3575,12,0
2025-09-18 11:00:00+00:00,0.85093,0.85156,0.8507,0.85103,5057,11,0
2025-09-18 12:00:00+00:00,0.85103,0.85104,0.84951,0.84959,6634,11,0
2025-09-18 13:00:00+00:00,0.8496,0.84986,0.84807,0.84923,8545,11,0
2025-09-18 14:00:00+00:00,0.84924,0.84959,0.84815,0.84825,8507,11,0
2025-09-18 15:00:00+00:00,0.84827,0.84862,0.8478,0.84815,6203,11,0
2025-09-18 16:00:00+00:00,0.84815,0.84864,0.84806,0.84848,4545,14,0
2025-09-18 17:00:00+00:00,0.84849,0.84883,0.84807,0.84823,4191,14,0
2025-09-18 18:00:00+00:00,0.84823,0.84843,0.84788,0.84813,3429,14,0
2025-09-18 19:00:00+00:00,0.84813,0.84823,0.84769,0.8478,2870,14,0
2025-09-18 20:00:00+00:00,0.8478,0.84787,0.84686,0.84703,1500,14,0
