datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 06:30:00+00:00,0.65771,0.65818,0.65771,0.65798,664,18,0
2025-07-25 06:45:00+00:00,0.65798,0.65801,0.6576,0.65789,571,18,0
2025-07-25 07:00:00+00:00,0.65789,0.65804,0.65747,0.65774,725,18,0
2025-07-25 07:15:00+00:00,0.65775,0.65794,0.65733,0.65739,653,18,0
2025-07-25 07:30:00+00:00,0.65738,0.65745,0.657,0.65723,654,18,0
2025-07-25 07:45:00+00:00,0.65723,0.65738,0.65693,0.65713,499,18,0
2025-07-25 08:00:00+00:00,0.65714,0.65734,0.6566,0.65664,774,18,0
2025-07-25 08:15:00+00:00,0.65663,0.65683,0.65634,0.6568,516,18,0
2025-07-25 08:30:00+00:00,0.6568,0.65726,0.65676,0.65697,591,18,0
2025-07-25 08:45:00+00:00,0.65696,0.65699,0.65658,0.65675,517,18,0
2025-07-25 09:00:00+00:00,0.65675,0.65679,0.6561,0.65612,530,18,0
2025-07-25 09:15:00+00:00,0.65612,0.65624,0.65586,0.65592,427,18,0
2025-07-25 09:30:00+00:00,0.65591,0.65617,0.65581,0.65609,317,18,0
2025-07-25 09:45:00+00:00,0.65609,0.65631,0.65608,0.6562,390,18,0
2025-07-25 10:00:00+00:00,0.6562,0.65626,0.65597,0.65623,322,18,0
2025-07-25 10:15:00+00:00,0.65623,0.65623,0.65588,0.65613,401,18,0
2025-07-25 10:30:00+00:00,0.65613,0.65632,0.65603,0.6562,332,18,0
2025-07-25 10:45:00+00:00,0.6562,0.65645,0.656,0.65638,447,18,0
2025-07-25 11:00:00+00:00,0.65638,0.65673,0.65621,0.65625,461,18,0
2025-07-25 11:15:00+00:00,0.65625,0.65628,0.65576,0.65594,541,18,0
2025-07-25 11:30:00+00:00,0.65594,0.65659,0.65594,0.65656,397,18,0
2025-07-25 11:45:00+00:00,0.65656,0.6568,0.6564,0.65667,450,18,0
2025-07-25 12:00:00+00:00,0.65665,0.65676,0.65639,0.65651,454,18,0
2025-07-25 12:15:00+00:00,0.65651,0.65676,0.65637,0.65638,379,18,0
2025-07-25 12:30:00+00:00,0.65635,0.65651,0.65554,0.65586,576,12,0
2025-07-25 12:45:00+00:00,0.65585,0.65605,0.65568,0.65586,595,4,0
2025-07-25 13:00:00+00:00,0.65585,0.6562,0.65513,0.65553,1215,18,0
2025-07-25 13:15:00+00:00,0.65553,0.6565,0.65514,0.65608,990,18,0
2025-07-25 13:30:00+00:00,0.65608,0.6561,0.65515,0.65541,997,18,0
2025-07-25 13:45:00+00:00,0.65541,0.6561,0.65538,0.6558,1232,18,0
2025-07-25 14:00:00+00:00,0.6558,0.65647,0.65577,0.65625,1071,18,0
2025-07-25 14:15:00+00:00,0.65625,0.65658,0.65606,0.65651,580,4,0
2025-07-25 14:30:00+00:00,0.6565,0.65658,0.65557,0.65603,877,18,0
2025-07-25 14:45:00+00:00,0.65603,0.65642,0.65585,0.65591,871,18,0
2025-07-25 15:00:00+00:00,0.6559,0.65596,0.65539,0.65562,911,18,0
2025-07-25 15:15:00+00:00,0.65562,0.65586,0.6555,0.65569,701,18,0
2025-07-25 15:30:00+00:00,0.65569,0.65572,0.65515,0.6553,593,18,0
2025-07-25 15:45:00+00:00,0.65529,0.65558,0.65526,0.65537,554,18,0
2025-07-25 16:00:00+00:00,0.65537,0.65551,0.65503,0.6555,645,18,0
2025-07-25 16:15:00+00:00,0.65549,0.6557,0.65526,0.65566,572,18,0
2025-07-25 16:30:00+00:00,0.65566,0.65572,0.65546,0.65567,463,18,0
2025-07-25 16:45:00+00:00,0.65567,0.65601,0.65567,0.65596,446,18,0
2025-07-25 17:00:00+00:00,0.65596,0.65607,0.65586,0.65591,346,18,0
2025-07-25 17:15:00+00:00,0.65591,0.65618,0.65591,0.65615,406,18,0
