datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 06:30:00+00:00,184.664,184.862,184.662,184.855,1458,80,0
2025-07-25 06:45:00+00:00,184.857,184.946,184.801,184.836,1519,80,0
2025-07-25 07:00:00+00:00,184.834,185.005,184.814,184.953,1786,79,0
2025-07-25 07:15:00+00:00,184.953,185.03,184.945,185.023,1557,78,0
2025-07-25 07:30:00+00:00,185.013,185.269,184.992,185.257,1802,78,0
2025-07-25 07:45:00+00:00,185.26,185.27,185.15,185.204,1718,78,0
2025-07-25 08:00:00+00:00,185.204,185.593,185.176,185.586,1932,78,0
2025-07-25 08:15:00+00:00,185.586,185.676,185.535,185.584,1829,79,0
2025-07-25 08:30:00+00:00,185.579,185.702,185.522,185.659,1689,78,0
2025-07-25 08:45:00+00:00,185.654,185.669,185.522,185.595,1503,78,0
2025-07-25 09:00:00+00:00,185.601,185.695,185.517,185.53,1566,77,0
2025-07-25 09:15:00+00:00,185.522,185.608,185.509,185.555,1079,78,0
2025-07-25 09:30:00+00:00,185.548,185.629,185.526,185.557,1115,79,0
2025-07-25 09:45:00+00:00,185.555,185.569,185.471,185.559,1243,78,0
2025-07-25 10:00:00+00:00,185.558,185.601,185.513,185.601,1176,78,0
2025-07-25 10:15:00+00:00,185.599,185.63,185.49,185.573,1261,78,0
2025-07-25 10:30:00+00:00,185.573,185.643,185.559,185.607,1035,78,0
2025-07-25 10:45:00+00:00,185.606,185.607,185.389,185.395,1263,78,0
2025-07-25 11:00:00+00:00,185.395,185.432,185.349,185.37,1293,79,0
2025-07-25 11:15:00+00:00,185.371,185.473,185.325,185.401,1317,78,0
2025-07-25 11:30:00+00:00,185.401,185.502,185.398,185.44,1090,78,0
2025-07-25 11:45:00+00:00,185.438,185.441,185.245,185.29,1290,78,0
2025-07-25 12:00:00+00:00,185.288,185.31,185.222,185.246,1186,77,0
2025-07-25 12:15:00+00:00,185.246,185.274,185.187,185.199,1207,77,0
2025-07-25 12:30:00+00:00,185.182,185.441,185.174,185.436,1431,25,0
2025-07-25 12:45:00+00:00,185.436,185.454,185.367,185.411,1475,25,0
2025-07-25 13:00:00+00:00,185.41,185.504,185.255,185.457,2329,87,0
2025-07-25 13:15:00+00:00,185.456,185.482,185.33,185.443,2323,78,0
2025-07-25 13:30:00+00:00,185.446,185.454,185.157,185.193,2336,77,0
2025-07-25 13:45:00+00:00,185.196,185.286,185.166,185.281,2523,77,0
2025-07-25 14:00:00+00:00,185.281,185.394,185.229,185.247,2055,77,0
2025-07-25 14:15:00+00:00,185.247,185.407,185.203,185.364,1183,19,0
2025-07-25 14:30:00+00:00,185.363,185.391,185.203,185.217,1815,77,0
2025-07-25 14:45:00+00:00,185.216,185.436,185.211,185.385,1817,77,0
2025-07-25 15:00:00+00:00,185.387,185.442,185.281,185.314,1728,77,0
2025-07-25 15:15:00+00:00,185.311,185.468,185.278,185.461,1259,77,0
2025-07-25 15:30:00+00:00,185.461,185.521,185.41,185.462,1343,77,0
2025-07-25 15:45:00+00:00,185.459,185.518,185.415,185.483,1271,77,0
2025-07-25 16:00:00+00:00,185.483,185.552,185.435,185.47,1112,78,0
2025-07-25 16:15:00+00:00,185.473,185.581,185.441,185.502,1211,80,0
2025-07-25 16:30:00+00:00,185.502,185.637,185.49,185.626,827,79,0
2025-07-25 16:45:00+00:00,185.626,185.721,185.603,185.708,864,79,0
2025-07-25 17:00:00+00:00,185.708,185.766,185.668,185.704,1078,79,0
2025-07-25 17:15:00+00:00,185.704,185.705,185.638,185.647,816,78,0
2025-07-25 17:30:00+00:00,185.646,185.667,185.611,185.648,796,79,0
2025-07-25 17:45:00+00:00,185.647,185.702,185.641,185.675,853,78,0
2025-07-25 18:00:00+00:00,185.675,185.686,185.61,185.627,755,78,0
2025-07-25 18:15:00+00:00,185.625,185.653,185.574,185.593,830,78,0
2025-07-25 18:30:00+00:00,185.591,185.623,185.576,185.61,594,78,0
2025-07-25 18:45:00+00:00,185.611,185.647,185.584,185.629,886,78,0
2025-07-25 19:00:00+00:00,185.629,185.631,185.544,185.547,338,78,0
2025-07-25 19:15:00+00:00,185.547,185.629,185.542,185.624,434,78,0
2025-07-25 19:30:00+00:00,185.625,185.637,185.595,185.613,445,79,0
2025-07-25 19:45:00+00:00,185.613,185.663,185.604,185.646,607,79,0
2025-07-25 20:00:00+00:00,185.649,185.675,185.616,185.625,519,78,0
2025-07-25 20:15:00+00:00,185.624,185.665,185.613,185.647,383,78,0
2025-07-25 20:30:00+00:00,185.646,185.698,185.398,185.404,458,80,0
2025-07-25 20:45:00+00:00,185.406,185.433,185.353,185.399,352,597,0
2025-07-27 21:00:00+00:00,185.281,185.337,185.281,185.337,8,498,0
2025-07-27 22:00:00+00:00,185.383,185.754,185.383,185.669,731,84,0
2025-07-27 22:15:00+00:00,185.671,185.685,185.604,185.621,641,81,0
2025-07-27 22:30:00+00:00,185.622,185.747,185.606,185.737,741,80,0
2025-07-27 22:45:00+00:00,185.737,185.801,185.728,185.774,626,80,0
2025-07-27 23:00:00+00:00,185.772,185.779,185.719,185.763,679,80,0
2025-07-27 23:15:00+00:00,185.763,185.841,185.715,185.833,559,78,0
2025-07-27 23:30:00+00:00,185.833,185.866,185.807,185.846,615,80,0
2025-07-27 23:45:00+00:00,185.853,185.859,185.739,185.745,807,78,0
2025-07-28 00:00:00+00:00,185.744,185.846,185.732,185.829,1657,81,0
2025-07-28 00:15:00+00:00,185.829,185.873,185.76,185.825,1396,81,0
2025-07-28 00:30:00+00:00,185.824,185.841,185.696,185.741,1435,81,0
