datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 09:00:00+00:00,1.60575,1.6057700000000001,1.60154,1.60343,15327,12,0
2025-07-25 13:00:00+00:00,1.60346,1.60931,1.60201,1.60849,21895,12,0
2025-07-25 17:00:00+00:00,1.6085099999999999,1.61016,1.6071,1.60765,9053,37,0
2025-07-27 21:00:00+00:00,1.6103399999999999,1.61166,1.60961,1.6106099999999999,11295,39,0
2025-07-28 01:00:00+00:00,1.6106099999999999,1.6110799999999998,1.60847,1.60866,12658,39,0
2025-07-28 05:00:00+00:00,1.60863,1.60866,1.60296,1.60324,18604,38,0
2025-07-28 09:00:00+00:00,1.60324,1.60375,1.5979,1.59889,20022,38,0
2025-07-28 13:00:00+00:00,1.5988799999999999,1.5991499999999998,1.59094,1.591,21391,37,0
2025-07-28 17:00:00+00:00,1.59098,1.59233,1.59046,1.59165,9504,36,0
2025-07-28 21:00:00+00:00,1.59175,1.5928200000000001,1.59077,1.59172,7456,39,0
2025-07-29 01:00:00+00:00,1.59173,1.5928200000000001,1.58985,1.59098,12072,39,0
2025-07-29 05:00:00+00:00,1.59101,1.5914899999999998,1.58506,1.58981,19240,38,0
2025-07-29 09:00:00+00:00,1.58983,1.59297,1.58748,1.58771,19234,38,0
2025-07-29 13:00:00+00:00,1.58759,1.59053,1.58559,1.5899,23385,37,0
2025-07-29 17:00:00+00:00,1.5899,1.59154,1.58864,1.58975,11529,37,0
2025-07-29 21:00:00+00:00,1.58922,1.5918700000000001,1.5888499999999999,1.59168,5943,25,0
2025-07-30 01:00:00+00:00,1.59168,1.5922800000000001,1.5900400000000001,1.59021,11572,39,0
2025-07-30 05:00:00+00:00,1.59021,1.59193,1.5892300000000001,1.59143,16561,38,0
2025-07-30 09:00:00+00:00,1.59143,1.59207,1.58287,1.58345,18522,38,0
2025-07-30 13:00:00+00:00,1.58345,1.58616,1.58206,1.5840999999999998,21586,37,0
2025-07-30 17:00:00+00:00,1.58412,1.5873,1.57569,1.57668,23626,16,0
2025-07-30 21:00:00+00:00,1.57641,1.58121,1.57599,1.581,8723,18,0
2025-07-31 01:00:00+00:00,1.58102,1.5812300000000001,1.5773000000000001,1.57959,17001,39,0
2025-07-31 05:00:00+00:00,1.57959,1.5847099999999998,1.57923,1.58425,18902,38,0
2025-07-31 09:00:00+00:00,1.58425,1.5844,1.5804200000000002,1.5805799999999999,18414,38,0
2025-07-31 13:00:00+00:00,1.5805799999999999,1.58414,1.57788,1.5814300000000001,24119,37,0
