datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 07:00:00+00:00,0.87072,0.87258,0.87072,0.87247,3277,18,0
2025-07-25 08:00:00+00:00,0.87245,0.87254,0.87181,0.87214,3023,19,0
2025-07-25 09:00:00+00:00,0.87213,0.87256,0.8715,0.87152,2235,19,0
2025-07-25 10:00:00+00:00,0.87154,0.87187,0.87122,0.87137,1883,17,0
2025-07-25 11:00:00+00:00,0.87136,0.87159,0.87111,0.87128,2382,18,0
2025-07-25 12:00:00+00:00,0.87128,0.87264,0.87123,0.87219,2646,8,0
2025-07-25 13:00:00+00:00,0.87221,0.87316,0.87185,0.87223,4781,16,0
2025-07-25 14:00:00+00:00,0.87224,0.8733,0.87216,0.87321,3264,8,0
2025-07-25 15:00:00+00:00,0.87322,0.87358,0.87308,0.87342,2678,18,0
2025-07-25 16:00:00+00:00,0.87341,0.87406,0.87313,0.8738,2823,18,0
2025-07-25 17:00:00+00:00,0.87381,0.87422,0.87372,0.87393,1581,20,0
2025-07-25 18:00:00+00:00,0.87393,0.87418,0.8739,0.8741,2239,20,0
2025-07-25 19:00:00+00:00,0.8741,0.87412,0.87386,0.87386,1128,19,0
2025-07-25 20:00:00+00:00,0.8738,0.87405,0.87326,0.87348,1192,20,0
2025-07-27 21:00:00+00:00,0.87428,0.87522,0.87423,0.87466,656,66,0
2025-07-27 22:00:00+00:00,0.87462,0.87511,0.87462,0.87483,1150,16,0
2025-07-27 23:00:00+00:00,0.87483,0.87498,0.87457,0.87466,1075,22,0
2025-07-28 00:00:00+00:00,0.87466,0.87512,0.87466,0.87493,3225,16,0
2025-07-28 01:00:00+00:00,0.87493,0.87506,0.87447,0.87458,1832,20,0
2025-07-28 02:00:00+00:00,0.87459,0.87468,0.87441,0.87455,1473,20,0
2025-07-28 03:00:00+00:00,0.87454,0.87469,0.87434,0.87444,1186,20,0
2025-07-28 04:00:00+00:00,0.87444,0.87444,0.87412,0.87418,802,19,0
2025-07-28 05:00:00+00:00,0.87418,0.87431,0.87409,0.87428,1061,21,0
2025-07-28 06:00:00+00:00,0.87428,0.87437,0.87313,0.87323,3176,18,0
2025-07-28 07:00:00+00:00,0.87323,0.87323,0.87042,0.87055,3415,16,0
2025-07-28 08:00:00+00:00,0.87055,0.87087,0.86989,0.87007,3043,16,0
2025-07-28 09:00:00+00:00,0.87008,0.87023,0.86906,0.86961,3254,20,0
2025-07-28 10:00:00+00:00,0.86961,0.86973,0.86866,0.86866,2531,19,0
2025-07-28 11:00:00+00:00,0.86866,0.86877,0.86735,0.86758,2894,16,0
2025-07-28 12:00:00+00:00,0.8676,0.86838,0.8674,0.86745,3468,18,0
2025-07-28 13:00:00+00:00,0.86745,0.86783,0.86646,0.8671,3576,16,0
2025-07-28 14:00:00+00:00,0.8671,0.86789,0.86669,0.86755,4149,16,0
2025-07-28 15:00:00+00:00,0.86755,0.86779,0.8667,0.86678,3029,19,0
2025-07-28 16:00:00+00:00,0.86678,0.8674,0.86675,0.86686,2222,19,0
2025-07-28 17:00:00+00:00,0.86686,0.86765,0.86681,0.86757,1793,17,0
2025-07-28 18:00:00+00:00,0.86757,0.86821,0.86745,0.86817,2074,21,0
2025-07-28 19:00:00+00:00,0.86816,0.86823,0.86775,0.86786,1250,20,0
2025-07-28 20:00:00+00:00,0.86786,0.8679,0.8673,0.86736,1093,19,0
2025-07-28 21:00:00+00:00,0.86739,0.86765,0.86628,0.8672,1147,34,0
2025-07-28 22:00:00+00:00,0.86721,0.86779,0.86719,0.86761,835,22,0
2025-07-28 23:00:00+00:00,0.86762,0.8679,0.86759,0.86789,461,15,0
2025-07-29 00:00:00+00:00,0.86788,0.86815,0.8678,0.86796,1540,22,0
2025-07-29 01:00:00+00:00,0.86796,0.86833,0.86778,0.86814,1723,22,0
2025-07-29 02:00:00+00:00,0.86814,0.8684,0.86809,0.86817,1630,21,0
2025-07-29 03:00:00+00:00,0.86818,0.86824,0.86778,0.86809,1561,18,0
2025-07-29 04:00:00+00:00,0.86809,0.8681,0.86763,0.86796,1593,21,0
2025-07-29 05:00:00+00:00,0.86797,0.86797,0.86723,0.86726,1547,21,0
2025-07-29 06:00:00+00:00,0.86727,0.86757,0.86528,0.86534,3572,17,0
2025-07-29 07:00:00+00:00,0.86533,0.86676,0.86504,0.8665,4487,18,0
2025-07-29 08:00:00+00:00,0.8665,0.86708,0.86642,0.86701,3430,20,0
2025-07-29 09:00:00+00:00,0.86702,0.86758,0.86639,0.86679,3036,19,0
2025-07-29 10:00:00+00:00,0.86681,0.86716,0.86644,0.8668,2487,18,0
2025-07-29 11:00:00+00:00,0.86682,0.86695,0.86489,0.86494,3224,20,0
2025-07-29 12:00:00+00:00,0.86494,0.86554,0.86448,0.86547,3223,16,0
2025-07-29 13:00:00+00:00,0.86541,0.86662,0.86529,0.86629,3993,17,0
2025-07-29 14:00:00+00:00,0.86629,0.86637,0.86406,0.86447,4823,16,0
2025-07-29 15:00:00+00:00,0.86447,0.86509,0.86428,0.86455,3186,18,0
2025-07-29 16:00:00+00:00,0.86455,0.86529,0.86454,0.86514,2931,19,0
2025-07-29 17:00:00+00:00,0.86514,0.8657,0.86506,0.86511,2925,20,0
2025-07-29 18:00:00+00:00,0.86511,0.86526,0.86456,0.8647,1908,20,0
2025-07-29 19:00:00+00:00,0.86471,0.86503,0.86453,0.86457,1760,19,0
2025-07-29 20:00:00+00:00,0.86457,0.86479,0.86432,0.8645,1468,21,0
2025-07-29 21:00:00+00:00,0.86441,0.86479,0.86376,0.86471,876,46,0
2025-07-29 22:00:00+00:00,0.86471,0.86494,0.86453,0.86482,939,11,0
2025-07-29 23:00:00+00:00,0.86482,0.86493,0.86475,0.86488,521,24,0
2025-07-30 00:00:00+00:00,0.86487,0.86549,0.86485,0.86533,1921,22,0
