datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 06:30:00+00:00,1.1749100000000001,1.17603,1.17485,1.17578,777,8,0
2025-07-25 06:45:00+00:00,1.17578,1.17583,1.17463,1.17473,786,8,0
2025-07-25 07:00:00+00:00,1.17473,1.17554,1.17473,1.17549,831,8,0
2025-07-25 07:15:00+00:00,1.17551,1.17582,1.17499,1.1751800000000001,716,8,0
2025-07-25 07:30:00+00:00,1.17519,1.1758899999999999,1.17509,1.17557,850,8,0
2025-07-25 07:45:00+00:00,1.17557,1.17574,1.17492,1.17523,813,8,0
2025-07-25 08:00:00+00:00,1.17522,1.17575,1.17413,1.17432,1047,8,0
2025-07-25 08:15:00+00:00,1.17432,1.1746699999999999,1.1741,1.17458,775,8,0
2025-07-25 08:30:00+00:00,1.17458,1.17508,1.17454,1.17477,756,8,0
2025-07-25 08:45:00+00:00,1.17478,1.17483,1.17411,1.17427,654,8,0
2025-07-25 09:00:00+00:00,1.17426,1.17431,1.17324,1.17355,815,8,0
2025-07-25 09:15:00+00:00,1.17355,1.17391,1.17328,1.17363,617,8,0
2025-07-25 09:30:00+00:00,1.17361,1.17394,1.17346,1.17363,515,8,0
2025-07-25 09:45:00+00:00,1.17363,1.1736900000000001,1.17327,1.17344,522,8,0
2025-07-25 10:00:00+00:00,1.17344,1.17368,1.17328,1.17359,413,8,0
2025-07-25 10:15:00+00:00,1.17359,1.17366,1.17304,1.17343,539,8,0
2025-07-25 10:30:00+00:00,1.17343,1.17364,1.17319,1.17339,462,9,0
2025-07-25 10:45:00+00:00,1.17339,1.1734499999999999,1.17243,1.17277,616,8,0
2025-07-25 11:00:00+00:00,1.17277,1.17304,1.17196,1.17212,569,8,0
2025-07-25 11:15:00+00:00,1.17214,1.17214,1.17112,1.1712500000000001,760,8,0
2025-07-25 11:30:00+00:00,1.17123,1.17202,1.17123,1.1719,534,8,0
2025-07-25 11:45:00+00:00,1.17195,1.17244,1.1718600000000001,1.17205,736,8,0
