datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 09:00:00+00:00,1.0713,1.07251,1.07006,1.07071,15355,14,0
2025-07-25 13:00:00+00:00,1.07071,1.07086,1.06724,1.06735,19189,14,0
2025-07-25 17:00:00+00:00,1.06736,1.06812,1.06608,1.06665,8145,50,0
2025-07-27 21:00:00+00:00,1.06866,1.0688900000000001,1.06684,1.06839,10351,50,0
2025-07-28 01:00:00+00:00,1.0684,1.06898,1.06811,1.06871,15956,50,0
2025-07-28 05:00:00+00:00,1.0687,1.07233,1.06773,1.07224,20107,50,0
2025-07-28 09:00:00+00:00,1.07223,1.07599,1.07192,1.07581,19230,50,0
2025-07-28 13:00:00+00:00,1.07579,1.0774,1.07345,1.07392,19104,50,0
2025-07-28 17:00:00+00:00,1.07391,1.07401,1.07122,1.07211,8783,50,0
2025-07-28 21:00:00+00:00,1.07099,1.07334,1.07034,1.07245,8199,50,0
2025-07-29 01:00:00+00:00,1.07247,1.07283,1.0715,1.07256,11640,50,0
2025-07-29 05:00:00+00:00,1.07257,1.07533,1.07243,1.07394,19550,50,0
2025-07-29 09:00:00+00:00,1.07391,1.07659,1.07347,1.07491,18895,50,0
2025-07-29 13:00:00+00:00,1.07492,1.07657,1.07271,1.07553,21245,50,0
2025-07-29 17:00:00+00:00,1.07553,1.07632,1.07432,1.07512,11383,50,0
2025-07-29 21:00:00+00:00,1.07359,1.07569,1.07337,1.07461,8470,51,0
2025-07-30 01:00:00+00:00,1.07461,1.07522,1.07398,1.07515,12835,50,0
2025-07-30 05:00:00+00:00,1.07515,1.07573,1.07417,1.07501,16982,50,0
2025-07-30 09:00:00+00:00,1.07502,1.07896,1.07489,1.07818,19712,50,0
2025-07-30 13:00:00+00:00,1.07818,1.07992,1.07599,1.07625,19636,50,0
2025-07-30 17:00:00+00:00,1.07624,1.07895,1.07468,1.07784,22629,16,0
2025-07-30 21:00:00+00:00,1.07588,1.0786,1.07498,1.07727,9354,24,0
2025-07-31 01:00:00+00:00,1.07727,1.07859,1.07698,1.07808,14142,24,0
2025-07-31 05:00:00+00:00,1.0781,1.07814,1.07585,1.0766499999999999,18810,50,0
2025-07-31 09:00:00+00:00,1.07667,1.0771600000000001,1.07379,1.07442,18781,50,0
2025-07-31 13:00:00+00:00,1.07442,1.0752,1.07303,1.07402,22586,50,0
2025-07-31 17:00:00+00:00,1.07402,1.07402,1.07079,1.07226,12985,50,0
2025-07-31 21:00:00+00:00,1.07035,1.07514,1.06955,1.0735999999999999,11648,24,0
2025-08-01 01:00:00+00:00,1.0735999999999999,1.07434,1.07325,1.0742,14925,17,0
2025-08-01 05:00:00+00:00,1.0742,1.07566,1.07291,1.07503,17145,50,0
2025-08-01 09:00:00+00:00,1.07502,1.0752,1.06989,1.06991,23268,50,0
2025-08-01 13:00:00+00:00,1.06989,1.07167,1.06624,1.06813,34252,50,0
2025-08-01 17:00:00+00:00,1.06813,1.06863,1.06544,1.06585,18641,0,0
2025-08-03 21:00:00+00:00,1.0658,1.06944,1.06497,1.06943,7307,24,0
2025-08-04 01:00:00+00:00,1.06943,1.06994,1.06875,1.06904,8785,24,0
2025-08-04 05:00:00+00:00,1.06903,1.07428,1.06843,1.07415,12916,13,0
2025-08-04 09:00:00+00:00,1.07414,1.07576,1.07224,1.07279,13408,13,0
2025-08-04 13:00:00+00:00,1.07279,1.07676,1.07219,1.07321,15691,14,0
2025-08-04 17:00:00+00:00,1.07321,1.07354,1.07248,1.0733,7691,16,0
2025-08-04 21:00:00+00:00,1.07018,1.07497,1.06982,1.07495,9441,24,0
2025-08-05 01:00:00+00:00,1.07494,1.0754,1.07435,1.0753,8122,24,0
2025-08-05 05:00:00+00:00,1.0753,1.07715,1.07365,1.07708,11428,13,0
