datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 06:30:00+00:00,1.07328,1.07358,1.07248,1.07249,1230,50,0
2025-07-25 06:45:00+00:00,1.0725,1.07304,1.07241,1.07281,1111,50,0
2025-07-25 07:00:00+00:00,1.07282,1.07301,1.0723,1.07234,1278,50,0
2025-07-25 07:15:00+00:00,1.07235,1.07259,1.07186,1.07198,1202,50,0
2025-07-25 07:30:00+00:00,1.07197,1.07227,1.07125,1.07137,1327,50,0
2025-07-25 07:45:00+00:00,1.07139,1.07178,1.07112,1.07126,1311,50,0
2025-07-25 08:00:00+00:00,1.07127,1.07206,1.07114,1.07128,1570,50,0
2025-07-25 08:15:00+00:00,1.07128,1.0716,1.07111,1.07147,1196,50,0
2025-07-25 08:30:00+00:00,1.07149,1.07181,1.07128,1.07137,1252,50,0
2025-07-25 08:45:00+00:00,1.07138,1.07165,1.07116,1.07132,946,50,0
2025-07-25 09:00:00+00:00,1.0713,1.07222,1.07113,1.07148,1196,50,0
2025-07-25 09:15:00+00:00,1.07149,1.0718,1.07132,1.07163,924,50,0
2025-07-25 09:30:00+00:00,1.07169,1.07204,1.07145,1.0719,897,50,0
2025-07-25 09:45:00+00:00,1.0719,1.07251,1.07176,1.0723799999999999,957,50,0
2025-07-25 10:00:00+00:00,1.07241,1.07241,1.0717,1.07186,880,50,0
2025-07-25 10:15:00+00:00,1.07186,1.07216,1.07128,1.07141,1074,50,0
2025-07-25 10:30:00+00:00,1.07141,1.07146,1.0709,1.07126,785,50,0
2025-07-25 10:45:00+00:00,1.07126,1.07226,1.07116,1.07211,1029,50,0
2025-07-25 11:00:00+00:00,1.07216,1.07224,1.07186,1.07189,886,50,0
2025-07-25 11:15:00+00:00,1.0719,1.07207,1.07125,1.07149,1147,51,0
2025-07-25 11:30:00+00:00,1.07148,1.07151,1.07085,1.07089,896,50,0
2025-07-25 11:45:00+00:00,1.07089,1.07163,1.07089,1.07149,905,50,0
2025-07-25 12:00:00+00:00,1.07148,1.07195,1.07136,1.07178,784,50,0
2025-07-25 12:15:00+00:00,1.07178,1.07205,1.07149,1.07187,785,50,0
2025-07-25 12:30:00+00:00,1.07192,1.07197,1.07009,1.0701,1048,14,0
2025-07-25 12:45:00+00:00,1.0701100000000001,1.07092,1.07006,1.07071,1162,14,0
2025-07-25 13:00:00+00:00,1.07071,1.07071,1.06917,1.06965,1824,55,0
2025-07-25 13:15:00+00:00,1.06963,1.07023,1.06919,1.06997,1703,50,0
