datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 09:00:00+00:00,198.908,199.073,198.513,198.606,23207,10,0
2025-07-25 13:00:00+00:00,198.605,198.614,198.205,198.291,32509,10,0
2025-07-25 17:00:00+00:00,198.292,198.404,198.198,198.399,10338,30,0
2025-07-27 21:00:00+00:00,198.303,198.723,198.198,198.431,16096,25,0
2025-07-28 01:00:00+00:00,198.431,198.82,198.403,198.5,19477,30,0
2025-07-28 05:00:00+00:00,198.501,199.003,198.404,198.98,23525,25,0
2025-07-28 09:00:00+00:00,198.98,199.202,198.805,198.941,24614,25,0
2025-07-28 13:00:00+00:00,198.941,199.002,198.609,198.646,27273,25,0
2025-07-28 17:00:00+00:00,198.645,198.663,198.231,198.232,12653,26,0
2025-07-28 21:00:00+00:00,198.216,198.506,198.175,198.414,10453,29,0
2025-07-29 01:00:00+00:00,198.412,198.446,197.875,198.025,16325,28,0
2025-07-29 05:00:00+00:00,198.025,198.202,197.721,198.18,28501,25,0
2025-07-29 09:00:00+00:00,198.18,198.451,197.978,197.985,26358,27,0
2025-07-29 13:00:00+00:00,197.993,198.251,197.763,198.151,28802,28,0
2025-07-29 17:00:00+00:00,198.151,198.367,198.013,198.032,14010,30,0
2025-07-29 21:00:00+00:00,198.034,198.298,197.853,197.876,11023,31,0
2025-07-30 01:00:00+00:00,197.876,197.95,197.578,197.791,18875,29,0
2025-07-30 05:00:00+00:00,197.791,197.893,197.432,197.775,23811,25,0
2025-07-30 09:00:00+00:00,197.775,198.409,197.754,198.113,25927,25,0
2025-07-30 13:00:00+00:00,198.113,198.186,197.774,197.795,29620,30,0
2025-07-30 17:00:00+00:00,197.796,198.006,197.604,197.792,28835,19,0
2025-07-30 21:00:00+00:00,197.777,197.975,197.554,197.833,11125,18,0
2025-07-31 01:00:00+00:00,197.832,197.833,196.946,197.539,20502,25,0
2025-07-31 05:00:00+00:00,197.54,198.362,197.288,198.244,27028,25,0
2025-07-31 09:00:00+00:00,198.242,198.575,198.091,198.486,32110,25,0
2025-07-31 13:00:00+00:00,198.487,199.504,198.354,199.238,34564,25,0
2025-07-31 17:00:00+00:00,199.237,199.363,198.825,198.98,20768,30,0
2025-07-31 21:00:00+00:00,198.993,199.229,198.795,199.112,14509,18,0
2025-08-01 01:00:00+00:00,199.112,199.292,198.71,198.772,21004,18,0
2025-08-01 05:00:00+00:00,198.771,198.97,198.182,198.182,25779,30,0
2025-08-01 09:00:00+00:00,198.182,198.223,197.452,197.452,29522,25,0
2025-08-01 13:00:00+00:00,197.452,197.453,195.775,195.79,46614,25,0
2025-08-01 17:00:00+00:00,195.79,195.855,195.325,195.685,23526,0,0
2025-08-03 21:00:00+00:00,195.359,195.864,195.245,195.805,11597,18,0
2025-08-04 01:00:00+00:00,195.799,196.354,195.786,196.086,13276,18,0
2025-08-04 05:00:00+00:00,196.085,196.535,195.994,196.37,17005,10,0
2025-08-04 09:00:00+00:00,196.371,196.529,195.648,195.732,17780,10,0
2025-08-04 13:00:00+00:00,195.731,196.103,195.33,195.335,21513,10,0
2025-08-04 17:00:00+00:00,195.329,195.4,195.028,195.364,11930,19,0
2025-08-04 21:00:00+00:00,195.308,195.437,195.031,195.401,9158,18,0
2025-08-05 01:00:00+00:00,195.4,195.557,195.292,195.408,12160,18,0
2025-08-05 05:00:00+00:00,195.406,195.996,195.248,195.995,15986,10,0
2025-08-05 09:00:00+00:00,195.997,196.36,195.898,196.132,16247,10,0
2025-08-05 13:00:00+00:00,196.13,196.414,195.696,196.371,22124,10,0
2025-08-05 17:00:00+00:00,196.369,196.449,196.107,196.189,11615,19,0
2025-08-05 21:00:00+00:00,196.213,196.349,195.999,196.294,7263,18,0
2025-08-06 01:00:00+00:00,196.291,196.471,196.085,196.129,11185,18,0
2025-08-06 05:00:00+00:00,196.128,196.4,196.087,196.335,13973,10,0
2025-08-06 09:00:00+00:00,196.336,196.654,196.321,196.35,15818,10,0
2025-08-06 13:00:00+00:00,196.347,196.893,196.155,196.655,30342,10,0
2025-08-06 17:00:00+00:00,196.655,197.068,196.44,196.797,15630,19,0
2025-08-06 21:00:00+00:00,196.627,197.004,196.559,196.979,10831,25,0
2025-08-07 01:00:00+00:00,196.982,197.171,196.85,196.909,15976,25,0
2025-08-07 05:00:00+00:00,196.917,196.941,196.228,196.693,26129,27,0
2025-08-07 09:00:00+00:00,196.693,197.908,196.68,197.66,31373,25,0
2025-08-07 13:00:00+00:00,197.66,198.009,197.452,197.895,34329,26,0
2025-08-07 17:00:00+00:00,197.898,198.004,197.428,197.792,16566,27,0
2025-08-07 21:00:00+00:00,197.635,197.912,197.367,197.875,14400,26,0
2025-08-08 01:00:00+00:00,197.875,197.99,197.673,197.698,14997,25,0
2025-08-08 05:00:00+00:00,197.704,198.393,197.669,198.344,25579,25,0
2025-08-08 09:00:00+00:00,198.347,198.816,198.261,198.442,25478,25,0
2025-08-08 13:00:00+00:00,198.442,198.732,198.376,198.658,29651,27,0
2025-08-08 17:00:00+00:00,198.658,198.801,198.561,198.64,15728,29,0
2025-08-10 21:00:00+00:00,198.165,198.668,198.165,198.482,9177,29,0
2025-08-11 01:00:00+00:00,198.484,198.6,198.45,198.593,12774,29,0
2025-08-11 05:00:00+00:00,198.593,198.793,198.169,198.596,15517,25,0
2025-08-11 09:00:00+00:00,198.596,198.769,198.351,198.393,20805,29,0
2025-08-11 13:00:00+00:00,198.393,198.664,198.339,198.66,22167,29,0
2025-08-11 17:00:00+00:00,198.66,199.059,198.636,198.959,11847,29,0
2025-08-11 21:00:00+00:00,198.808,199.335,198.681,199.297,9627,30,0
2025-08-12 01:00:00+00:00,199.297,199.383,199.134,199.346,12656,29,0
2025-08-12 05:00:00+00:00,199.346,199.97,198.983,199.897,20926,29,0
2025-08-12 09:00:00+00:00,199.897,199.947,199.568,199.625,21415,25,0
2025-08-12 13:00:00+00:00,199.617,200.071,199.493,199.63,37686,25,0
2025-08-12 17:00:00+00:00,199.63,199.665,199.297,199.582,15879,29,0
2025-08-12 21:00:00+00:00,199.405,199.678,199.365,199.561,10760,25,0
2025-08-13 01:00:00+00:00,199.558,199.967,199.493,199.767,14932,29,0
2025-08-13 05:00:00+00:00,199.767,199.887,199.542,199.644,19507,26,0
2025-08-13 09:00:00+00:00,199.643,200.267,199.601,199.883,19143,29,0
2025-08-13 13:00:00+00:00,199.883,199.991,199.536,199.985,23553,29,0
2025-08-13 17:00:00+00:00,199.985,200.156,199.939,200.087,10237,29,0
2025-08-13 21:00:00+00:00,199.913,200.018,199.18,199.282,10451,25,0
2025-08-14 01:00:00+00:00,199.285,199.296,198.663,198.715,21518,25,0
2025-08-14 05:00:00+00:00,198.715,199.033,198.584,198.885,24285,25,0
2025-08-14 09:00:00+00:00,198.885,199.355,198.814,199.152,23554,25,0
2025-08-14 13:00:00+00:00,199.151,200.111,199.147,199.924,30454,26,0
2025-08-14 17:00:00+00:00,199.924,200.15,199.863,199.882,12671,25,0
2025-08-14 21:00:00+00:00,199.714,199.997,199.548,199.597,8661,28,0
2025-08-15 01:00:00+00:00,199.597,199.663,199.272,199.325,14851,27,0
2025-08-15 05:00:00+00:00,199.326,199.495,198.927,198.927,19997,29,0
2025-08-15 09:00:00+00:00,198.927,199.5,198.901,199.185,24063,29,0
2025-08-15 13:00:00+00:00,199.184,199.601,199.098,199.552,31362,29,0
2025-08-15 17:00:00+00:00,199.552,199.68,199.346,199.43,10384,29,0
2025-08-17 21:00:00+00:00,199.301,199.868,199.301,199.795,10993,29,0
2025-08-18 01:00:00+00:00,199.795,199.99,199.73,199.875,13902,29,0
2025-08-18 05:00:00+00:00,199.875,199.954,199.368,199.585,25361,29,0
2025-08-18 09:00:00+00:00,199.584,200.099,199.476,200.066,24732,28,0
2025-08-18 13:00:00+00:00,200.065,200.255,199.603,199.638,23767,27,0
2025-08-18 17:00:00+00:00,199.638,199.772,199.543,199.607,10893,27,0
2025-08-18 21:00:00+00:00,199.565,199.855,199.435,199.526,9853,30,0
2025-08-19 01:00:00+00:00,199.526,199.761,199.262,199.539,18987,26,0
2025-08-19 05:00:00+00:00,199.539,199.772,199.236,199.627,18075,29,0
2025-08-19 09:00:00+00:00,199.627,199.849,199.563,199.637,17668,29,0
2025-08-19 13:00:00+00:00,199.636,199.678,199.076,199.124,24291,26,0
2025-08-19 17:00:00+00:00,199.123,199.229,198.808,199.22,13277,29,0
2025-08-19 21:00:00+00:00,199.044,199.247,198.786,198.914,10749,30,0
2025-08-20 01:00:00+00:00,198.914,199.017,198.613,198.841,19042,25,0
2025-08-20 05:00:00+00:00,198.841,199.434,198.646,199.221,26324,25,0
2025-08-20 09:00:00+00:00,199.229,199.254,198.61,198.647,25150,25,0
2025-08-20 13:00:00+00:00,198.647,198.765,197.836,198.011,31787,25,0
2025-08-20 17:00:00+00:00,198.011,198.368,197.918,198.175,13054,29,0
2025-08-20 21:00:00+00:00,198.098,198.427,198.033,198.305,11570,29,0
