datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 06:30:00+00:00,12.86054,12.86259,12.85614,12.85915,1166,1388,0
2025-07-25 06:45:00+00:00,12.85915,12.86015,12.8502,12.85553,1127,1391,0
2025-07-25 07:00:00+00:00,12.85582,12.85638,12.84762,12.85412,1807,1427,0
2025-07-25 07:15:00+00:00,12.85398,12.85749,12.84539,12.84568,1603,1407,0
2025-07-25 07:30:00+00:00,12.84569,12.8484,12.83639,12.84401,1973,1336,0
2025-07-25 07:45:00+00:00,12.84374,12.84494,12.83179,12.83455,1772,1340,0
2025-07-25 08:00:00+00:00,12.83273,12.84275,12.83165,12.8341,1857,1335,0
2025-07-25 08:15:00+00:00,12.8341,12.84005,12.83081,12.8316,1568,1335,0
2025-07-25 08:30:00+00:00,12.8316,12.83204,12.82457,12.82703,1578,1357,0
2025-07-25 08:45:00+00:00,12.82717,12.82879,12.82281,12.82442,1270,1363,0
2025-07-25 09:00:00+00:00,12.82442,12.83246,12.82,12.82,1458,1335,0
2025-07-25 09:15:00+00:00,12.8202,12.82261,12.81622,12.82182,1533,1335,0
2025-07-25 09:30:00+00:00,12.82184,12.82296,12.81516,12.81847,1237,1349,0
2025-07-25 09:45:00+00:00,12.81861,12.82586,12.81082,12.82494,1486,1335,0
2025-07-25 10:00:00+00:00,12.82504,12.82816,12.81147,12.81639,1566,1460,0
2025-07-25 10:15:00+00:00,12.8165,12.82041,12.8122,12.81791,1196,1335,0
2025-07-25 10:30:00+00:00,12.81791,12.81963,12.81438,12.81706,1258,1341,0
2025-07-25 10:45:00+00:00,12.81708,12.81871,12.81079,12.81374,1855,1371,0
2025-07-25 11:00:00+00:00,12.81374,12.82049,12.80747,12.81903,1446,1326,0
2025-07-25 11:15:00+00:00,12.81903,12.82554,12.81514,12.81692,1724,1300,0
2025-07-25 11:30:00+00:00,12.81689,12.81735,12.80778,12.81048,1358,1281,0
2025-07-25 11:45:00+00:00,12.81043,12.81357,12.80346,12.81354,1839,1280,0
2025-07-25 12:00:00+00:00,12.81326,12.8139,12.80533,12.80867,1796,1280,0
2025-07-25 12:15:00+00:00,12.80883,12.81183,12.80388,12.80642,1609,1281,0
2025-07-25 12:30:00+00:00,12.80679,12.81277,12.80085,12.801,1788,495,0
2025-07-25 12:45:00+00:00,12.80095,12.80929,12.79711,12.80748,1677,412,0
2025-07-25 13:00:00+00:00,12.80773,12.81214,12.79803,12.8075,2333,1309,0
2025-07-25 13:15:00+00:00,12.80735,12.80885,12.79178,12.80243,2369,1280,0
2025-07-25 13:30:00+00:00,12.80214,12.80982,12.79773,12.80572,2683,1281,0
2025-07-25 13:45:00+00:00,12.80572,12.80804,12.79976,12.8065,2217,1281,0
2025-07-25 14:00:00+00:00,12.8065,12.80819,12.79559,12.79655,2051,1280,0
2025-07-25 14:15:00+00:00,12.79655,12.79702,12.78453,12.7908,1534,543,0
2025-07-25 14:30:00+00:00,12.79072,12.79403,12.78551,12.79063,2076,1279,0
2025-07-25 14:45:00+00:00,12.79078,12.79279,12.78379,12.78711,2021,1280,0
2025-07-25 15:00:00+00:00,12.78711,12.79114,12.78446,12.79093,2255,1293,0
2025-07-25 15:15:00+00:00,12.79093,12.79723,12.78829,12.7941,2159,1281,0
2025-07-25 15:30:00+00:00,12.7941,12.799479999999999,12.79185,12.79424,1580,1279,0
2025-07-25 15:45:00+00:00,12.79409,12.79722,12.78801,12.792,1902,1280,0
2025-07-25 16:00:00+00:00,12.79205,12.797789999999999,12.78543,12.78912,2518,1191,0
2025-07-25 16:15:00+00:00,12.7896,12.79433,12.78214,12.78588,2264,1190,0
2025-07-25 16:30:00+00:00,12.78597,12.78992,12.77378,12.77533,1877,1190,0
2025-07-25 16:45:00+00:00,12.77533,12.78382,12.77147,12.78361,1698,1189,0
2025-07-25 17:00:00+00:00,12.78391,12.78669,12.77648,12.77994,1283,1189,0
2025-07-25 17:15:00+00:00,12.77994,12.78183,12.77528,12.778410000000001,988,1204,0
2025-07-25 17:30:00+00:00,12.777989999999999,12.78067,12.77249,12.77906,1150,1188,0
2025-07-25 17:45:00+00:00,12.779209999999999,12.77969,12.76925,12.77187,1602,1188,0
2025-07-25 18:00:00+00:00,12.77179,12.78095,12.76974,12.77814,1757,1235,0
2025-07-25 18:15:00+00:00,12.77816,12.77952,12.77519,12.77674,1565,1501,0
2025-07-25 18:30:00+00:00,12.77705,12.77967,12.77287,12.77715,1546,1438,0
2025-07-25 18:45:00+00:00,12.77692,12.78109,12.7668,12.77281,1521,1188,0
2025-07-25 19:00:00+00:00,12.77325,12.78246,12.77237,12.781179999999999,1390,1189,0
2025-07-25 19:15:00+00:00,12.7809,12.78155,12.77229,12.77735,1129,1188,0
2025-07-25 19:30:00+00:00,12.77758,12.77937,12.77135,12.77308,1371,1189,0
2025-07-25 19:45:00+00:00,12.77325,12.77949,12.77044,12.77721,1425,1273,0
2025-07-25 20:00:00+00:00,12.77721,12.78187,12.77326,12.77779,1366,1192,0
2025-07-25 20:15:00+00:00,12.77789,12.77789,12.76674,12.77308,1115,1209,0
2025-07-25 20:30:00+00:00,12.77294,12.77449,12.74772,12.74887,862,1208,0
2025-07-25 20:45:00+00:00,12.74887,12.76073,12.74814,12.75638,1328,6338,0
2025-07-27 21:30:00+00:00,12.70234,12.73019,12.69891,12.70181,249,7309,0
2025-07-27 21:45:00+00:00,12.7018,12.76805,12.70132,12.76545,190,7309,0
2025-07-27 22:00:00+00:00,12.76609,12.78179,12.752510000000001,12.76589,2344,3620,0
2025-07-27 22:15:00+00:00,12.76531,12.77429,12.76129,12.76659,2034,2451,0
2025-07-27 22:30:00+00:00,12.7686,12.7757,12.76462,12.76855,2717,2219,0
2025-07-27 22:45:00+00:00,12.76879,12.77562,12.76656,12.77303,2922,2308,0
2025-07-27 23:00:00+00:00,12.769449999999999,12.77235,12.73087,12.75158,1955,2647,0
2025-07-27 23:15:00+00:00,12.7516,12.76354,12.743829999999999,12.76047,2500,1934,0
2025-07-27 23:30:00+00:00,12.76048,12.76583,12.75344,12.76371,1678,1746,0
2025-07-27 23:45:00+00:00,12.76371,12.76711,12.75799,12.7665,1709,1744,0
2025-07-28 00:00:00+00:00,12.76676,12.76704,12.7568,12.76299,2361,2005,0
2025-07-28 00:15:00+00:00,12.76295,12.76566,12.75717,12.76561,2046,2186,0
2025-07-28 00:30:00+00:00,12.76563,12.76899,12.7617,12.764240000000001,2212,2205,0
2025-07-28 00:45:00+00:00,12.764240000000001,12.767,12.75886,12.76104,2618,2280,0
2025-07-28 01:00:00+00:00,12.76087,12.76618,12.75332,12.753589999999999,2793,1844,0
2025-07-28 01:15:00+00:00,12.75334,12.76605,12.74952,12.76439,1910,1737,0
2025-07-28 01:30:00+00:00,12.76438,12.76895,12.75976,12.7685,2809,1737,0
2025-07-28 01:45:00+00:00,12.76849,12.77294,12.76576,12.77166,2850,1754,0
2025-07-28 02:00:00+00:00,12.77166,12.77301,12.76378,12.76422,2518,1948,0
2025-07-28 02:15:00+00:00,12.76433,12.76647,12.75976,12.76551,2166,1993,0
2025-07-28 02:30:00+00:00,12.76554,12.77163,12.76528,12.77144,944,1737,0
2025-07-28 02:45:00+00:00,12.77129,12.77206,12.76271,12.76364,1397,1737,0
2025-07-28 03:00:00+00:00,12.76427,12.76791,12.76288,12.7676,1756,2262,0
2025-07-28 03:15:00+00:00,12.7676,12.76777,12.75819,12.76244,1605,2199,0
2025-07-28 03:30:00+00:00,12.76246,12.77023,12.76093,12.76914,1323,1767,0
2025-07-28 03:45:00+00:00,12.76914,12.77407,12.75932,12.76003,1298,1737,0
2025-07-28 04:00:00+00:00,12.76003,12.77588,12.76003,12.77181,1694,1737,0
2025-07-28 04:15:00+00:00,12.77181,12.77445,12.77036,12.77102,1105,1737,0
2025-07-28 04:30:00+00:00,12.77094,12.77348,12.76251,12.76548,1372,1901,0
2025-07-28 04:45:00+00:00,12.7655,12.77131,12.76252,12.7687,1072,1971,0
2025-07-28 05:00:00+00:00,12.76871,12.77619,12.76555,12.77567,1423,1784,0
2025-07-28 05:15:00+00:00,12.77569,12.77845,12.77494,12.77553,1430,1752,0
2025-07-28 05:30:00+00:00,12.77549,12.77717,12.77271,12.77669,1490,2057,0
2025-07-28 05:45:00+00:00,12.7767,12.77744,12.77112,12.77298,1568,2346,0
2025-07-28 06:00:00+00:00,12.78058,12.78878,12.78058,12.7856,1174,1395,0
2025-07-28 06:15:00+00:00,12.78574,12.80085,12.78394,12.79459,1779,1387,0
2025-07-28 06:30:00+00:00,12.79459,12.79519,12.78529,12.78863,1624,1418,0
2025-07-28 06:45:00+00:00,12.78862,12.78913,12.77011,12.77815,2108,1415,0
2025-07-28 07:00:00+00:00,12.77829,12.78637,12.77071,12.78319,1843,1389,0
2025-07-28 07:15:00+00:00,12.78319,12.79497,12.77755,12.79453,1990,1369,0
2025-07-28 07:30:00+00:00,12.79423,12.81468,12.79423,12.81255,1852,1337,0
2025-07-28 07:45:00+00:00,12.81255,12.81909,12.80665,12.81802,1919,1403,0
2025-07-28 08:00:00+00:00,12.8176,12.82421,12.81568,12.81664,1616,1336,0
2025-07-28 08:15:00+00:00,12.81649,12.8186,12.80693,12.80881,1904,1336,0
2025-07-28 08:30:00+00:00,12.80863,12.81479,12.80553,12.80555,1865,1407,0
2025-07-28 08:45:00+00:00,12.80556,12.81529,12.80184,12.81098,1633,1337,0
2025-07-28 09:00:00+00:00,12.81128,12.81152,12.80189,12.80204,1684,1337,0
2025-07-28 09:15:00+00:00,12.80189,12.81532,12.79982,12.81328,1730,1337,0
2025-07-28 09:30:00+00:00,12.81343,12.83002,12.81183,12.82222,1901,1346,0
2025-07-28 09:45:00+00:00,12.82222,12.82429,12.81899,12.82175,1262,1338,0
2025-07-28 10:00:00+00:00,12.82145,12.82777,12.81605,12.819420000000001,1432,1339,0
2025-07-28 10:15:00+00:00,12.819420000000001,12.83498,12.81797,12.83015,1452,1410,0
2025-07-28 10:30:00+00:00,12.83015,12.8424,12.82827,12.83929,1499,1400,0
2025-07-28 10:45:00+00:00,12.83929,12.84484,12.83409,12.84305,1381,1341,0
2025-07-28 11:00:00+00:00,12.84301,12.85156,12.84252,12.84281,1758,1286,0
2025-07-28 11:15:00+00:00,12.84301,12.84618,12.83463,12.83858,1634,1284,0
2025-07-28 11:30:00+00:00,12.83842,12.84309,12.83539,12.83964,1665,1310,0
2025-07-28 11:45:00+00:00,12.83964,12.85007,12.83629,12.84904,1646,1285,0
2025-07-28 12:00:00+00:00,12.84904,12.8494,12.83415,12.8478,1656,1401,0
2025-07-28 12:15:00+00:00,12.84776,12.85353,12.83721,12.83781,1599,1326,0
2025-07-28 12:30:00+00:00,12.83781,12.83988,12.83002,12.83264,1685,1286,0
2025-07-28 12:45:00+00:00,12.83265,12.84139,12.83262,12.83971,1559,1318,0
2025-07-28 13:00:00+00:00,12.83971,12.8406,12.8283,12.83688,1869,1341,0
2025-07-28 13:15:00+00:00,12.83689,12.84904,12.83578,12.84777,2337,1286,0
2025-07-28 13:30:00+00:00,12.84777,12.85031,12.84129,12.84993,1919,1287,0
2025-07-28 13:45:00+00:00,12.85027,12.85419,12.84191,12.84554,1991,1396,0
2025-07-28 14:00:00+00:00,12.84564,12.85307,12.84344,12.84469,2054,1285,0
2025-07-28 14:15:00+00:00,12.84455,12.84983,12.83967,12.84305,1970,1285,0
2025-07-28 14:30:00+00:00,12.84305,12.84497,12.83635,12.8404,1701,1330,0
2025-07-28 14:45:00+00:00,12.8404,12.8431,12.83592,12.84272,1841,1283,0
2025-07-28 15:00:00+00:00,12.842459999999999,12.84407,12.83409,12.84209,1844,1284,0
2025-07-28 15:15:00+00:00,12.84209,12.85361,12.8396,12.84529,1954,1284,0
2025-07-28 15:30:00+00:00,12.84534,12.84743,12.83956,12.84437,1516,1285,0
2025-07-28 15:45:00+00:00,12.84437,12.85294,12.84436,12.84901,1484,1285,0
2025-07-28 16:00:00+00:00,12.84568,12.84897,12.83991,12.84285,2404,1342,0
2025-07-28 16:15:00+00:00,12.84286,12.84599,12.82878,12.83183,2043,1195,0
2025-07-28 16:30:00+00:00,12.83211,12.84054,12.82767,12.83369,2004,1195,0
2025-07-28 16:45:00+00:00,12.83352,12.84311,12.83147,12.83996,1978,1195,0
2025-07-28 17:00:00+00:00,12.83999,12.85307,12.83974,12.85073,1996,1197,0
2025-07-28 17:15:00+00:00,12.85073,12.85109,12.83899,12.84319,2098,1236,0
2025-07-28 17:30:00+00:00,12.84319,12.84596,12.83602,12.84451,1736,1196,0
2025-07-28 17:45:00+00:00,12.84452,12.84658,12.82704,12.82812,1829,1196,0
2025-07-28 18:00:00+00:00,12.82812,12.838470000000001,12.82469,12.83287,1657,1195,0
2025-07-28 18:15:00+00:00,12.83298,12.83734,12.82818,12.83462,1677,1319,0
2025-07-28 18:30:00+00:00,12.83471,12.83566,12.82558,12.83346,1332,1194,0
2025-07-28 18:45:00+00:00,12.83361,12.83454,12.82322,12.82518,1653,1194,0
2025-07-28 19:00:00+00:00,12.82518,12.83424,12.82306,12.83201,1236,1193,0
2025-07-28 19:15:00+00:00,12.83194,12.832,12.8275,12.8282,1109,1372,0
2025-07-28 19:30:00+00:00,12.82837,12.83281,12.82629,12.82775,1087,1193,0
2025-07-28 19:45:00+00:00,12.82775,12.83372,12.82232,12.82481,1441,1194,0
2025-07-28 20:00:00+00:00,12.82481,12.83159,12.82319,12.82865,1534,1201,0
2025-07-28 20:15:00+00:00,12.82865,12.83295,12.82098,12.82844,1314,1195,0
2025-07-28 20:30:00+00:00,12.828289999999999,12.83006,12.80121,12.80121,857,1196,0
2025-07-28 20:45:00+00:00,12.80121,12.807690000000001,12.80033,12.806470000000001,725,6342,0
2025-07-28 21:00:00+00:00,12.83077,12.85021,12.83077,12.83137,48,7309,0
2025-07-28 21:15:00+00:00,12.83137,12.83253,12.79715,12.80049,147,7309,0
2025-07-28 21:30:00+00:00,12.79759,12.81839,12.79745,12.81241,858,7309,0
2025-07-28 21:45:00+00:00,12.81241,12.81899,12.80101,12.80995,930,5305,0
