datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 09:00:00+00:00,1.3462100000000001,1.34633,1.34225,1.34324,9933,2,0
2025-07-25 13:00:00+00:00,1.34325,1.34427,1.34154,1.342,15268,2,0
2025-07-25 17:00:00+00:00,1.34199,1.34387,1.34188,1.34358,7113,18,0
2025-07-27 21:00:00+00:00,1.3424,1.34482,1.34209,1.34425,6151,18,0
2025-07-28 01:00:00+00:00,1.34425,1.34517,1.34293,1.34353,6808,18,0
2025-07-28 05:00:00+00:00,1.34353,1.34356,1.34053,1.34201,12415,18,0
2025-07-28 09:00:00+00:00,1.342,1.34374,1.34021,1.34367,12422,18,0
2025-07-28 13:00:00+00:00,1.34367,1.34389,1.33755,1.33778,13600,18,0
2025-07-28 17:00:00+00:00,1.33777,1.33795,1.33494,1.33494,6348,18,0
2025-07-28 21:00:00+00:00,1.33493,1.33606,1.33441,1.33446,4299,18,0
2025-07-29 01:00:00+00:00,1.33446,1.33575,1.33358,1.33486,6455,18,0
2025-07-29 05:00:00+00:00,1.33486,1.33527,1.33147,1.33408,12327,18,0
2025-07-29 09:00:00+00:00,1.33408,1.33609,1.33152,1.3315299999999999,11914,18,0
2025-07-29 13:00:00+00:00,1.3314599999999999,1.33465,1.33067,1.33379,15368,18,0
2025-07-29 17:00:00+00:00,1.3338,1.33637,1.33347,1.33433,8844,18,0
2025-07-29 21:00:00+00:00,1.3341,1.33656,1.33391,1.33648,3750,13,0
2025-07-30 01:00:00+00:00,1.33648,1.33684,1.33488,1.33499,7594,18,0
2025-07-30 05:00:00+00:00,1.335,1.33681,1.3341,1.3366500000000001,9774,18,0
2025-07-30 09:00:00+00:00,1.3366500000000001,1.3384800000000001,1.33064,1.33079,12653,18,0
2025-07-30 13:00:00+00:00,1.33078,1.33128,1.32687,1.3280699999999999,15124,18,0
2025-07-30 17:00:00+00:00,1.32808,1.33117,1.32269,1.32318,18369,4,0
2025-07-30 21:00:00+00:00,1.32313,1.32581,1.3219699999999999,1.32504,4808,18,0
2025-07-31 01:00:00+00:00,1.32504,1.32687,1.32409,1.3268,9130,18,0
2025-07-31 05:00:00+00:00,1.32679,1.3281,1.32388,1.32488,12059,18,0
2025-07-31 09:00:00+00:00,1.32488,1.3249,1.32078,1.32156,12828,18,0
2025-07-31 13:00:00+00:00,1.32156,1.32385,1.31848,1.3222,17031,18,0
2025-07-31 17:00:00+00:00,1.32219,1.32261,1.31983,1.3202099999999999,9250,18,0
2025-07-31 21:00:00+00:00,1.32008,1.32124,1.3195700000000001,1.32093,6132,18,0
2025-08-01 01:00:00+00:00,1.32092,1.3212,1.31891,1.31979,7803,4,0
2025-08-01 05:00:00+00:00,1.31978,1.3212,1.3159,1.31595,10736,18,0
2025-08-01 09:00:00+00:00,1.31605,1.3302100000000001,1.31391,1.3284,14845,2,0
2025-08-01 13:00:00+00:00,1.3283800000000001,1.3309199999999999,1.32413,1.32443,26043,18,0
2025-08-01 17:00:00+00:00,1.3244099999999999,1.32916,1.32149,1.32778,11564,0,0
2025-08-03 21:00:00+00:00,1.32687,1.32931,1.32579,1.32615,5493,4,0
2025-08-04 01:00:00+00:00,1.32614,1.32898,1.32534,1.32775,6341,4,0
2025-08-04 05:00:00+00:00,1.32775,1.32914,1.32643,1.32776,9089,2,0
2025-08-04 09:00:00+00:00,1.32775,1.33142,1.32704,1.32974,9855,2,0
2025-08-04 13:00:00+00:00,1.32973,1.3331,1.32773,1.32851,12534,2,0
2025-08-04 17:00:00+00:00,1.3285,1.32874,1.32721,1.32873,5718,4,0
2025-08-04 21:00:00+00:00,1.32802,1.33029,1.32762,1.3299,4000,4,0
2025-08-05 01:00:00+00:00,1.3299,1.32996,1.32752,1.32856,5448,4,0
2025-08-05 05:00:00+00:00,1.32856,1.32954,1.32596,1.32801,8218,2,0
2025-08-05 09:00:00+00:00,1.32803,1.32952,1.3266200000000001,1.32822,9427,2,0
2025-08-05 13:00:00+00:00,1.32821,1.33161,1.32683,1.33094,12952,2,0
2025-08-05 17:00:00+00:00,1.33096,1.33157,1.32888,1.32979,6291,4,0
2025-08-05 21:00:00+00:00,1.32949,1.3306,1.32893,1.33007,3179,4,0
2025-08-06 01:00:00+00:00,1.33006,1.3314,1.32947,1.33111,4553,4,0
2025-08-06 05:00:00+00:00,1.33111,1.33117,1.32813,1.32834,7030,2,0
2025-08-06 09:00:00+00:00,1.32833,1.333,1.32832,1.33172,8750,2,0
2025-08-06 13:00:00+00:00,1.33171,1.3361399999999999,1.3312,1.33462,15467,2,0
2025-08-06 17:00:00+00:00,1.33462,1.33673,1.33446,1.33564,9201,4,0
2025-08-06 21:00:00+00:00,1.33469,1.33596,1.33368,1.3347,4491,18,0
2025-08-07 01:00:00+00:00,1.33469,1.33678,1.33449,1.33673,6001,18,0
2025-08-07 05:00:00+00:00,1.33674,1.33791,1.33623,1.33683,9612,18,0
2025-08-07 09:00:00+00:00,1.33683,1.34358,1.33643,1.34199,14067,18,0
2025-08-07 13:00:00+00:00,1.342,1.34333,1.33899,1.3429,16562,18,0
2025-08-07 17:00:00+00:00,1.34291,1.34474,1.34029,1.34412,11205,18,0
2025-08-07 21:00:00+00:00,1.3439999999999999,1.34524,1.34348,1.34471,5009,18,0
2025-08-08 01:00:00+00:00,1.3447200000000001,1.34497,1.34335,1.3434300000000001,5564,18,0
2025-08-08 05:00:00+00:00,1.34342,1.34501,1.34234,1.34335,9333,18,0
2025-08-08 09:00:00+00:00,1.34336,1.34523,1.34171,1.3422,11717,18,0
2025-08-08 13:00:00+00:00,1.3422100000000001,1.34534,1.3422100000000001,1.34466,14181,18,0
2025-08-08 17:00:00+00:00,1.34466,1.34581,1.34422,1.3447,8305,18,0
2025-08-10 21:00:00+00:00,1.3437000000000001,1.34506,1.34357,1.34418,3185,18,0
2025-08-11 01:00:00+00:00,1.34418,1.34672,1.34402,1.34653,4656,18,0
2025-08-11 05:00:00+00:00,1.34654,1.34759,1.34473,1.34638,7837,18,0
2025-08-11 09:00:00+00:00,1.34637,1.34684,1.34117,1.34222,9586,18,0
2025-08-11 13:00:00+00:00,1.34223,1.3425799999999999,1.33987,1.34237,11737,18,0
2025-08-11 17:00:00+00:00,1.34237,1.34363,1.34167,1.34299,6770,18,0
2025-08-11 21:00:00+00:00,1.3425500000000001,1.34366,1.34216,1.34293,3357,18,0
2025-08-12 01:00:00+00:00,1.34293,1.34387,1.34237,1.3437299999999999,5311,18,0
2025-08-12 05:00:00+00:00,1.34374,1.34704,1.3419400000000001,1.34681,10907,18,0
2025-08-12 09:00:00+00:00,1.34681,1.35088,1.34456,1.34846,12368,18,0
2025-08-12 13:00:00+00:00,1.34843,1.35229,1.34622,1.3514599999999999,19942,18,0
2025-08-12 17:00:00+00:00,1.35148,1.3515,1.34873,1.34994,7616,18,0
2025-08-12 21:00:00+00:00,1.34817,1.35053,1.34817,1.3501699999999999,4987,18,0
2025-08-13 01:00:00+00:00,1.3501699999999999,1.35068,1.3492,1.35039,4845,18,0
2025-08-13 05:00:00+00:00,1.35039,1.3562,1.34988,1.3556300000000001,9489,18,0
2025-08-13 09:00:00+00:00,1.3556300000000001,1.35788,1.35554,1.3559700000000001,10246,18,0
2025-08-13 13:00:00+00:00,1.35598,1.3584,1.35529,1.35724,12556,18,0
2025-08-13 17:00:00+00:00,1.35724,1.35799,1.3562699999999999,1.35764,5922,18,0
2025-08-13 21:00:00+00:00,1.35654,1.35868,1.35572,1.35849,3474,18,0
2025-08-14 01:00:00+00:00,1.35849,1.3591,1.357,1.3574899999999999,6204,18,0
2025-08-14 05:00:00+00:00,1.35748,1.3590200000000001,1.35623,1.35712,11095,18,0
2025-08-14 09:00:00+00:00,1.35712,1.3594,1.35454,1.3552,12445,18,0
2025-08-14 13:00:00+00:00,1.35519,1.3556,1.3519999999999999,1.35223,15094,18,0
2025-08-14 17:00:00+00:00,1.35226,1.3538299999999999,1.35222,1.35291,6790,18,0
2025-08-14 21:00:00+00:00,1.35232,1.35342,1.35232,1.35334,3185,18,0
2025-08-15 01:00:00+00:00,1.35334,1.3550200000000001,1.35301,1.35469,5346,18,0
2025-08-15 05:00:00+00:00,1.35469,1.35593,1.35419,1.35457,7172,18,0
2025-08-15 09:00:00+00:00,1.35456,1.35686,1.3545099999999999,1.35602,8970,18,0
2025-08-15 13:00:00+00:00,1.35602,1.35742,1.35531,1.35565,12680,18,0
2025-08-15 17:00:00+00:00,1.35565,1.35592,1.35489,1.3550499999999999,6585,18,0
2025-08-17 21:00:00+00:00,1.35468,1.3563100000000001,1.35468,1.35523,3736,18,0
2025-08-18 01:00:00+00:00,1.35523,1.35641,1.35483,1.35621,4522,18,0
2025-08-18 05:00:00+00:00,1.3562,1.35632,1.35302,1.35455,9057,18,0
2025-08-18 09:00:00+00:00,1.35455,1.35494,1.35344,1.35431,8628,18,0
2025-08-18 13:00:00+00:00,1.35431,1.35455,1.35061,1.3508200000000001,11275,18,0
2025-08-18 17:00:00+00:00,1.35081,1.35147,1.35008,1.35012,5777,18,0
2025-08-18 21:00:00+00:00,1.35007,1.35126,1.34997,1.35019,3536,18,0
2025-08-19 01:00:00+00:00,1.35018,1.35056,1.3486,1.3504399999999999,5961,18,0
2025-08-19 05:00:00+00:00,1.3504399999999999,1.35218,1.34957,1.35191,8907,18,0
2025-08-19 09:00:00+00:00,1.35191,1.35303,1.35027,1.35088,8238,18,0
2025-08-19 13:00:00+00:00,1.35088,1.3515,1.34846,1.34884,11439,18,0
2025-08-19 17:00:00+00:00,1.34884,1.34947,1.34767,1.34914,5488,18,0
2025-08-19 21:00:00+00:00,1.34852,1.3492,1.3474,1.34793,4841,18,0
2025-08-20 01:00:00+00:00,1.34792,1.34825,1.3461,1.34735,7778,18,0
2025-08-20 05:00:00+00:00,1.3473600000000001,1.3508499999999999,1.3471,1.35002,10694,18,0
2025-08-20 09:00:00+00:00,1.34999,1.35046,1.3470900000000001,1.34882,8569,18,0
2025-08-20 13:00:00+00:00,1.34882,1.34908,1.3446799999999999,1.3459699999999999,12526,18,0
2025-08-20 17:00:00+00:00,1.34596,1.3471199999999999,1.34474,1.34542,6880,18,0
2025-08-20 21:00:00+00:00,1.34515,1.34659,1.3446799999999999,1.34559,4057,18,0
2025-08-21 01:00:00+00:00,1.34559,1.34638,1.34457,1.3451,5189,18,0
2025-08-21 05:00:00+00:00,1.34514,1.34707,1.3434599999999999,1.3465099999999999,9328,18,0
2025-08-21 09:00:00+00:00,1.3465099999999999,1.34816,1.3441,1.3445,10817,18,0
2025-08-21 13:00:00+00:00,1.34454,1.34586,1.34047,1.34182,15816,18,0
2025-08-21 17:00:00+00:00,1.34184,1.3425799999999999,1.34105,1.34115,6793,4,0
2025-08-21 21:00:00+00:00,1.34056,1.3419400000000001,1.34056,1.34192,3194,18,0
2025-08-22 01:00:00+00:00,1.34192,1.34225,1.33925,1.33931,6733,18,0
2025-08-22 05:00:00+00:00,1.33932,1.3413599999999999,1.33897,1.34127,8433,18,0
2025-08-22 09:00:00+00:00,1.34128,1.34196,1.34066,1.34124,8910,18,0
2025-08-22 13:00:00+00:00,1.34123,1.35433,1.34116,1.35246,20255,18,0
2025-08-22 17:00:00+00:00,1.35246,1.35432,1.35163,1.3523800000000001,9275,18,0
2025-08-24 21:00:00+00:00,1.35132,1.35278,1.34942,1.34965,4366,18,0
2025-08-25 01:00:00+00:00,1.34965,1.35141,1.34887,1.3510900000000001,5578,18,0
2025-08-25 05:00:00+00:00,1.3510900000000001,1.35262,1.35016,1.35023,7715,18,0
2025-08-25 09:00:00+00:00,1.35023,1.35198,1.3483,1.35038,7667,2,0
2025-08-25 13:00:00+00:00,1.35039,1.35122,1.3483800000000001,1.34873,12340,18,0
2025-08-25 17:00:00+00:00,1.34872,1.3489,1.34453,1.34515,8552,18,0
2025-08-25 21:00:00+00:00,1.34428,1.34897,1.34419,1.34801,6946,18,0
2025-08-26 01:00:00+00:00,1.3479999999999999,1.3482,1.3449499999999999,1.34559,8360,18,0
2025-08-26 05:00:00+00:00,1.34559,1.34687,1.3433899999999999,1.34628,13027,18,0
2025-08-26 09:00:00+00:00,1.34628,1.34925,1.34607,1.34784,10940,2,0
2025-08-26 13:00:00+00:00,1.3477999999999999,1.3492199999999999,1.34696,1.34767,14109,18,0
2025-08-26 17:00:00+00:00,1.34768,1.34846,1.34674,1.34768,6470,18,0
2025-08-26 21:00:00+00:00,1.3472,1.34817,1.34681,1.34706,4082,18,0
