datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2026-03-06 09:00:00+00:00,8.8801,8.8861,8.8221,8.8231,1110,58,0
2026-03-06 13:00:00+00:00,8.8211,8.8841,8.812100000000001,8.8501,5727,48,0
2026-03-06 17:00:00+00:00,8.8501,8.8711,8.8501,8.8621,1475,48,0
2026-03-08 21:00:00+00:00,8.812100000000001,8.8331,8.7871,8.8101,3105,58,0
2026-03-09 01:00:00+00:00,8.8101,8.8281,8.8011,8.8201,3086,68,0
2026-03-09 05:00:00+00:00,8.8201,8.8531,8.8111,8.8531,4371,58,0
2026-03-09 09:00:00+00:00,8.8531,8.8981,8.8391,8.8931,3945,48,0
2026-03-09 13:00:00+00:00,8.8931,8.9161,8.8791,8.8871,3725,48,0
2026-03-09 17:00:00+00:00,8.8871,8.9541,8.8841,8.9301,2623,48,0
2026-03-09 21:00:00+00:00,8.9301,8.9491,8.9151,8.9251,2656,68,0
2026-03-10 01:00:00+00:00,8.9251,8.9301,8.9161,8.9221,1839,58,0
2026-03-10 05:00:00+00:00,8.9221,8.9971,8.9211,8.9931,2626,58,0
2026-03-10 09:00:00+00:00,8.9931,9.0051,8.9701,8.9791,3458,48,0
2026-03-10 13:00:00+00:00,8.9791,9.0261,8.9761,8.9941,3028,48,0
2026-03-10 17:00:00+00:00,8.9941,8.9971,8.9561,8.9681,2610,48,0
2026-03-10 21:00:00+00:00,8.9701,9.0201,8.9641,9.0171,1298,68,0
2026-03-11 01:00:00+00:00,9.0171,9.0241,9.0041,9.0071,953,68,0
2026-03-11 05:00:00+00:00,9.0071,9.0071,8.9741,8.9761,2333,58,0
2026-03-11 09:00:00+00:00,8.9761,9.0061,8.9691,8.9841,2926,48,0
2026-03-11 13:00:00+00:00,8.9831,9.0191,8.9711,8.9741,3161,58,0
2026-03-11 17:00:00+00:00,8.9741,8.9971,8.9711,8.9881,1164,58,0
2026-03-11 21:00:00+00:00,8.9931,8.9941,8.9511,8.9561,1978,68,0
2026-03-12 01:00:00+00:00,8.9561,8.9611,8.9391,8.9551,1356,68,0
2026-03-12 05:00:00+00:00,8.9551,8.9691,8.937100000000001,8.9691,1766,58,0
2026-03-12 09:00:00+00:00,8.9691,8.9721,8.8991,8.9001,2618,48,0
2026-03-12 13:00:00+00:00,8.9011,8.9441,8.8911,8.9361,4083,58,0
2026-03-12 17:00:00+00:00,8.937100000000001,8.9431,8.9021,8.9141,1126,58,0
2026-03-12 21:00:00+00:00,8.8991,8.9351,8.8991,8.9341,1416,58,0
2026-03-13 01:00:00+00:00,8.9341,8.9441,8.9261,8.9331,1497,58,0
2026-03-13 05:00:00+00:00,8.9331,8.9351,8.8771,8.9181,2356,58,0
2026-03-13 09:00:00+00:00,8.9181,8.9601,8.9091,8.950099999999999,2837,48,0
2026-03-13 13:00:00+00:00,8.9491,8.9631,8.8771,8.9151,3693,48,0
2026-03-13 17:00:00+00:00,8.9161,8.9241,8.8811,8.8951,856,48,0
2026-03-15 21:00:00+00:00,8.8721,8.9331,8.8721,8.9291,1783,58,0
2026-03-16 01:00:00+00:00,8.9291,8.937100000000001,8.9171,8.9211,1093,58,0
2026-03-16 05:00:00+00:00,8.9211,8.9271,8.8991,8.9261,2024,48,0
2026-03-16 09:00:00+00:00,8.9261,8.9601,8.9241,8.9571,2183,58,0
2026-03-16 13:00:00+00:00,8.9561,8.9811,8.9261,8.9781,2529,48,0
2026-03-16 17:00:00+00:00,8.9781,9.0021,8.9711,8.9851,1166,58,0
2026-03-16 21:00:00+00:00,8.9881,9.0071,8.9801,9.0031,1181,58,0
2026-03-17 01:00:00+00:00,9.0031,9.0081,8.9941,8.9951,1068,58,0
2026-03-17 05:00:00+00:00,8.9961,9.0091,8.9771,9.0091,1897,58,0
2026-03-17 09:00:00+00:00,9.0081,9.0161,8.9871,8.9931,2089,48,0
2026-03-17 13:00:00+00:00,8.9931,9.0001,8.9611,8.9971,2381,58,0
2026-03-17 17:00:00+00:00,8.9981,9.0061,8.9781,8.9901,839,58,0
2026-03-17 21:00:00+00:00,8.9951,9.0131,8.9891,9.0081,946,68,0
2026-03-18 01:00:00+00:00,9.0081,9.0081,8.9911,8.9951,946,28,0
2026-03-18 05:00:00+00:00,8.9941,9.0241,8.9911,9.0201,1233,48,0
2026-03-18 09:00:00+00:00,9.0201,9.0261,8.9771,9.0031,2780,48,0
2026-03-18 13:00:00+00:00,9.0031,9.0301,8.9891,8.9981,2476,48,0
2026-03-18 17:00:00+00:00,8.9961,9.0071,8.9281,8.9411,2373,58,0
2026-03-18 21:00:00+00:00,8.9471,8.9621,8.9361,8.9531,1540,68,0
2026-03-19 01:00:00+00:00,8.9531,8.9671,8.9481,8.9551,1507,68,0
2026-03-19 05:00:00+00:00,8.9551,8.9661,8.9031,8.9441,3680,58,0
2026-03-19 09:00:00+00:00,8.9441,8.9441,8.8411,8.857099999999999,4719,58,0
2026-03-19 13:00:00+00:00,8.8551,8.8841,8.8281,8.8721,4592,48,0
2026-03-19 17:00:00+00:00,8.8721,8.9071,8.8611,8.8871,2546,58,0
2026-03-19 21:00:00+00:00,8.8931,8.9091,8.8841,8.9031,1306,68,0
2026-03-20 01:00:00+00:00,8.9041,8.9241,8.9021,8.9221,1044,68,0
2026-03-20 05:00:00+00:00,8.9221,8.9361,8.9061,8.9151,2078,58,0
2026-03-20 09:00:00+00:00,8.9151,8.9191,8.8831,8.8861,3339,58,0
2026-03-20 13:00:00+00:00,8.8851,8.9151,8.8601,8.8861,4103,58,0
2026-03-20 17:00:00+00:00,8.8861,8.8881,8.8491,8.8691,1428,58,0
2026-03-22 21:00:00+00:00,8.8501,8.8841,8.8421,8.8811,2866,58,0
2026-03-23 01:00:00+00:00,8.8811,8.8841,8.8611,8.8641,2093,68,0
2026-03-23 05:00:00+00:00,8.8641,8.8721,8.8321,8.8361,2981,58,0
2026-03-23 09:00:00+00:00,8.8361,8.9451,8.8201,8.9181,8375,18,0
2026-03-23 13:00:00+00:00,8.9171,8.9461,8.8911,8.9131,5394,18,0
2026-03-23 17:00:00+00:00,8.9131,8.9211,8.8921,8.9031,2461,18,0
2026-03-23 21:00:00+00:00,8.905100000000001,8.9081,8.8701,8.8731,2598,18,0
2026-03-24 01:00:00+00:00,8.8731,8.8931,8.8701,8.8831,1892,68,0
2026-03-24 05:00:00+00:00,8.8831,8.9081,8.8761,8.8871,2980,58,0
2026-03-24 09:00:00+00:00,8.8881,8.9011,8.8711,8.8891,3188,58,0
2026-03-24 13:00:00+00:00,8.8891,8.9301,8.8881,8.9261,4392,58,0
2026-03-24 17:00:00+00:00,8.9261,8.9521,8.9211,8.9291,2640,58,0
2026-03-24 21:00:00+00:00,8.9401,8.9551,8.9211,8.9471,1969,68,0
2026-03-25 01:00:00+00:00,8.9471,8.9581,8.9401,8.9551,1368,68,0
2026-03-25 05:00:00+00:00,8.9561,8.9711,8.9521,8.9621,1942,58,0
2026-03-25 09:00:00+00:00,8.9631,8.9681,8.9341,8.9381,2819,48,0
2026-03-25 13:00:00+00:00,8.9391,8.982099999999999,8.9321,8.9781,2985,58,0
2026-03-25 17:00:00+00:00,8.9781,8.982099999999999,8.9521,8.9551,1107,58,0
2026-03-25 21:00:00+00:00,8.9631,8.9741,8.9561,8.9731,1016,68,0
2026-03-26 01:00:00+00:00,8.9731,8.9741,8.9601,8.9641,1009,68,0
2026-03-26 05:00:00+00:00,8.9641,8.9661,8.9471,8.9491,1680,58,0
2026-03-26 09:00:00+00:00,8.950099999999999,8.9681,8.9351,8.9671,2155,58,0
2026-03-26 13:00:00+00:00,8.9671,8.9851,8.9471,8.950099999999999,2661,58,0
2026-03-26 17:00:00+00:00,8.950099999999999,8.9571,8.8861,8.8941,2184,48,0
2026-03-26 21:00:00+00:00,8.8971,8.9101,8.8891,8.9041,1168,68,0
2026-03-27 01:00:00+00:00,8.9041,8.9211,8.9021,8.9121,1150,68,0
2026-03-27 05:00:00+00:00,8.9121,8.9131,8.8741,8.8771,1802,58,0
2026-03-27 09:00:00+00:00,8.8781,8.8821,8.8301,8.8371,2445,58,0
2026-03-27 13:00:00+00:00,8.8341,8.8911,8.8321,8.8591,3370,58,0
2026-03-27 17:00:00+00:00,8.8591,8.8591,8.825099999999999,8.8361,940,58,0
2026-03-29 21:00:00+00:00,8.8701,8.8701,8.8111,8.8171,3401,58,0
2026-03-30 01:00:00+00:00,8.8181,8.8331,8.8151,8.8291,1477,68,0
2026-03-30 05:00:00+00:00,8.8291,8.8511,8.8201,8.8301,2041,58,0
2026-03-30 09:00:00+00:00,8.8301,8.8361,8.8071,8.8191,1966,48,0
2026-03-30 13:00:00+00:00,8.8181,8.8261,8.7911,8.8041,2905,48,0
2026-03-30 17:00:00+00:00,8.8041,8.8141,8.7991,8.8071,1398,48,0
2026-03-30 21:00:00+00:00,8.8011,8.8231,8.7931,8.8191,1695,68,0
2026-03-31 01:00:00+00:00,8.8191,8.8331,8.8061,8.8071,1820,58,0
2026-03-31 05:00:00+00:00,8.8071,8.8361,8.7961,8.8201,2337,58,0
2026-03-31 09:00:00+00:00,8.8201,8.8521,8.8141,8.8461,2753,58,0
2026-03-31 13:00:00+00:00,8.8461,8.8631,8.8041,8.8361,4598,48,0
2026-03-31 17:00:00+00:00,8.8371,8.857099999999999,8.8341,8.8431,2889,48,0
2026-03-31 21:00:00+00:00,8.8381,8.8741,8.8181,8.8701,1150,68,0
2026-04-01 01:00:00+00:00,8.8701,8.8771,8.8521,8.8611,1415,68,0
2026-04-01 05:00:00+00:00,8.8611,8.8901,8.857099999999999,8.8871,2583,58,0
2026-04-01 09:00:00+00:00,8.8881,8.8881,8.8521,8.8651,2615,58,0
2026-04-01 13:00:00+00:00,8.8641,8.9061,8.8611,8.8971,3298,58,0
2026-04-01 17:00:00+00:00,8.8981,8.9081,8.8851,8.9021,1566,58,0
2026-04-01 21:00:00+00:00,8.9001,8.9081,8.8871,8.905100000000001,992,68,0
2026-04-02 01:00:00+00:00,8.905100000000001,8.9081,8.8731,8.8811,3654,58,0
2026-04-02 05:00:00+00:00,8.8821,8.9091,8.8711,8.9011,1994,58,0
2026-04-02 09:00:00+00:00,8.9021,8.9111,8.8891,8.9071,1890,58,0
2026-04-02 13:00:00+00:00,8.9081,8.9361,8.8961,8.9281,4326,48,0
2026-04-02 17:00:00+00:00,8.9271,8.9381,8.9231,8.9271,1562,48,0
2026-04-02 21:00:00+00:00,8.9211,8.9361,8.8951,8.9361,733,68,0
2026-04-03 01:00:00+00:00,8.937100000000001,8.9391,8.9281,8.9341,706,68,0
2026-04-03 05:00:00+00:00,8.9341,8.9411,8.9321,8.9391,770,58,0
2026-04-03 09:00:00+00:00,8.9391,8.9461,8.9191,8.9421,1344,58,0
2026-04-03 13:00:00+00:00,8.9421,8.9461,8.9211,8.9261,2118,58,0
2026-04-03 17:00:00+00:00,8.9261,8.9321,8.9131,8.9241,477,58,0
2026-04-05 21:00:00+00:00,8.8931,8.9471,8.8741,8.9461,1735,68,0
2026-04-06 01:00:00+00:00,8.9451,8.9481,8.9321,8.9421,1574,68,0
2026-04-06 05:00:00+00:00,8.9421,8.9621,8.9391,8.9601,1604,58,0
2026-04-06 09:00:00+00:00,8.9611,8.9701,8.9541,8.9621,1359,58,0
2026-04-06 13:00:00+00:00,8.9611,8.9801,8.9591,8.9721,2427,58,0
2026-04-06 17:00:00+00:00,8.9721,8.9871,8.9651,8.9841,1238,48,0
2026-04-06 21:00:00+00:00,8.9731,8.9881,8.9701,8.9871,908,68,0
2026-04-07 01:00:00+00:00,8.9871,8.9901,8.9781,8.982099999999999,1409,68,0
2026-04-07 05:00:00+00:00,8.9831,9.0021,8.9811,8.9991,1926,58,0
2026-04-07 09:00:00+00:00,8.9991,9.0091,8.9921,9.0011,2589,58,0
2026-04-07 13:00:00+00:00,9.0021,9.0101,8.9891,9.0031,2691,48,0
2026-04-07 17:00:00+00:00,9.0031,9.0171,8.9981,9.0111,2405,58,0
2026-04-07 21:00:00+00:00,8.9751,9.0621,8.9681,9.0421,3939,68,0
2026-04-08 01:00:00+00:00,9.0421,9.0451,9.0261,9.0401,2144,68,0
2026-04-08 05:00:00+00:00,9.0401,9.0641,9.0291,9.0621,2992,58,0
2026-04-08 09:00:00+00:00,9.0631,9.0891,9.0621,9.0871,2738,58,0
2026-04-08 13:00:00+00:00,9.0881,9.0961,9.0681,9.0901,3588,58,0
2026-04-08 17:00:00+00:00,9.0911,9.1011,9.0801,9.0801,2028,48,0
2026-04-08 21:00:00+00:00,9.0761,9.0971,9.0731,9.0951,956,58,0
2026-04-09 01:00:00+00:00,9.0951,9.0981,9.0891,9.0961,1382,68,0
2026-04-09 05:00:00+00:00,9.0961,9.1121,9.0841,9.1071,1640,58,0
2026-04-09 09:00:00+00:00,9.1081,9.1241,9.1021,9.1181,1540,58,0
2026-04-09 13:00:00+00:00,9.1181,9.1561,9.1171,9.1471,2500,48,0
2026-04-09 17:00:00+00:00,9.1471,9.1621,9.1411,9.1501,1509,48,0
2026-04-09 21:00:00+00:00,9.1391,9.1611,9.1251,9.1581,903,68,0
2026-04-10 01:00:00+00:00,9.1591,9.1621,9.1511,9.1561,1109,68,0
2026-04-10 05:00:00+00:00,9.1561,9.1621,9.1491,9.1521,1062,58,0
2026-04-10 09:00:00+00:00,9.1521,9.1821,9.1521,9.1801,1617,58,0
2026-04-10 13:00:00+00:00,9.1791,9.2211,9.1771,9.2001,2315,48,0
2026-04-10 17:00:00+00:00,9.2001,9.2041,9.1941,9.2021,633,58,0
2026-04-12 21:00:00+00:00,9.1551,9.1781,9.1411,9.1711,1582,68,0
2026-04-13 01:00:00+00:00,9.1711,9.1791,9.1651,9.1771,1515,68,0
2026-04-13 05:00:00+00:00,9.1771,9.1881,9.1701,9.1871,1527,58,0
2026-04-13 09:00:00+00:00,9.1871,9.2041,9.1801,9.2031,1730,58,0
2026-04-13 13:00:00+00:00,9.2031,9.2111,9.1851,9.2041,3044,58,0
2026-04-13 17:00:00+00:00,9.2051,9.2141,9.2011,9.2091,1430,58,0
2026-04-13 21:00:00+00:00,9.2051,9.2141,9.1941,9.1961,970,68,0
2026-04-14 01:00:00+00:00,9.1961,9.2001,9.1871,9.1891,1618,68,0
2026-04-14 05:00:00+00:00,9.1891,9.2151,9.1851,9.2141,1613,58,0
2026-04-14 09:00:00+00:00,9.2141,9.2251,9.2011,9.2101,1663,58,0
2026-04-14 13:00:00+00:00,9.2091,9.2181,9.1921,9.1941,1997,58,0
2026-04-14 17:00:00+00:00,9.1941,9.2031,9.1841,9.1951,931,58,0
2026-04-14 21:00:00+00:00,9.1771,9.2031,9.1771,9.1961,1208,68,0
2026-04-15 01:00:00+00:00,9.1971,9.2111,9.1971,9.2081,1564,68,0
2026-04-15 05:00:00+00:00,9.2081,9.2131,9.1921,9.2021,1610,58,0
2026-04-15 09:00:00+00:00,9.2021,9.2051,9.1821,9.2041,2082,58,0
2026-04-15 13:00:00+00:00,9.2041,9.2141,9.1921,9.2041,2341,48,0
2026-04-15 17:00:00+00:00,9.2031,9.2181,9.2031,9.2081,1180,58,0
2026-04-15 21:00:00+00:00,9.1971,9.2081,9.1861,9.2021,892,68,0
2026-04-16 01:00:00+00:00,9.2021,9.2101,9.1841,9.2051,2217,68,0
2026-04-16 05:00:00+00:00,9.2051,9.2151,9.2011,9.2061,1659,58,0
2026-04-16 09:00:00+00:00,9.2061,9.2091,9.1951,9.2081,1447,58,0
2026-04-16 13:00:00+00:00,9.2081,9.2171,9.1951,9.2151,2344,58,0
2026-04-16 17:00:00+00:00,9.2151,9.2241,9.2101,9.2201,1037,48,0
2026-04-16 21:00:00+00:00,9.2091,9.2331,9.1991,9.2321,859,68,0
2026-04-17 01:00:00+00:00,9.2311,9.2481,9.2271,9.2481,1213,68,0
2026-04-17 05:00:00+00:00,9.2481,9.2511,9.2321,9.2351,1342,58,0
2026-04-17 09:00:00+00:00,9.2351,9.2391,9.2191,9.2271,1882,58,0
2026-04-17 13:00:00+00:00,9.2271,9.2381,9.1521,9.1551,4277,58,0
2026-04-17 17:00:00+00:00,9.1551,9.1581,9.1451,9.1481,1120,58,0
2026-04-19 21:00:00+00:00,9.1421,9.1681,9.1281,9.1581,1662,68,0
2026-04-20 01:00:00+00:00,9.1581,9.1631,9.1531,9.1591,1362,68,0
2026-04-20 05:00:00+00:00,9.1591,9.1621,9.1481,9.1541,2012,58,0
2026-04-20 09:00:00+00:00,9.1541,9.1651,9.1491,9.1591,1473,58,0
2026-04-20 13:00:00+00:00,9.1591,9.1631,9.1421,9.1591,2748,58,0
2026-04-20 17:00:00+00:00,9.1581,9.1801,9.1571,9.1771,1338,58,0
2026-04-20 21:00:00+00:00,9.1601,9.1841,9.1521,9.1831,1025,68,0
2026-04-21 01:00:00+00:00,9.1831,9.1851,9.1751,9.1821,1084,68,0
2026-04-21 05:00:00+00:00,9.1821,9.1881,9.1701,9.1871,1577,58,0
2026-04-21 09:00:00+00:00,9.1871,9.1931,9.1811,9.1891,1471,58,0
2026-04-21 13:00:00+00:00,9.1901,9.2031,9.1751,9.1761,2420,58,0
2026-04-21 17:00:00+00:00,9.1761,9.2031,9.1611,9.1961,2927,58,0
2026-04-21 21:00:00+00:00,9.1881,9.2011,9.1871,9.1981,1062,68,0
2026-04-22 01:00:00+00:00,9.1981,9.2031,9.1891,9.1971,1201,68,0
2026-04-22 05:00:00+00:00,9.1971,9.2121,9.1961,9.2091,1647,58,0
2026-04-22 09:00:00+00:00,9.2081,9.2111,9.1781,9.1881,1425,58,0
2026-04-22 13:00:00+00:00,9.1881,9.2041,9.1831,9.1931,2452,58,0
2026-04-22 17:00:00+00:00,9.1931,9.1991,9.1851,9.1941,1100,58,0
2026-04-22 21:00:00+00:00,9.1821,9.1951,9.1791,9.1891,1566,68,0
2026-04-23 01:00:00+00:00,9.1891,9.1921,9.1781,9.1851,1718,58,0
2026-04-23 05:00:00+00:00,9.1861,9.1971,9.1781,9.1841,1407,58,0
2026-04-23 09:00:00+00:00,9.1831,9.1901,9.1731,9.1801,1937,58,0
2026-04-23 13:00:00+00:00,9.1801,9.2001,9.1771,9.1791,1995,58,0
2026-04-23 17:00:00+00:00,9.1791,9.1801,9.1481,9.1621,3156,58,0
2026-04-23 21:00:00+00:00,9.1481,9.1721,9.1411,9.1711,1353,68,0
2026-04-24 01:00:00+00:00,9.1711,9.1731,9.1521,9.1621,1544,68,0
2026-04-24 05:00:00+00:00,9.1631,9.1691,9.1571,9.1611,1619,58,0
2026-04-24 09:00:00+00:00,9.1611,9.1681,9.1521,9.1621,1940,58,0
2026-04-24 13:00:00+00:00,9.1621,9.1651,9.1491,9.1521,2716,58,0
2026-04-24 17:00:00+00:00,9.1521,9.1601,9.1491,9.1581,593,58,0
2026-04-26 21:00:00+00:00,9.1641,9.1681,9.1511,9.1631,995,68,0
2026-04-27 01:00:00+00:00,9.1631,9.1711,9.1571,9.1611,1824,68,0
2026-04-27 05:00:00+00:00,9.1621,9.1701,9.1571,9.1671,1471,58,0
