datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 06:30:00+00:00,88.503,88.567,88.503,88.538,1146,44,0
2025-07-25 06:45:00+00:00,88.538,88.599,88.538,88.573,1056,44,0
2025-07-25 07:00:00+00:00,88.571,88.611,88.519,88.523,1366,43,0
2025-07-25 07:15:00+00:00,88.524,88.554,88.521,88.543,1303,43,0
2025-07-25 07:30:00+00:00,88.543,88.599,88.506,88.589,1451,43,0
2025-07-25 07:45:00+00:00,88.589,88.619,88.568,88.586,1383,43,0
2025-07-25 08:00:00+00:00,88.585,88.771,88.579,88.764,1598,43,0
2025-07-25 08:15:00+00:00,88.762,88.792,88.73,88.742,1506,43,0
2025-07-25 08:30:00+00:00,88.739,88.81,88.716,88.782,1453,43,0
2025-07-25 08:45:00+00:00,88.779,88.793,88.727,88.785,1253,43,0
2025-07-25 09:00:00+00:00,88.785,88.811,88.766,88.767,1136,43,0
2025-07-25 09:15:00+00:00,88.766,88.788,88.742,88.754,739,43,0
2025-07-25 09:30:00+00:00,88.756,88.819,88.744,88.79,870,43,0
2025-07-25 09:45:00+00:00,88.79,88.851,88.787,88.85,888,43,0
2025-07-25 10:00:00+00:00,88.85,88.86,88.797,88.852,866,43,0
2025-07-25 10:15:00+00:00,88.852,88.859,88.793,88.799,824,43,0
2025-07-25 10:30:00+00:00,88.8,88.815,88.781,88.805,716,43,0
2025-07-25 10:45:00+00:00,88.804,88.86,88.781,88.836,884,43,0
2025-07-25 11:00:00+00:00,88.835,88.845,88.803,88.804,956,43,0
2025-07-25 11:15:00+00:00,88.804,88.827,88.79,88.803,1140,43,0
2025-07-25 11:30:00+00:00,88.803,88.859,88.798,88.834,873,43,0
2025-07-25 11:45:00+00:00,88.833,88.837,88.795,88.807,1096,43,0
2025-07-25 12:00:00+00:00,88.804,88.805,88.745,88.751,990,43,0
2025-07-25 12:15:00+00:00,88.751,88.775,88.735,88.75,985,43,0
2025-07-25 12:30:00+00:00,88.747,88.786,88.741,88.771,1140,18,0
2025-07-25 12:45:00+00:00,88.77,88.812,88.747,88.755,1113,17,0
2025-07-25 13:00:00+00:00,88.753,88.758,88.627,88.731,1987,43,0
2025-07-25 13:15:00+00:00,88.731,88.77,88.682,88.746,1886,43,0
2025-07-25 13:30:00+00:00,88.746,88.78,88.659,88.714,1961,43,0
2025-07-25 13:45:00+00:00,88.714,88.764,88.685,88.718,2161,43,0
2025-07-25 14:00:00+00:00,88.715,88.758,88.677,88.688,1776,43,0
2025-07-25 14:15:00+00:00,88.688,88.781,88.676,88.773,998,18,0
2025-07-25 14:30:00+00:00,88.773,88.796,88.661,88.677,1530,43,0
2025-07-25 14:45:00+00:00,88.677,88.752,88.674,88.735,1382,43,0
2025-07-25 15:00:00+00:00,88.734,88.744,88.673,88.72,1455,43,0
2025-07-25 15:15:00+00:00,88.719,88.739,88.697,88.735,1120,43,0
2025-07-25 15:30:00+00:00,88.736,88.748,88.693,88.704,1190,43,0
2025-07-25 15:45:00+00:00,88.704,88.76,88.702,88.735,1148,43,0
2025-07-25 16:00:00+00:00,88.735,88.749,88.701,88.744,877,44,0
2025-07-25 16:15:00+00:00,88.744,88.758,88.723,88.742,1100,44,0
2025-07-25 16:30:00+00:00,88.741,88.746,88.719,88.745,929,43,0
2025-07-25 16:45:00+00:00,88.744,88.797,88.739,88.784,830,43,0
2025-07-25 17:00:00+00:00,88.784,88.796,88.76,88.771,952,43,0
2025-07-25 17:15:00+00:00,88.77,88.786,88.757,88.772,867,43,0
2025-07-25 17:30:00+00:00,88.768,88.783,88.753,88.764,819,43,0
2025-07-25 17:45:00+00:00,88.763,88.776,88.747,88.754,737,43,0
2025-07-25 18:00:00+00:00,88.752,88.758,88.724,88.753,656,43,0
2025-07-25 18:15:00+00:00,88.755,88.762,88.727,88.741,825,43,0
2025-07-25 18:30:00+00:00,88.739,88.77,88.73,88.76,640,43,0
2025-07-25 18:45:00+00:00,88.762,88.764,88.718,88.73,691,43,0
2025-07-25 19:00:00+00:00,88.728,88.738,88.713,88.72,290,43,0
2025-07-25 19:15:00+00:00,88.72,88.754,88.714,88.752,423,43,0
2025-07-25 19:30:00+00:00,88.753,88.759,88.737,88.742,470,43,0
2025-07-25 19:45:00+00:00,88.74,88.769,88.716,88.769,543,43,0
2025-07-25 20:00:00+00:00,88.758,88.789,88.755,88.784,520,43,0
