datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 06:30:00+00:00,0.77032,0.77074,0.7703,0.77047,802,66,0
2025-07-25 06:45:00+00:00,0.77047,0.77051,0.7702,0.77028,598,66,0
2025-07-25 07:00:00+00:00,0.77029,0.77037,0.76943,0.76957,841,66,0
2025-07-25 07:15:00+00:00,0.76958,0.76974,0.76925,0.76943,848,66,0
2025-07-25 07:30:00+00:00,0.76943,0.76946,0.76879,0.76905,888,66,0
2025-07-25 07:45:00+00:00,0.76905,0.76924,0.7689,0.76892,903,66,0
2025-07-25 08:00:00+00:00,0.76892,0.76929,0.76876,0.76891,952,66,0
2025-07-25 08:15:00+00:00,0.76891,0.76907,0.76867,0.76887,847,66,0
2025-07-25 08:30:00+00:00,0.76884,0.76926,0.76874,0.76909,943,66,0
2025-07-25 08:45:00+00:00,0.76908,0.76935,0.76895,0.76922,780,66,0
2025-07-25 09:00:00+00:00,0.76922,0.76938,0.76893,0.76908,759,66,0
2025-07-25 09:15:00+00:00,0.76908,0.76917,0.76888,0.76899,503,66,0
2025-07-25 09:30:00+00:00,0.769,0.76923,0.76892,0.76913,604,66,0
2025-07-25 09:45:00+00:00,0.76913,0.76966,0.7691,0.76953,511,66,0
2025-07-25 10:00:00+00:00,0.7695,0.76972,0.7693,0.76966,446,66,0
2025-07-25 10:15:00+00:00,0.76967,0.7697,0.76934,0.76959,573,66,0
2025-07-25 10:30:00+00:00,0.76958,0.76969,0.76947,0.76954,413,66,0
2025-07-25 10:45:00+00:00,0.76954,0.77014,0.76943,0.77004,757,66,0
2025-07-25 11:00:00+00:00,0.77003,0.77019,0.76984,0.76989,616,66,0
2025-07-25 11:15:00+00:00,0.76989,0.76993,0.76951,0.76965,860,66,0
2025-07-25 11:30:00+00:00,0.76965,0.77027,0.76965,0.77027,729,66,0
2025-07-25 11:45:00+00:00,0.77025,0.77044,0.77013,0.7703,798,66,0
2025-07-25 12:00:00+00:00,0.77027,0.77027,0.7699,0.76995,749,66,0
2025-07-25 12:15:00+00:00,0.76995,0.77013,0.76968,0.76975,696,66,0
2025-07-25 12:30:00+00:00,0.76975,0.76994,0.7693,0.76953,758,6,0
2025-07-25 12:45:00+00:00,0.76954,0.7699,0.76932,0.76936,702,6,0
2025-07-25 13:00:00+00:00,0.76936,0.76963,0.76884,0.76921,1430,66,0
2025-07-25 13:15:00+00:00,0.76922,0.7698,0.76884,0.76941,1247,66,0
2025-07-25 13:30:00+00:00,0.76941,0.76966,0.7693,0.76956,1204,66,0
2025-07-25 13:45:00+00:00,0.76956,0.76995,0.76952,0.76979,1391,66,0
2025-07-25 14:00:00+00:00,0.7698,0.77009,0.76968,0.76983,1166,66,0
2025-07-25 14:15:00+00:00,0.76983,0.77044,0.76972,0.77013,616,6,0
2025-07-25 14:30:00+00:00,0.77013,0.77022,0.76938,0.76959,1023,66,0
2025-07-25 14:45:00+00:00,0.7696,0.77006,0.76947,0.76954,861,66,0
2025-07-25 15:00:00+00:00,0.76953,0.76963,0.76919,0.76951,1032,66,0
2025-07-25 15:15:00+00:00,0.76951,0.76967,0.76937,0.76954,963,66,0
2025-07-25 15:30:00+00:00,0.76954,0.76955,0.76904,0.76932,934,66,0
2025-07-25 15:45:00+00:00,0.76932,0.76953,0.7693,0.7694,908,66,0
2025-07-25 16:00:00+00:00,0.76938,0.76949,0.76912,0.76945,864,66,0
2025-07-25 16:15:00+00:00,0.76946,0.76961,0.76937,0.76959,784,66,0
2025-07-25 16:30:00+00:00,0.7696,0.76962,0.76932,0.76948,798,66,0
2025-07-25 16:45:00+00:00,0.76947,0.76988,0.76947,0.76982,672,66,0
2025-07-25 17:00:00+00:00,0.76982,0.76985,0.76964,0.76969,672,66,0
2025-07-25 17:15:00+00:00,0.76969,0.76987,0.76961,0.76979,673,66,0
2025-07-25 17:30:00+00:00,0.76977,0.76999,0.76969,0.76979,631,66,0
2025-07-25 17:45:00+00:00,0.76979,0.76987,0.76968,0.76976,555,66,0
2025-07-25 18:00:00+00:00,0.76976,0.76994,0.76967,0.76989,566,66,0
2025-07-25 18:15:00+00:00,0.76989,0.76996,0.76978,0.76987,610,66,0
2025-07-25 18:30:00+00:00,0.76987,0.77008,0.76979,0.76999,643,66,0
2025-07-25 18:45:00+00:00,0.77,0.77007,0.76987,0.7699,673,66,0
2025-07-25 19:00:00+00:00,0.7699,0.76992,0.76979,0.76987,428,66,0
2025-07-25 19:15:00+00:00,0.76988,0.77005,0.76986,0.77002,427,66,0
2025-07-25 19:30:00+00:00,0.77002,0.77002,0.76981,0.76988,410,66,0
2025-07-25 19:45:00+00:00,0.76989,0.77002,0.76977,0.77,532,66,0
2025-07-25 20:00:00+00:00,0.76999,0.77015,0.76984,0.77009,495,66,0
2025-07-25 20:15:00+00:00,0.77009,0.77019,0.77,0.77016,425,66,0
2025-07-25 20:30:00+00:00,0.77015,0.77032,0.76963,0.7697,301,66,0
2025-07-25 20:45:00+00:00,0.7697,0.77029,0.76919,0.76948,354,169,0
2025-07-27 21:00:00+00:00,0.76895,0.76973,0.76895,0.76903,79,200,0
2025-07-27 21:15:00+00:00,0.76901,0.76907,0.76901,0.76905,36,312,0
2025-07-27 21:30:00+00:00,0.76905,0.7696,0.76905,0.76953,210,257,0
2025-07-27 21:45:00+00:00,0.76956,0.76973,0.76951,0.76963,269,260,0
2025-07-27 22:00:00+00:00,0.77009,0.77121,0.77009,0.77071,537,66,0
2025-07-27 22:15:00+00:00,0.77071,0.77086,0.77057,0.77074,237,66,0
2025-07-27 22:30:00+00:00,0.7708,0.7709,0.77058,0.77061,237,66,0
2025-07-27 22:45:00+00:00,0.7706,0.77073,0.7704,0.77072,333,66,0
2025-07-27 23:00:00+00:00,0.77074,0.77095,0.7707,0.77088,375,66,0
2025-07-27 23:15:00+00:00,0.77087,0.77105,0.77081,0.77084,367,66,0
2025-07-27 23:30:00+00:00,0.77084,0.77092,0.77072,0.77088,262,66,0
2025-07-27 23:45:00+00:00,0.77087,0.77091,0.77063,0.77067,314,66,0
2025-07-28 00:00:00+00:00,0.77068,0.77103,0.77057,0.77086,968,66,0
2025-07-28 00:15:00+00:00,0.77086,0.77128,0.77083,0.77118,904,66,0
2025-07-28 00:30:00+00:00,0.77119,0.77121,0.77075,0.77112,940,66,0
2025-07-28 00:45:00+00:00,0.77112,0.77117,0.77082,0.77117,912,66,0
2025-07-28 01:00:00+00:00,0.77118,0.77175,0.77095,0.771,867,66,0
2025-07-28 01:15:00+00:00,0.771,0.77121,0.77072,0.77108,693,66,0
2025-07-28 01:30:00+00:00,0.77109,0.77117,0.77059,0.77078,873,66,0
