datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 09:00:00+00:00,115.389,115.453,115.204,115.331,9176,19,0
2025-07-25 13:00:00+00:00,115.331,115.349,115.145,115.297,17217,9,0
2025-07-25 17:00:00+00:00,115.297,115.32,115.127,115.224,4160,22,0
2025-07-27 21:00:00+00:00,115.152,115.424,115.124,115.307,7956,21,0
2025-07-28 01:00:00+00:00,115.306,115.513,115.25,115.352,6483,17,0
2025-07-28 05:00:00+00:00,115.352,115.575,115.318,115.49,10656,10,0
2025-07-28 09:00:00+00:00,115.488,115.55,115.272,115.295,11044,16,0
2025-07-28 13:00:00+00:00,115.294,115.425,115.211,115.392,10832,19,0
2025-07-28 17:00:00+00:00,115.393,115.449,115.316,115.351,3728,8,0
2025-07-28 21:00:00+00:00,115.395,115.523,115.18,115.492,5308,8,0
2025-07-29 01:00:00+00:00,115.494,115.507,115.258,115.291,6857,16,0
2025-07-29 05:00:00+00:00,115.289,115.42,115.138,115.414,10639,17,0
2025-07-29 09:00:00+00:00,115.414,115.442,115.295,115.332,8857,19,0
2025-07-29 13:00:00+00:00,115.331,115.37,115.177,115.317,14056,17,0
2025-07-29 17:00:00+00:00,115.319,115.339,115.212,115.216,4978,7,0
2025-07-29 21:00:00+00:00,115.187,115.33,114.97,115.088,8273,7,0
2025-07-30 01:00:00+00:00,115.088,115.216,114.986,115.119,7884,8,0
2025-07-30 05:00:00+00:00,115.121,115.129,114.876,114.933,10534,19,0
2025-07-30 09:00:00+00:00,114.929,115.171,114.851,115.15,12075,18,0
2025-07-30 13:00:00+00:00,115.15,115.241,115.078,115.117,12119,16,0
2025-07-30 17:00:00+00:00,115.114,115.28,114.93,115.193,20850,20,0
2025-07-30 21:00:00+00:00,115.167,115.335,115.107,115.265,5508,20,0
2025-07-31 01:00:00+00:00,115.265,115.363,114.8,115.03,10931,16,0
2025-07-31 05:00:00+00:00,115.03,115.55,114.893,115.499,15063,16,0
2025-07-31 09:00:00+00:00,115.501,115.774,115.485,115.734,12529,12,0
2025-07-31 13:00:00+00:00,115.735,116.142,115.727,116.062,15745,9,0
2025-07-31 17:00:00+00:00,116.063,116.158,115.944,116.07,6788,7,0
2025-07-31 21:00:00+00:00,116.038,116.215,115.932,116.154,6691,20,0
2025-08-01 01:00:00+00:00,116.154,116.272,116.019,116.038,7799,8,0
2025-08-01 05:00:00+00:00,116.04,116.098,115.901,115.933,8397,17,0
2025-08-01 09:00:00+00:00,115.933,115.943,115.22,115.25,20294,20,0
2025-08-01 13:00:00+00:00,115.245,115.245,114.484,114.508,43468,17,0
2025-08-01 17:00:00+00:00,114.511,114.542,114.133,114.277,13241,0,0
2025-08-03 21:00:00+00:00,113.96,114.514,113.882,114.485,9468,16,0
2025-08-04 01:00:00+00:00,114.486,114.815,114.462,114.716,8181,17,0
2025-08-04 05:00:00+00:00,114.718,114.967,114.624,114.817,11168,18,0
