datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 09:00:00+00:00,7.16717,7.16953,7.1658100000000005,7.16719,11355,54,0
2025-07-25 13:00:00+00:00,7.16717,7.16954,7.16447,7.16848,20290,54,0
2025-07-25 17:00:00+00:00,7.16848,7.16855,7.16411,7.16448,9978,215,0
2025-07-27 21:00:00+00:00,7.1607,7.16671,7.1596,7.16506,7903,220,0
2025-07-28 01:00:00+00:00,7.16506,7.17113,7.16316,7.16809,14528,208,0
2025-07-28 05:00:00+00:00,7.1681,7.17578,7.1674,7.17265,18210,203,0
2025-07-28 09:00:00+00:00,7.17265,7.17694,7.1715,7.17466,15392,207,0
2025-07-28 13:00:00+00:00,7.1746,7.18175,7.17444,7.18143,17312,193,0
2025-07-28 17:00:00+00:00,7.18142,7.18181,7.1793,7.1798,8322,216,0
2025-07-28 21:00:00+00:00,7.1793,7.18206,7.1779,7.18142,6400,220,0
2025-07-29 01:00:00+00:00,7.18141,7.18287,7.17629,7.17825,11162,190,0
2025-07-29 05:00:00+00:00,7.17825,7.1807,7.17608,7.17718,16211,210,0
2025-07-29 09:00:00+00:00,7.17718,7.18209,7.17689,7.18152,11804,205,0
2025-07-29 13:00:00+00:00,7.18159,7.18383,7.1789,7.1807,16047,213,0
2025-07-29 17:00:00+00:00,7.18066,7.18079,7.1779,7.1788,8573,170,0
2025-07-29 21:00:00+00:00,7.1776,7.18051,7.1767,7.17691,6793,193,0
2025-07-30 01:00:00+00:00,7.17692,7.17813,7.17418,7.17777,12872,220,0
2025-07-30 05:00:00+00:00,7.17777,7.18697,7.17718,7.18406,16734,166,0
2025-07-30 09:00:00+00:00,7.18405,7.19587,7.18258,7.19568,13774,192,0
2025-07-30 13:00:00+00:00,7.19568,7.20464,7.19444,7.20219,18610,203,0
2025-07-30 17:00:00+00:00,7.20218,7.21352,7.20137,7.2096,23158,54,0
2025-07-30 21:00:00+00:00,7.2092,7.21002,7.20179,7.20274,11994,55,0
2025-07-31 01:00:00+00:00,7.20275,7.20399,7.19478,7.19799,19682,54,0
2025-07-31 05:00:00+00:00,7.19799,7.20159,7.1958,7.2003,20047,195,0
2025-07-31 09:00:00+00:00,7.2003,7.2071,7.19846,7.20343,16294,183,0
2025-07-31 13:00:00+00:00,7.20343,7.21163,7.20323,7.21002,21982,206,0
2025-07-31 17:00:00+00:00,7.21002,7.21093,7.2057,7.2063,10524,220,0
2025-07-31 21:00:00+00:00,7.2066,7.21007,7.20403,7.20677,10963,202,0
2025-08-01 01:00:00+00:00,7.20683,7.22069,7.2062,7.21677,17782,54,0
2025-08-01 05:00:00+00:00,7.21678,7.22159,7.21426,7.21983,17398,206,0
2025-08-01 09:00:00+00:00,7.21983,7.223,7.19533,7.19612,19165,54,0
2025-08-01 13:00:00+00:00,7.19613,7.199,7.18712,7.19632,39429,158,0
2025-08-01 17:00:00+00:00,7.19631,7.20001,7.18792,7.19028,19003,0,0
2025-08-03 21:00:00+00:00,7.18949,7.19396,7.18561,7.19165,6074,54,0
2025-08-04 01:00:00+00:00,7.19175,7.19394,7.17961,7.18132,9054,54,0
2025-08-04 05:00:00+00:00,7.18133,7.18274,7.17617,7.17951,9696,54,0
2025-08-04 09:00:00+00:00,7.17952,7.18189,7.17757,7.18073,7751,54,0
2025-08-04 13:00:00+00:00,7.1807,7.18466,7.17698,7.18441,9673,54,0
2025-08-04 17:00:00+00:00,7.18443,7.18497,7.18211,7.18286,4690,54,0
2025-08-04 21:00:00+00:00,7.18123,7.18277,7.17708,7.17918,5303,54,0
2025-08-05 01:00:00+00:00,7.17922,7.18468,7.17711,7.18383,6260,54,0
2025-08-05 05:00:00+00:00,7.18382,7.19511,7.18333,7.19273,8299,54,0
2025-08-05 09:00:00+00:00,7.19275,7.19377,7.18897,7.19035,6460,54,0
2025-08-05 13:00:00+00:00,7.19033,7.1917,7.18619,7.18868,10456,54,0
2025-08-05 17:00:00+00:00,7.18869,7.18962,7.18772,7.18829,4221,54,0
2025-08-05 21:00:00+00:00,7.18752,7.19041,7.18681,7.19014,3062,54,0
2025-08-06 01:00:00+00:00,7.19017,7.19524,7.19005,7.19207,5798,54,0
2025-08-06 05:00:00+00:00,7.19208,7.19501,7.19171,7.19422,5830,54,0
2025-08-06 09:00:00+00:00,7.19424,7.19465,7.18591,7.18615,5900,54,0
2025-08-06 13:00:00+00:00,7.18615,7.18824,7.1828,7.18589,18365,54,0
2025-08-06 17:00:00+00:00,7.18584,7.18602,7.1824,7.18349,9328,54,0
2025-08-06 21:00:00+00:00,7.18245,7.18552,7.18171,7.18451,5218,141,0
2025-08-07 01:00:00+00:00,7.18452,7.18495,7.17848,7.18116,10893,213,0
2025-08-07 05:00:00+00:00,7.18116,7.18159,7.17725,7.17889,14271,203,0
2025-08-07 09:00:00+00:00,7.17889,7.18393,7.17837,7.17987,13145,208,0
2025-08-07 13:00:00+00:00,7.17987,7.18556,7.17823,7.18318,20146,209,0
2025-08-07 17:00:00+00:00,7.18316,7.18448,7.1779399999999995,7.17987,12496,208,0
2025-08-07 21:00:00+00:00,7.1785499999999995,7.18014,7.17698,7.17896,5648,219,0
2025-08-08 01:00:00+00:00,7.17896,7.18593,7.17816,7.18265,11190,217,0
2025-08-08 05:00:00+00:00,7.18264,7.18675,7.18238,7.1864,12715,189,0
2025-08-08 09:00:00+00:00,7.18636,7.18933,7.18616,7.18892,10761,208,0
2025-08-08 13:00:00+00:00,7.18892,7.19046,7.18676,7.18678,15911,213,0
2025-08-08 17:00:00+00:00,7.18678,7.18912,7.18574,7.18576,14270,210,0
2025-08-10 21:00:00+00:00,7.18572,7.18974,7.18477,7.18815,8831,218,0
2025-08-11 01:00:00+00:00,7.18815,7.18897,7.18152,7.18375,10067,213,0
2025-08-11 05:00:00+00:00,7.18375,7.18653,7.1829,7.18519,11782,208,0
2025-08-11 09:00:00+00:00,7.18516,7.1924,7.18482,7.19129,10385,201,0
2025-08-11 13:00:00+00:00,7.1913,7.19475,7.18957,7.19471,12548,206,0
2025-08-11 17:00:00+00:00,7.19468,7.19719,7.19276,7.19513,8920,198,0
2025-08-11 21:00:00+00:00,7.19323,7.19453,7.19158,7.19257,6037,213,0
2025-08-12 01:00:00+00:00,7.19256,7.19326,7.18837,7.19068,10760,205,0
2025-08-12 05:00:00+00:00,7.19072,7.19695,7.19024,7.19543,13847,214,0
2025-08-12 09:00:00+00:00,7.19543,7.1961,7.1849,7.18881,14110,126,0
2025-08-12 13:00:00+00:00,7.18882,7.19258,7.18007,7.18306,29190,127,0
2025-08-12 17:00:00+00:00,7.18305,7.1853,7.1827,7.18465,11197,193,0
2025-08-12 21:00:00+00:00,7.18151,7.18581,7.18073,7.18317,7452,213,0
2025-08-13 01:00:00+00:00,7.18317,7.18718,7.18064,7.18174,11221,180,0
2025-08-13 05:00:00+00:00,7.18174,7.18329,7.17629,7.17823,15390,187,0
2025-08-13 09:00:00+00:00,7.17824,7.17897,7.17587,7.17832,8945,205,0
2025-08-13 13:00:00+00:00,7.17831,7.18011,7.17445,7.1798,13775,206,0
2025-08-13 17:00:00+00:00,7.1798,7.18133,7.17901,7.18015,6499,208,0
2025-08-13 21:00:00+00:00,7.1771,7.1803,7.17568,7.17696,7620,209,0
2025-08-14 01:00:00+00:00,7.17695,7.17704,7.16687,7.1711,15164,172,0
2025-08-14 05:00:00+00:00,7.17108,7.1761,7.17072,7.17396,19265,205,0
2025-08-14 09:00:00+00:00,7.17396,7.17885,7.17029,7.17641,15021,177,0
2025-08-14 13:00:00+00:00,7.17641,7.1818,7.17324,7.18146,23433,186,0
2025-08-14 17:00:00+00:00,7.18146,7.18165,7.1796,7.18107,9137,216,0
2025-08-14 21:00:00+00:00,7.17718,7.18147,7.17598,7.18024,9852,220,0
2025-08-15 01:00:00+00:00,7.18023,7.18548,7.17938,7.18441,9083,194,0
2025-08-15 05:00:00+00:00,7.18441,7.18854,7.18278,7.18369,14560,201,0
2025-08-15 09:00:00+00:00,7.18371,7.18535,7.1808,7.1826,10472,171,0
2025-08-15 13:00:00+00:00,7.1826,7.18699,7.1819,7.18671,14647,213,0
2025-08-15 17:00:00+00:00,7.18669,7.18816,7.18542,7.18559,7851,218,0
2025-08-17 21:00:00+00:00,7.18567,7.18803,7.18535,7.18667,3714,215,0
2025-08-18 01:00:00+00:00,7.18667,7.18704,7.18055,7.18109,9828,220,0
2025-08-18 05:00:00+00:00,7.18109,7.18425,7.17856,7.17913,13359,206,0
2025-08-18 09:00:00+00:00,7.17913,7.18333,7.17793,7.18288,9483,211,0
2025-08-18 13:00:00+00:00,7.18288,7.18712,7.18287,7.18655,11549,210,0
2025-08-18 17:00:00+00:00,7.18655,7.18706,7.1857,7.18656,6451,217,0
2025-08-18 21:00:00+00:00,7.18623,7.18678,7.18501,7.18527,4110,206,0
2025-08-19 01:00:00+00:00,7.18528,7.19086,7.18347,7.18383,11398,220,0
2025-08-19 05:00:00+00:00,7.18384,7.18603,7.18204,7.18309,13994,209,0
2025-08-19 09:00:00+00:00,7.18309,7.1843,7.18117,7.18264,8378,198,0
2025-08-19 13:00:00+00:00,7.18264,7.18659,7.18264,7.18659,14277,204,0
2025-08-19 17:00:00+00:00,7.18659,7.1876,7.18597,7.18666,7201,202,0
2025-08-19 21:00:00+00:00,7.18609,7.18825,7.18489,7.18783,5012,220,0
2025-08-20 01:00:00+00:00,7.18783,7.19198,7.187,7.18771,12752,207,0
2025-08-20 05:00:00+00:00,7.18771,7.18838,7.17835,7.18119,15651,202,0
2025-08-20 09:00:00+00:00,7.18119,7.18154,7.17722,7.17773,9054,192,0
2025-08-20 13:00:00+00:00,7.17773,7.1814,7.17755,7.1797,15299,212,0
2025-08-20 17:00:00+00:00,7.1797,7.18118,7.17882,7.18045,7189,215,0
2025-08-20 21:00:00+00:00,7.18012,7.1824,7.1786,7.1817,5080,214,0
2025-08-21 01:00:00+00:00,7.1817,7.18309,7.17048,7.17556,13463,208,0
2025-08-21 05:00:00+00:00,7.17556,7.18167,7.1749600000000004,7.17937,13958,204,0
2025-08-21 09:00:00+00:00,7.17937,7.18105,7.17839,7.18066,8865,207,0
2025-08-21 13:00:00+00:00,7.18066,7.18545,7.17969,7.18289,16370,196,0
2025-08-21 17:00:00+00:00,7.18289,7.18363,7.18075,7.18164,7595,54,0
2025-08-21 21:00:00+00:00,7.18047,7.18284,7.17979,7.18214,6243,220,0
2025-08-22 01:00:00+00:00,7.18216,7.18865,7.18181,7.18817,10729,218,0
2025-08-22 05:00:00+00:00,7.18817,7.18836,7.18073,7.18089,12751,204,0
2025-08-22 09:00:00+00:00,7.18089,7.18405,7.18078,7.18387,8824,207,0
2025-08-22 13:00:00+00:00,7.18388,7.18496,7.16559,7.17356,26856,188,0
2025-08-22 17:00:00+00:00,7.17356,7.17389,7.16791,7.16831,10077,195,0
2025-08-24 21:00:00+00:00,7.1678,7.17317,7.16691,7.16845,5936,220,0
