datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 06:30:00+00:00,7.84542,7.84733,7.84531,7.84725,399,67,0
2025-07-25 06:45:00+00:00,7.84725,7.84833,7.84699,7.84789,403,63,0
2025-07-25 07:00:00+00:00,7.84789,7.8482199999999995,7.84789,7.84821,368,68,0
2025-07-25 07:15:00+00:00,7.84821,7.84867,7.84821,7.84845,347,70,0
2025-07-25 07:30:00+00:00,7.84844,7.84853,7.84771,7.84783,186,65,0
2025-07-25 07:45:00+00:00,7.84783,7.84809,7.84769,7.84771,165,67,0
2025-07-25 08:00:00+00:00,7.84771,7.84799,7.84732,7.84789,331,69,0
2025-07-25 08:15:00+00:00,7.84789,7.84818,7.84748,7.84791,499,70,0
2025-07-25 08:30:00+00:00,7.8479,7.84851,7.84788,7.84835,343,67,0
2025-07-25 08:45:00+00:00,7.84833,7.84859,7.84793,7.84793,148,67,0
2025-07-25 09:00:00+00:00,7.84793,7.84825,7.84783,7.84797,200,57,0
2025-07-25 09:15:00+00:00,7.84797,7.84821,7.84794,7.84809,163,70,0
2025-07-25 09:30:00+00:00,7.84809,7.84833,7.84807,7.84829,120,64,0
2025-07-25 09:45:00+00:00,7.84829,7.84896,7.84823,7.84895,258,67,0
2025-07-25 10:00:00+00:00,7.84893,7.84895,7.84869,7.84877,178,68,0
2025-07-25 10:15:00+00:00,7.84877,7.84881,7.84867,7.84879,150,55,0
2025-07-25 10:30:00+00:00,7.84877,7.84889,7.84875,7.8488299999999995,127,69,0
2025-07-25 10:45:00+00:00,7.8488299999999995,7.84891,7.84869,7.84889,142,70,0
2025-07-25 11:00:00+00:00,7.84889,7.84891,7.84844,7.84867,256,70,0
2025-07-25 11:15:00+00:00,7.84867,7.84878,7.84837,7.84875,99,70,0
2025-07-25 11:30:00+00:00,7.84875,7.84893,7.84869,7.84889,148,69,0
2025-07-25 11:45:00+00:00,7.84889,7.84909,7.84885,7.84899,114,68,0
2025-07-25 12:00:00+00:00,7.84899,7.84939,7.84897,7.84908,48,13,0
2025-07-25 12:15:00+00:00,7.84908,7.84917,7.84901,7.84907,72,66,0
2025-07-25 12:30:00+00:00,7.84903,7.84928,7.84903,7.84914,204,58,0
2025-07-25 12:45:00+00:00,7.84914,7.8495,7.84851,7.84917,138,16,0
2025-07-25 13:00:00+00:00,7.84919,7.84925,7.84905,7.84917,221,73,0
2025-07-25 13:15:00+00:00,7.84917,7.84923,7.8491,7.84915,125,72,0
2025-07-25 13:30:00+00:00,7.84915,7.84933,7.84912,7.84924,140,68,0
2025-07-25 13:45:00+00:00,7.84922,7.84935,7.84916,7.84933,135,70,0
2025-07-25 14:00:00+00:00,7.84934,7.84938,7.84925,7.84927,141,68,0
2025-07-25 14:15:00+00:00,7.84931,7.8496500000000005,7.84899,7.84931,141,23,0
2025-07-25 14:30:00+00:00,7.84931,7.84933,7.84919,7.84922,211,71,0
2025-07-25 14:45:00+00:00,7.84922,7.84949,7.8492,7.84945,219,69,0
2025-07-25 15:00:00+00:00,7.84945,7.84947,7.84921,7.84931,205,70,0
2025-07-25 15:15:00+00:00,7.84931,7.84939,7.84925,7.8493,285,70,0
2025-07-25 15:30:00+00:00,7.84932,7.84935,7.84925,7.8493,222,71,0
2025-07-25 15:45:00+00:00,7.84932,7.84949,7.84929,7.84947,171,72,0
2025-07-25 16:00:00+00:00,7.84945,7.84951,7.84921,7.84927,210,72,0
2025-07-25 16:15:00+00:00,7.84927,7.84936,7.84921,7.84927,295,77,0
2025-07-25 16:30:00+00:00,7.84927,7.84949,7.84923,7.84947,180,70,0
2025-07-25 16:45:00+00:00,7.84949,7.8495,7.8491,7.8494399999999995,61,60,0
2025-07-25 17:00:00+00:00,7.84943,7.84949,7.84925,7.84931,349,70,0
2025-07-25 17:15:00+00:00,7.84931,7.84943,7.84923,7.84933,270,72,0
2025-07-25 17:30:00+00:00,7.84932,7.84936,7.84924,7.84932,416,70,0
2025-07-25 17:45:00+00:00,7.84932,7.84936,7.84926,7.84929,207,72,0
2025-07-25 18:00:00+00:00,7.84928,7.84946,7.84925,7.8494399999999995,252,69,0
2025-07-25 18:15:00+00:00,7.84945,7.84947,7.84905,7.84947,46,70,0
2025-07-25 18:30:00+00:00,7.84947,7.84947,7.84908,7.8494399999999995,21,70,0
2025-07-25 18:45:00+00:00,7.84945,7.84946,7.8494399999999995,7.8494399999999995,19,70,0
2025-07-25 19:00:00+00:00,7.8494399999999995,7.8494399999999995,7.84902,7.84919,60,79,0
2025-07-25 19:15:00+00:00,7.84919,7.84935,7.84919,7.84927,37,80,0
2025-07-25 19:30:00+00:00,7.84927,7.84933,7.84925,7.84927,29,81,0
2025-07-25 19:45:00+00:00,7.84927,7.84943,7.84923,7.84943,49,78,0
2025-07-25 20:00:00+00:00,7.84943,7.84951,7.84941,7.84951,52,75,0
2025-07-25 20:15:00+00:00,7.84945,7.84955,7.84945,7.84945,85,74,0
2025-07-25 20:30:00+00:00,7.84949,7.84951,7.84881,7.84889,132,78,0
2025-07-25 20:45:00+00:00,7.84889,7.84903,7.84865,7.8488,50,104,0
2025-07-27 21:00:00+00:00,7.84859,7.84859,7.8476099999999995,7.84824,25,142,0
2025-07-27 21:15:00+00:00,7.84824,7.84864,7.84824,7.84826,17,138,0
2025-07-27 21:30:00+00:00,7.84826,7.84849,7.84824,7.8484300000000005,30,148,0
2025-07-27 21:45:00+00:00,7.84847,7.84869,7.84832,7.84869,67,140,0
2025-07-27 22:00:00+00:00,7.84869,7.84885,7.84861,7.84885,25,89,0
2025-07-27 22:15:00+00:00,7.84885,7.84885,7.8485700000000005,7.84885,20,89,0
2025-07-27 22:30:00+00:00,7.84863,7.84885,7.84855,7.84885,53,89,0
2025-07-27 22:45:00+00:00,7.84856,7.84885,7.84856,7.84885,28,89,0
