datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 09:00:00+00:00,147.747,147.931,147.597,147.847,11659,4,0
2025-07-25 13:00:00+00:00,147.846,147.912,147.521,147.75,18355,4,0
2025-07-25 17:00:00+00:00,147.751,147.772,147.523,147.646,9447,13,0
2025-07-27 21:00:00+00:00,147.674,147.869,147.593,147.608,8281,13,0
2025-07-28 01:00:00+00:00,147.607,148.014,147.511,147.737,10709,13,0
2025-07-28 05:00:00+00:00,147.747,148.364,147.725,148.266,15010,13,0
2025-07-28 09:00:00+00:00,148.265,148.437,148.021,148.051,15033,13,0
2025-07-28 13:00:00+00:00,148.051,148.512,147.931,148.478,16026,13,0
2025-07-28 17:00:00+00:00,148.479,148.568,148.384,148.48,8410,13,0
2025-07-28 21:00:00+00:00,148.439,148.703,148.424,148.677,6356,13,0
2025-07-29 01:00:00+00:00,148.676,148.696,148.282,148.34,10021,13,0
2025-07-29 05:00:00+00:00,148.34,148.735,148.15,148.545,14377,13,0
2025-07-29 09:00:00+00:00,148.545,148.764,148.377,148.688,13047,13,0
2025-07-29 13:00:00+00:00,148.696,148.8,148.344,148.552,17848,13,0
2025-07-29 17:00:00+00:00,148.552,148.577,148.329,148.395,10230,13,0
2025-07-29 21:00:00+00:00,148.373,148.518,148.032,148.048,6092,13,0
2025-07-30 01:00:00+00:00,148.048,148.163,147.838,148.15,10895,13,0
2025-07-30 05:00:00+00:00,148.149,148.164,147.798,147.954,13560,13,0
2025-07-30 09:00:00+00:00,147.954,148.875,147.848,148.856,14325,13,0
2025-07-30 13:00:00+00:00,148.857,149.123,148.822,148.925,15623,13,0
2025-07-30 17:00:00+00:00,148.924,149.546,148.515,149.473,18767,4,0
2025-07-30 21:00:00+00:00,149.445,149.465,149.172,149.298,7223,4,0
2025-07-31 01:00:00+00:00,149.298,149.332,148.579,148.879,11975,4,0
2025-07-31 05:00:00+00:00,148.879,149.714,148.677,149.625,17282,13,0
2025-07-31 09:00:00+00:00,149.626,150.25,149.614,150.182,16474,13,0
2025-07-31 13:00:00+00:00,150.181,150.782,150.168,150.677,20457,13,0
2025-07-31 17:00:00+00:00,150.676,150.831,150.55,150.709,13313,13,0
2025-07-31 21:00:00+00:00,150.705,150.886,150.586,150.728,8774,13,0
2025-08-01 01:00:00+00:00,150.729,150.911,150.544,150.599,12078,4,0
2025-08-01 05:00:00+00:00,150.602,150.65,150.407,150.602,14255,13,0
2025-08-01 09:00:00+00:00,150.602,150.622,148.556,148.626,17587,5,0
2025-08-01 13:00:00+00:00,148.627,148.653,147.48,147.819,31752,13,0
2025-08-01 17:00:00+00:00,147.819,147.941,147.284,147.342,17938,0,0
2025-08-03 21:00:00+00:00,147.241,147.691,147.057,147.65,6823,2,0
2025-08-04 01:00:00+00:00,147.652,147.905,147.555,147.685,7595,2,0
2025-08-04 05:00:00+00:00,147.684,148.087,147.532,147.892,9546,3,0
2025-08-04 09:00:00+00:00,147.893,147.942,147.008,147.194,9310,3,0
2025-08-04 13:00:00+00:00,147.192,147.353,146.863,147.037,11453,2,0
2025-08-04 17:00:00+00:00,147.037,147.107,146.91,147.057,6468,2,0
2025-08-04 21:00:00+00:00,147.004,147.105,146.618,146.927,5102,2,0
2025-08-05 01:00:00+00:00,146.926,147.26,146.884,147.083,6648,3,0
2025-08-05 05:00:00+00:00,147.086,147.634,147.031,147.583,8284,2,0
2025-08-05 09:00:00+00:00,147.582,147.778,147.45,147.664,8030,2,0
2025-08-05 13:00:00+00:00,147.66,147.834,147.305,147.545,12286,2,0
2025-08-05 17:00:00+00:00,147.54,147.702,147.484,147.558,5756,3,0
2025-08-05 21:00:00+00:00,147.544,147.644,147.448,147.583,4249,3,0
2025-08-06 01:00:00+00:00,147.583,147.748,147.305,147.345,6161,2,0
2025-08-06 05:00:00+00:00,147.345,147.844,147.335,147.805,7727,2,0
2025-08-06 09:00:00+00:00,147.81,147.884,147.41,147.441,8444,2,0
2025-08-06 13:00:00+00:00,147.441,147.651,147.202,147.34,18047,3,0
2025-08-06 17:00:00+00:00,147.341,147.628,146.97,147.338,11519,4,0
2025-08-06 21:00:00+00:00,147.301,147.589,147.145,147.574,7222,13,0
2025-08-07 01:00:00+00:00,147.576,147.702,147.261,147.296,10441,13,0
2025-08-07 05:00:00+00:00,147.296,147.338,146.684,147.126,15358,13,0
2025-08-07 09:00:00+00:00,147.125,147.486,147.013,147.279,15940,13,0
2025-08-07 13:00:00+00:00,147.282,147.577,147.103,147.354,20209,13,0
2025-08-07 17:00:00+00:00,147.354,147.56,146.938,147.139,12504,13,0
2025-08-07 21:00:00+00:00,147.014,147.186,146.714,147.14,9478,13,0
