datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 09:00:00+00:00,1214.164,1218.854,1196.304,1218.224,3307,5351,0
2025-07-25 13:00:00+00:00,1218.104,1234.244,1206.524,1216.224,7035,1701,0
2025-07-25 17:00:00+00:00,1216.404,1228.304,1216.304,1217.674,2280,2581,0
2025-07-27 21:00:00+00:00,1195.824,1240.024,1195.824,1233.674,1350,8351,0
2025-07-28 01:00:00+00:00,1233.674,1260.184,1230.92,1257.004,1772,3541,0
2025-07-28 05:00:00+00:00,1256.994,1258.074,1232.834,1237.494,3381,4211,0
2025-07-28 09:00:00+00:00,1237.494,1253.524,1230.824,1241.584,4251,3751,0
2025-07-28 13:00:00+00:00,1241.634,1252.284,1215.814,1238.574,6949,3081,0
2025-07-28 17:00:00+00:00,1238.694,1243.394,1229.144,1231.804,3630,4141,0
2025-07-28 21:00:00+00:00,1227.834,1246.444,1227.834,1235.794,2681,2281,0
2025-07-29 01:00:00+00:00,1235.274,1242.014,1217.794,1226.684,2414,4411,0
2025-07-29 05:00:00+00:00,1226.774,1244.274,1220.664,1239.074,3633,1141,0
2025-07-29 09:00:00+00:00,1238.824,1247.474,1226.294,1243.624,1656,1771,0
2025-07-29 13:00:00+00:00,1243.724,1247.804,1232.004,1245.704,4224,981,0
2025-07-29 17:00:00+00:00,1245.954,1261.924,1245.824,1252.104,1759,1081,0
2025-07-29 21:00:00+00:00,1252.124,1266.944,1246.06,1266.904,911,8321,0
2025-07-30 01:00:00+00:00,1266.684,1269.534,1251.31,1260.114,1661,7071,0
2025-07-30 05:00:00+00:00,1260.114,1260.394,1243.824,1251.564,2166,7121,0
2025-07-30 09:00:00+00:00,1251.064,1273.364,1248.324,1252.664,2512,5791,0
2025-07-30 13:00:00+00:00,1252.424,1257.024,1220.124,1234.334,4542,3601,0
2025-07-30 17:00:00+00:00,1234.524,1240.034,1161.174,1214.654,7141,1101,0
2025-07-30 21:00:00+00:00,1215.034,1233.234,1207.594,1218.724,1320,10631,0
2025-07-31 01:00:00+00:00,1218.584,1244.894,1215.004,1237.944,1988,5971,0
2025-07-31 05:00:00+00:00,1237.644,1240.574,1205.324,1217.124,3278,4101,0
2025-07-31 09:00:00+00:00,1216.504,1230.674,1207.074,1220.804,4149,5831,0
2025-07-31 13:00:00+00:00,1221.074,1223.274,1182.004,1184.804,5198,7070,0
2025-07-31 17:00:00+00:00,1184.814,1192.624,1175.874,1189.874,2038,8611,0
2025-07-31 21:00:00+00:00,1186.924,1204.714,1162.294,1201.224,2540,6311,0
2025-08-01 01:00:00+00:00,1201.014,1201.824,1189.824,1195.754,2344,4751,0
2025-08-01 05:00:00+00:00,1195.754,1204.564,1179.824,1190.124,4359,2561,0
2025-08-01 09:00:00+00:00,1190.014,1219.904,1171.304,1217.764,4738,1971,0
2025-08-01 13:00:00+00:00,1217.734,1228.254,1196.054,1202.434,8010,1981,0
2025-08-01 17:00:00+00:00,1203.424,1211.784,1198.484,1205.424,4493,0,0
2025-08-03 21:00:00+00:00,1206.484,1208.654,1183.324,1188.304,1630,3931,0
2025-08-04 01:00:00+00:00,1188.304,1204.034,1186.824,1199.044,1620,3531,0
2025-08-04 05:00:00+00:00,1199.044,1213.014,1195.2,1208.314,3191,3251,0
2025-08-04 09:00:00+00:00,1208.314,1208.314,1170.604,1184.324,4119,2021,0
2025-08-04 13:00:00+00:00,1184.324,1210.994,1179.824,1187.534,7680,371,0
2025-08-04 17:00:00+00:00,1188.094,1202.024,1187.204,1200.884,3291,3291,0
2025-08-04 21:00:00+00:00,1200.644,1219.814,1186.344,1209.204,1501,5531,0
2025-08-05 01:00:00+00:00,1208.964,1209.594,1196.48,1200.814,1384,6201,0
2025-08-05 05:00:00+00:00,1200.814,1208.814,1189.194,1193.514,2869,2551,0
2025-08-05 09:00:00+00:00,1193.514,1195.104,1175.394,1179.234,3692,2141,0
2025-08-05 13:00:00+00:00,1179.214,1198.774,1173.314,1189.104,5995,1031,0
2025-08-05 17:00:00+00:00,1189.104,1189.594,1173.77,1176.064,2675,2961,0
2025-08-05 21:00:00+00:00,1172.894,1175.494,1167.07,1167.974,1687,4141,0
2025-08-06 01:00:00+00:00,1167.974,1171.604,1158.35,1166.674,1759,2171,0
2025-08-06 05:00:00+00:00,1166.894,1178.954,1162.42,1173.374,3060,2971,0
2025-08-06 09:00:00+00:00,1173.374,1176.274,1144.814,1157.224,4124,351,0
2025-08-06 13:00:00+00:00,1157.224,1157.594,1133.954,1142.024,6932,2081,0
2025-08-06 17:00:00+00:00,1142.024,1148.774,1135.62,1139.454,3441,2571,0
2025-08-06 21:00:00+00:00,1136.554,1146.814,1125.834,1141.714,1727,6011,0
2025-08-07 01:00:00+00:00,1141.714,1149.154,1138.14,1149.134,912,4591,0
2025-08-07 05:00:00+00:00,1149.134,1160.314,1138.314,1153.844,2296,3531,0
2025-08-07 09:00:00+00:00,1153.894,1159.484,1144.814,1152.594,4232,2581,0
2025-08-07 13:00:00+00:00,1152.254,1164.614,1145.494,1152.314,7383,2131,0
2025-08-07 17:00:00+00:00,1152.314,1162.014,1146.02,1161.584,1591,3781,0
2025-08-07 21:00:00+00:00,1161.284,1164.184,1129.504,1129.954,2546,6031,0
2025-08-08 01:00:00+00:00,1129.394,1148.224,1129.394,1145.674,2377,13141,0
2025-08-08 05:00:00+00:00,1145.664,1148.434,1123.024,1123.264,2195,8360,0
2025-08-08 09:00:00+00:00,1123.384,1140.454,1123.184,1133.914,4635,3111,0
2025-08-08 13:00:00+00:00,1133.974,1146.414,1122.814,1125.894,6675,3101,0
2025-08-08 17:00:00+00:00,1125.764,1132.814,1115.224,1118.67,5408,3341,0
2025-08-10 21:00:00+00:00,1117.704,1126.894,1116.47,1118.794,1658,5431,0
2025-08-11 01:00:00+00:00,1118.784,1129.814,1112.384,1127.114,1788,3971,0
2025-08-11 05:00:00+00:00,1127.114,1137.534,1118.404,1131.304,2876,2201,0
2025-08-11 09:00:00+00:00,1131.204,1142.754,1120.984,1139.404,3266,1981,0
2025-08-11 13:00:00+00:00,1139.404,1157.474,1139.404,1149.314,4299,391,0
