datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 06:30:00+00:00,1222.024,1227.544,1221.594,1225.394,254,8101,0
2025-07-25 06:45:00+00:00,1225.354,1227.234,1222.054,1222.924,218,5941,0
2025-07-25 07:00:00+00:00,1222.754,1228.214,1214.524,1221.004,217,6561,0
2025-07-25 07:15:00+00:00,1221.494,1223.244,1216.674,1217.804,159,7830,0
2025-07-25 07:30:00+00:00,1218.63,1221.684,1217.004,1218.004,178,7830,0
2025-07-25 07:45:00+00:00,1218.514,1220.364,1215.004,1218.434,134,7830,0
2025-07-25 08:00:00+00:00,1218.424,1219.624,1216.104,1216.964,141,11161,0
2025-07-25 08:15:00+00:00,1217.444,1217.444,1206.554,1208.844,178,8460,0
2025-07-25 08:30:00+00:00,1208.844,1219.884,1207.094,1216.554,232,8531,0
2025-07-25 08:45:00+00:00,1216.424,1219.884,1212.894,1214.194,169,8271,0
2025-07-25 09:00:00+00:00,1214.164,1215.544,1196.304,1202.634,226,8251,0
2025-07-25 09:15:00+00:00,1202.674,1210.324,1202.524,1206.524,119,8451,0
2025-07-25 09:30:00+00:00,1206.524,1216.294,1205.024,1216.284,119,6321,0
2025-07-25 09:45:00+00:00,1216.284,1217.454,1214.024,1214.904,131,5871,0
2025-07-25 10:00:00+00:00,1214.654,1214.904,1211.104,1211.324,117,6321,0
2025-07-25 10:15:00+00:00,1211.324,1211.604,1206.024,1209.654,169,6351,0
2025-07-25 10:30:00+00:00,1209.654,1214.904,1209.324,1211.904,176,5551,0
2025-07-25 10:45:00+00:00,1211.384,1213.644,1210.654,1210.674,152,7830,0
2025-07-25 11:00:00+00:00,1210.684,1215.264,1210.174,1210.884,190,7070,0
2025-07-25 11:15:00+00:00,1211.414,1213.734,1206.964,1207.784,230,8721,0
2025-07-25 11:30:00+00:00,1208.274,1209.324,1202.594,1207.964,292,7070,0
2025-07-25 11:45:00+00:00,1207.954,1211.054,1206.024,1207.324,175,5351,0
2025-07-25 12:00:00+00:00,1206.024,1212.814,1206.024,1209.944,221,7471,0
2025-07-25 12:15:00+00:00,1211.694,1215.954,1207.214,1207.214,239,7241,0
2025-07-25 12:30:00+00:00,1207.434,1214.674,1206.024,1213.524,465,7211,0
2025-07-25 12:45:00+00:00,1213.394,1218.854,1212.334,1218.224,286,8401,0
2025-07-25 13:00:00+00:00,1218.104,1228.144,1215.724,1224.824,485,7021,0
2025-07-25 13:15:00+00:00,1224.694,1234.244,1223.194,1229.234,378,1701,0
2025-07-25 13:30:00+00:00,1229.824,1232.784,1219.364,1219.824,386,1711,0
2025-07-25 13:45:00+00:00,1219.824,1227.654,1219.324,1225.764,422,2681,0
2025-07-25 14:00:00+00:00,1225.764,1231.304,1219.264,1219.284,506,3581,0
2025-07-25 14:15:00+00:00,1219.334,1227.104,1216.414,1225.234,485,3321,0
2025-07-25 14:30:00+00:00,1225.164,1225.414,1220.194,1224.344,330,4271,0
2025-07-25 14:45:00+00:00,1224.344,1226.574,1219.114,1221.744,376,4391,0
2025-07-25 15:00:00+00:00,1221.674,1224.774,1219.744,1221.574,462,3931,0
2025-07-25 15:15:00+00:00,1221.214,1223.744,1207.234,1213.404,577,3111,0
2025-07-25 15:30:00+00:00,1213.264,1216.454,1209.624,1210.114,457,4001,0
2025-07-25 15:45:00+00:00,1210.114,1214.514,1206.524,1210.014,630,2991,0
2025-07-25 16:00:00+00:00,1210.014,1216.834,1209.944,1216.314,442,3181,0
2025-07-25 16:15:00+00:00,1216.314,1220.214,1216.134,1218.474,441,3561,0
2025-07-25 16:30:00+00:00,1218.474,1221.374,1217.944,1219.484,258,2641,0
2025-07-25 16:45:00+00:00,1219.484,1221.184,1215.354,1216.224,400,4541,0
2025-07-25 17:00:00+00:00,1216.404,1224.534,1216.304,1220.984,408,5321,0
2025-07-25 17:15:00+00:00,1221.144,1223.184,1220.594,1221.584,225,5851,0
2025-07-25 17:30:00+00:00,1221.704,1222.654,1221.224,1221.444,157,5161,0
2025-07-25 17:45:00+00:00,1221.444,1222.914,1221.444,1221.844,132,4691,0
2025-07-25 18:00:00+00:00,1221.844,1225.284,1221.844,1224.404,96,4621,0
2025-07-25 18:15:00+00:00,1224.404,1225.864,1222.754,1223.954,122,4631,0
2025-07-25 18:30:00+00:00,1223.954,1225.204,1223.354,1224.734,85,3481,0
2025-07-25 18:45:00+00:00,1224.474,1226.454,1221.67,1225.454,70,3281,0
2025-07-25 19:00:00+00:00,1225.454,1226.714,1224.934,1226.474,69,3291,0
2025-07-25 19:15:00+00:00,1226.194,1228.304,1225.224,1225.754,93,2581,0
2025-07-25 19:30:00+00:00,1225.994,1226.404,1222.794,1223.424,110,2681,0
2025-07-25 19:45:00+00:00,1223.454,1226.564,1222.744,1224.854,131,2881,0
2025-07-25 20:00:00+00:00,1224.854,1226.084,1223.424,1225.204,177,4491,0
2025-07-25 20:15:00+00:00,1225.204,1225.204,1221.234,1222.704,155,5411,0
2025-07-25 20:30:00+00:00,1222.714,1224.134,1221.984,1222.894,130,5041,0
2025-07-25 20:45:00+00:00,1222.824,1222.864,1217.454,1217.674,120,7201,0
2025-07-27 22:00:00+00:00,1195.824,1231.134,1195.824,1229.364,240,14251,0
2025-07-27 22:15:00+00:00,1229.764,1232.794,1228.844,1231.194,107,12531,0
2025-07-27 22:30:00+00:00,1230.524,1236.394,1229.654,1235.824,108,12851,0
2025-07-27 22:45:00+00:00,1235.024,1237.694,1233.69,1237.694,102,11011,0
2025-07-27 23:00:00+00:00,1238.154,1240.024,1235.3,1238.554,119,8351,0
2025-07-27 23:15:00+00:00,1238.514,1239.224,1236.44,1238.174,62,8801,0
2025-07-27 23:30:00+00:00,1237.594,1238.324,1234.464,1235.164,83,10121,0
2025-07-27 23:45:00+00:00,1234.694,1234.704,1230.014,1231.094,83,12771,0
2025-07-28 00:00:00+00:00,1230.524,1232.794,1230.524,1230.784,132,10391,0
2025-07-28 00:15:00+00:00,1231.394,1233.564,1230.784,1232.934,118,10631,0
2025-07-28 00:30:00+00:00,1232.724,1234.024,1231.25,1233.424,91,9971,0
2025-07-28 00:45:00+00:00,1233.394,1234.644,1232.254,1233.674,105,9681,0
2025-07-28 01:00:00+00:00,1233.674,1235.834,1232.194,1235.514,198,8121,0
2025-07-28 01:15:00+00:00,1235.424,1236.164,1235.014,1235.864,92,7501,0
2025-07-28 01:30:00+00:00,1235.554,1238.554,1234.174,1237.944,124,5131,0
2025-07-28 01:45:00+00:00,1237.744,1238.194,1232.39,1237.334,66,5101,0
2025-07-28 02:00:00+00:00,1237.174,1237.624,1232.464,1233.214,110,3851,0
2025-07-28 02:15:00+00:00,1233.204,1234.204,1232.734,1233.614,90,7931,0
2025-07-28 02:30:00+00:00,1233.614,1237.204,1230.92,1235.954,100,4981,0
2025-07-28 02:45:00+00:00,1235.954,1239.054,1235.684,1238.364,178,5841,0
2025-07-28 03:00:00+00:00,1238.364,1248.054,1237.864,1245.324,127,5911,0
