datetime_utc,open,high,low,close,tick_volume,spread,real_volume
2025-07-25 06:30:00+00:00,1403.921,1406.571,1402.501,1403.401,439,3107,0
2025-07-25 06:45:00+00:00,1403.401,1403.401,1395.631,1401.321,520,3667,0
2025-07-25 07:00:00+00:00,1401.441,1407.641,1399.661,1407.241,371,3707,0
2025-07-25 07:15:00+00:00,1407.361,1409.751,1405.761,1406.661,288,4067,0
2025-07-25 07:30:00+00:00,1406.661,1408.651,1404.811,1406.941,297,3707,0
2025-07-25 07:45:00+00:00,1406.941,1409.661,1406.541,1408.661,265,3377,0
2025-07-25 08:00:00+00:00,1408.661,1409.291,1406.001,1406.421,260,3817,0
2025-07-25 08:15:00+00:00,1406.421,1406.421,1401.761,1401.961,267,2957,0
2025-07-25 08:30:00+00:00,1401.961,1403.721,1398.011,1398.281,291,3057,0
2025-07-25 08:45:00+00:00,1398.181,1402.581,1390.791,1391.091,265,5487,0
2025-07-25 09:00:00+00:00,1391.091,1393.291,1385.921,1387.051,326,3777,0
2025-07-25 09:15:00+00:00,1386.901,1389.711,1384.431,1387.901,315,3397,0
2025-07-25 09:30:00+00:00,1387.791,1393.201,1386.921,1393.201,212,5257,0
2025-07-25 09:45:00+00:00,1393.351,1394.761,1392.081,1393.041,195,3517,0
2025-07-25 10:00:00+00:00,1392.991,1393.691,1390.171,1390.171,209,2977,0
2025-07-25 10:15:00+00:00,1390.171,1390.171,1385.401,1387.201,348,4677,0
2025-07-25 10:30:00+00:00,1387.201,1394.011,1386.551,1391.911,316,2057,0
2025-07-25 10:45:00+00:00,1391.911,1395.311,1389.231,1389.871,316,757,0
2025-07-25 11:00:00+00:00,1389.871,1393.601,1389.871,1391.531,249,2917,0
2025-07-25 11:15:00+00:00,1391.781,1392.651,1390.151,1390.991,229,2327,0
2025-07-25 11:30:00+00:00,1391.091,1392.301,1388.601,1389.141,284,2227,0
2025-07-25 11:45:00+00:00,1389.141,1391.601,1388.181,1389.801,380,2337,0
2025-07-25 12:00:00+00:00,1389.481,1391.351,1384.381,1385.251,500,3507,0
2025-07-25 12:15:00+00:00,1385.221,1389.051,1382.651,1382.651,413,2667,0
2025-07-25 12:30:00+00:00,1382.641,1392.901,1382.591,1392.451,541,997,0
2025-07-25 12:45:00+00:00,1392.451,1393.511,1388.761,1392.351,363,957,0
2025-07-25 13:00:00+00:00,1392.351,1394.331,1387.201,1387.801,706,397,0
2025-07-25 13:15:00+00:00,1387.801,1389.741,1386.201,1388.051,459,1007,0
2025-07-25 13:30:00+00:00,1388.051,1392.281,1384.611,1387.311,780,397,0
2025-07-25 13:45:00+00:00,1387.191,1393.211,1387.041,1392.301,536,477,0
2025-07-25 14:00:00+00:00,1392.401,1395.231,1388.381,1388.811,575,1017,0
2025-07-25 14:15:00+00:00,1388.811,1393.081,1387.301,1391.201,593,397,0
2025-07-25 14:30:00+00:00,1391.201,1393.211,1386.811,1392.401,542,947,0
2025-07-25 14:45:00+00:00,1392.401,1393.621,1385.221,1387.591,536,1837,0
2025-07-25 15:00:00+00:00,1387.591,1393.101,1386.321,1391.171,800,867,0
2025-07-25 15:15:00+00:00,1391.171,1391.651,1385.751,1389.891,560,1847,0
2025-07-25 15:30:00+00:00,1389.871,1394.011,1387.191,1387.331,653,1517,0
