datetime_utc,open,high,low,close,bid,ask,tick_volume,spread,real_volume
2021-11-05 04:00:00+00:00,1791.11,1818.27,1785.1,1817.84,4418.66,4418.81,98757,5,0
2021-11-08 04:00:00+00:00,1815.69,1826.44,1812.46,1824.14,4418.66,4418.81,86785,5,0
2021-11-09 04:00:00+00:00,1824.28,1832.7,1819.23,1831.68,4418.66,4418.81,87840,5,0
2021-11-10 04:00:00+00:00,1831.6,1868.55,1822.32,1848.97,4418.66,4418.81,104451,5,0
2021-11-11 04:00:00+00:00,1848.98,1866.0,1842.88,1861.77,4418.66,4418.81,73362,5,0
2021-11-12 04:00:00+00:00,1861.75,1868.61,1845.2,1864.35,4418.66,4418.81,86565,5,0
2021-11-15 04:00:00+00:00,1866.79,1870.3,1856.38,1862.71,4418.66,4418.81,78903,5,0
2021-11-16 04:00:00+00:00,1863.07,1877.23,1849.67,1849.98,4418.66,4418.81,96336,5,0
2021-11-17 04:00:00+00:00,1850.24,1868.03,1849.53,1867.39,4418.66,4418.81,83204,5,0
2021-11-18 04:00:00+00:00,1866.24,1870.94,1855.03,1858.81,4418.66,4418.81,82994,5,0
2021-11-19 04:00:00+00:00,1859.19,1865.72,1843.0,1845.7,4418.66,4418.81,99128,5,0
2021-11-22 04:00:00+00:00,1842.19,1849.15,1802.28,1804.77,4418.66,4418.81,111380,5,0
2021-11-23 04:00:00+00:00,1808.0,1812.45,1782.0,1789.28,4418.66,4418.81,107732,5,0
2021-11-24 04:00:00+00:00,1789.1,1796.34,1778.54,1788.64,4418.66,4418.81,100596,5,0
2021-11-25 04:00:00+00:00,1787.93,1795.04,1786.01,1788.42,4418.66,4418.81,43784,5,0
2021-11-26 04:00:00+00:00,1790.47,1815.55,1780.4,1790.86,4418.66,4418.81,103879,5,0
2021-11-29 04:00:00+00:00,1788.53,1799.39,1777.64,1784.96,4418.66,4418.81,83509,5,0
2021-11-30 04:00:00+00:00,1785.12,1808.74,1769.82,1774.43,4418.66,4418.81,117288,5,0
2021-12-01 04:00:00+00:00,1775.91,1794.41,1772.17,1781.88,4418.66,4418.81,111262,5,0
2021-12-02 04:00:00+00:00,1781.48,1783.38,1761.97,1768.4,4418.66,4418.81,114608,5,0
2021-12-03 04:00:00+00:00,1769.67,1786.12,1766.15,1783.88,4418.66,4418.81,113243,5,0
2021-12-06 04:00:00+00:00,1782.0,1787.71,1775.74,1778.37,4418.66,4418.81,94257,5,0
2021-12-07 04:00:00+00:00,1778.93,1787.68,1772.35,1784.16,4418.66,4418.81,82219,5,0
2021-12-08 04:00:00+00:00,1784.6,1793.15,1779.64,1782.49,4418.66,4418.81,86165,5,0
2021-12-09 04:00:00+00:00,1783.08,1787.64,1773.27,1775.13,4418.66,4418.81,83436,5,0
2021-12-10 04:00:00+00:00,1775.99,1789.41,1770.1,1782.82,4418.66,4418.81,82249,5,0
2021-12-13 04:00:00+00:00,1782.77,1791.57,1781.83,1786.99,4418.66,4418.81,75375,5,0
2021-12-14 04:00:00+00:00,1785.95,1789.53,1766.43,1770.58,4418.66,4418.81,82804,5,0
2021-12-15 04:00:00+00:00,1771.44,1780.85,1752.34,1777.09,4418.66,4418.81,97659,5,0
2021-12-16 04:00:00+00:00,1778.34,1799.55,1775.54,1799.02,4418.66,4418.81,99122,5,0
2021-12-17 04:00:00+00:00,1798.39,1814.28,1795.94,1797.98,4418.66,4418.81,90843,5,0
2021-12-20 04:00:00+00:00,1800.31,1804.21,1788.29,1790.3,4418.66,4418.81,97492,5,0
