trade_id,symbol,direction,entry_time,entry_price,stop_loss,take_profit,lot_size,confidence,strategy,exit_time,exit_price,exit_reason,pnl_pips,pnl_usd,commission_usd,slippage_pips,hold_bars
1,EURUSD,SELL,2022-03-08 20:00:00+00:00,1.09151,1.0986371428571429,1.0808192857142858,0.17,100,v5_production,2022-03-09 12:00:00+00:00,1.0986371428571429,SL,-74.77142857142887,-128.30142857142908,1.1900000000000002,2.0,15
2,EURUSD,SELL,2022-04-11 13:00:00+00:00,1.09107,1.09072,1.0852778571428572,0.31,100,v5_production,2022-04-12 15:00:00+00:00,1.0852778571428572,TP,54.42142857142801,166.53642857142685,2.17,2.0,25
3,EURUSD,SELL,2022-04-13 17:00:00+00:00,1.08453,1.0879057142857143,1.0794664285714286,0.36,100,v5_production,2022-04-13 19:00:00+00:00,1.0879057142857143,SL,-37.2571428571426,-136.64571428571335,2.52,2.0,1
4,EURUSD,SELL,2022-04-29 11:00:00+00:00,1.0566900000000001,1.05634,1.0515964285714288,0.35,100,v5_production,2022-04-29 15:00:00+00:00,1.0515964285714288,TP,47.43571428571364,163.57499999999771,2.4499999999999997,2.0,3
5,EURUSD,SELL,2022-05-03 16:00:00+00:00,1.05539,1.05504,1.0486121428571429,0.27,100,v5_production,2022-05-04 15:00:00+00:00,1.05504,SL_BE,7.247535904753022e-13,-1.8899999999980432,1.8900000000000001,2.0,22
6,EURUSD,SELL,2022-05-11 10:00:00+00:00,1.05503,1.057,1.052075,0.61,100,v5_production,2022-05-11 11:00:00+00:00,1.057,SL,-23.200000000000273,-145.79000000000167,4.27,2.0,0
7,EURUSD,BUY,2022-05-20 17:00:00+00:00,1.05592,1.05627,1.061324285714286,0.33,100,v5_production,2022-05-23 08:00:00+00:00,1.061324285714286,TP,50.542857142859724,164.4814285714371,2.31,2.0,14
8,EURUSD,BUY,2022-05-25 13:00:00+00:00,1.06673,1.06708,1.0708185714285714,0.44,100,v5_production,2022-05-26 00:00:00+00:00,1.06708,SL_BE,7.247535904753022e-13,-3.079999999996811,3.08,2.0,10
9,EURUSD,SELL,2022-06-14 10:00:00+00:00,1.0466,1.04625,1.0402635714285713,0.29,100,v5_production,2022-06-14 22:00:00+00:00,1.0402635714285713,TP,59.86428571428687,171.5764285714319,2.03,2.0,11
10,EURUSD,SELL,2022-06-30 20:00:00+00:00,1.04782,1.04747,1.0400992857142857,0.24,100,v5_production,2022-07-01 16:00:00+00:00,1.0400992857142857,TP,73.70714285714303,175.21714285714327,1.68,2.0,19
11,EURUSD,SELL,2022-07-04 12:00:00+00:00,1.044,1.04365,1.040117142857143,0.48,100,v5_production,2022-07-05 04:00:00+00:00,1.04365,SL_BE,7.247535904753022e-13,-3.359999999996521,3.36,2.0,15
12,EURUSD,SELL,2022-08-04 12:00:00+00:00,1.01865,1.0183,1.0148400000000002,0.49,100,v5_production,2022-08-04 14:00:00+00:00,1.0183,SL_BE,7.247535904753022e-13,-3.4299999999964483,3.4299999999999997,2.0,1
13,EURUSD,SELL,2022-08-23 17:00:00+00:00,0.99853,0.9981800000000001,0.9910835714285715,0.25,100,v5_production,2022-08-24 17:00:00+00:00,0.9981800000000001,SL_BE,-3.8546943414985435e-13,-1.7500000000009637,1.75,2.0,23
14,EURUSD,SELL,2022-09-07 18:00:00+00:00,0.99375,0.9984342857142857,0.9867235714285715,0.27,100,v5_production,2022-09-07 20:00:00+00:00,0.9984342857142857,SL,-50.342857142856964,-137.8157142857138,1.8900000000000001,2.0,1
15,EURUSD,SELL,2022-09-28 17:00:00+00:00,0.96292,0.96967,0.9527950000000001,0.18,100,v5_production,2022-09-28 19:00:00+00:00,0.96967,SL,-71.00000000000034,-129.0600000000006,1.26,2.0,1
16,EURUSD,SELL,2022-10-13 13:00:00+00:00,0.97231,0.9752242857142858,0.9679385714285714,0.42,100,v5_production,2022-10-13 14:00:00+00:00,0.9752242857142858,SL,-32.64285714285758,-140.0400000000018,2.94,2.0,0
17,EURUSD,BUY,2022-10-25 14:00:00+00:00,0.98686,0.9872099999999999,0.9916664285714285,0.37,100,v5_production,2022-10-25 16:00:00+00:00,0.9916664285714285,TP,44.56428571428545,162.29785714285615,2.59,2.0,1
18,EURUSD,BUY,2022-10-27 14:00:00+00:00,1.00519,1.0018428571428573,1.0102107142857144,0.36,100,v5_production,2022-10-27 15:00:00+00:00,1.0018428571428573,SL,-36.97142857142771,-135.61714285713975,2.52,2.0,0
19,EURUSD,BUY,2022-10-28 11:00:00+00:00,0.99427,0.99462,0.9991899999999999,0.37,100,v5_production,2022-10-28 14:00:00+00:00,0.99462,SL_BE,-3.8546943414985435e-13,-2.5900000000014263,2.59,2.0,2
20,EURUSD,BUY,2022-11-17 13:00:00+00:00,1.03486,1.0312414285714284,1.040287857142857,0.33,100,v5_production,2022-11-17 15:00:00+00:00,1.0312414285714284,SL,-39.68571428571471,-133.27285714285856,2.31,2.0,1
21,EURUSD,BUY,2022-11-18 20:00:00+00:00,1.0332999999999999,1.0280357142857142,1.0411964285714286,0.23,100,v5_production,2022-11-21 06:00:00+00:00,1.0280357142857142,SL,-56.14285714285721,-130.73857142857162,1.61,2.0,9
22,EURUSD,BUY,2022-11-25 15:00:00+00:00,1.03747,1.03782,1.0433521428571428,0.3,100,v5_production,2022-11-28 00:00:00+00:00,1.03782,SL_BE,7.247535904753022e-13,-2.099999999997826,2.1,2.0,8
23,EURUSD,BUY,2022-12-09 16:00:00+00:00,1.05364,1.05399,1.0594042857142858,0.31,100,v5_production,2022-12-12 17:00:00+00:00,1.05399,SL_BE,7.247535904753022e-13,-2.1699999999977533,2.17,2.0,24
24,EURUSD,BUY,2022-12-15 20:00:00+00:00,1.06244,1.055957142857143,1.0721642857142857,0.18,100,v5_production,2022-12-20 08:00:00+00:00,1.05938,timeout,-34.10000000000063,-62.64000000000112,1.26,2.0,60
25,EURUSD,BUY,2022-12-27 16:00:00+00:00,1.06278,1.0631300000000001,1.06773,0.35,100,v5_production,2022-12-28 17:00:00+00:00,1.0631300000000001,SL_BE,7.247535904753022e-13,-2.449999999997463,2.4499999999999997,2.0,24
26,EURUSD,BUY,2023-01-26 18:00:00+00:00,1.08667,1.08702,1.092387142857143,0.31,100,v5_production,2023-01-30 17:00:00+00:00,1.08702,SL_BE,7.247535904753022e-13,-2.1699999999977533,2.17,2.0,46
27,EURUSD,SELL,2023-02-17 19:00:00+00:00,1.06766,1.06731,1.0620928571428572,0.31,100,v5_production,2023-02-22 07:00:00+00:00,1.06576,timeout,15.500000000000128,45.88000000000039,2.17,2.0,60
28,EURUSD,SELL,2023-02-27 13:00:00+00:00,1.05602,1.0582857142857143,1.0526214285714284,0.52,100,v5_production,2023-02-27 15:00:00+00:00,1.0582857142857143,SL,-26.157142857143153,-139.65714285714438,3.64,2.0,1
29,EURUSD,BUY,2023-03-02 10:00:00+00:00,1.06406,1.0620428571428573,1.0670857142857142,0.57,100,v5_production,2023-03-02 11:00:00+00:00,1.0620428571428573,SL,-23.671428571427175,-138.91714285713488,3.9899999999999998,2.0,0
30,EURUSD,BUY,2023-03-07 12:00:00+00:00,1.06627,1.06399,1.06969,0.5,100,v5_production,2023-03-07 17:00:00+00:00,1.06399,SL,-26.300000000000598,-135.00000000000298,3.5,2.0,4
31,EURUSD,SELL,2023-03-09 13:00:00+00:00,1.05691,1.0589742857142856,1.0538135714285715,0.54,100,v5_production,2023-03-09 20:00:00+00:00,1.0589742857142856,SL,-24.142857142856297,-134.15142857142402,3.7800000000000002,2.0,6
32,EURUSD,BUY,2023-03-13 18:00:00+00:00,1.07417,1.0692628571428573,1.0815307142857142,0.22,100,v5_production,2023-03-14 09:00:00+00:00,1.0692628571428573,SL,-52.57142857142777,-117.19714285714109,1.54,2.0,14
33,EURUSD,BUY,2023-03-31 11:00:00+00:00,1.08915,1.0869757142857144,1.0924114285714286,0.5,100,v5_production,2023-03-31 13:00:00+00:00,1.0869757142857144,SL,-25.242857142856842,-129.71428571428422,3.5,2.0,1
34,EURUSD,BUY,2023-04-05 14:00:00+00:00,1.09432,1.09467,1.0975,0.51,100,v5_production,2023-04-05 17:00:00+00:00,1.09467,SL_BE,7.247535904753022e-13,-3.569999999996304,3.5700000000000003,2.0,2
35,EURUSD,BUY,2023-04-27 16:00:00+00:00,1.1012,1.0976057142857143,1.1065914285714284,0.3,100,v5_production,2023-04-28 14:00:00+00:00,1.0976057142857143,SL,-39.44285714285661,-120.42857142856981,2.1,2.0,21
36,EURUSD,SELL,2023-05-19 15:00:00+00:00,1.0804,1.0831357142857143,1.0762964285714287,0.39,100,v5_production,2023-05-22 15:00:00+00:00,1.0831357142857143,SL,-30.857142857142858,-123.07285714285716,2.73,2.0,23
37,EURUSD,SELL,2023-05-30 15:00:00+00:00,1.07204,1.07169,1.0671157142857144,0.32,100,v5_production,2023-05-31 10:00:00+00:00,1.0671157142857144,TP,45.74285714285714,144.13714285714283,2.24,2.0,18
38,EURUSD,BUY,2023-06-09 13:00:00+00:00,1.07632,1.07667,1.0784264285714285,0.76,100,v5_production,2023-06-09 14:00:00+00:00,1.07667,SL_BE,7.247535904753022e-13,-5.319999999994492,5.32,2.0,0
39,EURUSD,BUY,2023-06-22 19:00:00+00:00,1.09566,1.0928071428571429,1.0999392857142858,0.37,100,v5_production,2023-06-23 08:00:00+00:00,1.0928071428571429,SL,-32.02857142857212,-121.09571428571685,2.59,2.0,12
40,EURUSD,BUY,2023-06-28 16:00:00+00:00,1.09369,1.0909900000000001,1.09774,0.39,100,v5_production,2023-06-28 17:00:00+00:00,1.0909900000000001,SL,-30.499999999999247,-121.67999999999707,2.73,2.0,0
41,EURUSD,BUY,2023-07-18 16:00:00+00:00,1.12286,1.1191414285714285,1.128437857142857,0.28,100,v5_production,2023-07-19 17:00:00+00:00,1.1191414285714285,SL,-40.685714285714596,-115.88000000000088,1.9600000000000002,2.0,24
42,EURUSD,SELL,2023-07-26 10:00:00+00:00,1.10676,1.1086671428571429,1.1038992857142857,0.53,100,v5_production,2023-07-26 21:00:00+00:00,1.1086671428571429,SL,-22.57142857142885,-123.3385714285729,3.71,2.0,10
43,EURUSD,SELL,2023-07-28 14:00:00+00:00,1.10074,1.104677142857143,1.0948342857142859,0.25,100,v5_production,2023-07-28 17:00:00+00:00,1.104677142857143,SL,-42.87142857142861,-108.92857142857153,1.75,2.0,2
44,EURUSD,SELL,2023-08-03 19:00:00+00:00,1.09533,1.0992785714285713,1.0894071428571428,0.25,100,v5_production,2023-08-04 15:00:00+00:00,1.0992785714285713,SL,-42.985714285714124,-109.21428571428531,1.75,2.0,19
45,EURUSD,SELL,2023-08-24 08:00:00+00:00,1.08689,1.0865399999999998,1.0844085714285714,0.59,100,v5_production,2023-08-24 14:00:00+00:00,1.0844085714285714,TP,21.314285714285234,121.62428571428288,4.13,2.0,5
46,EURUSD,BUY,2023-08-31 13:00:00+00:00,1.0875299999999999,1.0855314285714286,1.090527857142857,0.5,100,v5_production,2023-08-31 16:00:00+00:00,1.0855314285714286,SL,-23.48571428571294,-120.92857142856471,3.5,2.0,2
47,EURUSD,SELL,2023-09-08 09:00:00+00:00,1.07135,1.071,1.0686992857142856,0.55,100,v5_production,2023-09-08 15:00:00+00:00,1.071,SL_BE,7.247535904753022e-13,-3.8499999999960144,3.8500000000000005,2.0,5
48,EURUSD,SELL,2023-09-22 17:00:00+00:00,1.06563,1.06528,1.0609864285714286,0.32,100,v5_production,2023-09-25 16:00:00+00:00,1.0609864285714286,TP,42.93571428571524,135.15428571428876,2.24,2.0,22
49,EURUSD,SELL,2023-09-28 14:00:00+00:00,1.05392,1.0564671428571428,1.0500992857142857,0.39,100,v5_production,2023-09-28 17:00:00+00:00,1.0564671428571428,SL,-28.97142857142859,-115.71857142857151,2.73,2.0,2
50,EURUSD,SELL,2023-09-29 08:00:00+00:00,1.05745,1.0594457142857143,1.0544564285714286,0.49,100,v5_production,2023-09-29 10:00:00+00:00,1.0594457142857143,SL,-23.45714285714323,-118.37000000000182,3.4299999999999997,2.0,1
51,EURUSD,SELL,2023-10-04 13:00:00+00:00,1.05015,1.052722857142857,1.046290714285714,0.37,100,v5_production,2023-10-04 15:00:00+00:00,1.052722857142857,SL,-29.228571428571545,-110.7357142857147,2.59,2.0,1
