trade_id,symbol,direction,entry_time,entry_price,stop_loss,take_profit,lot_size,confidence,strategy,exit_time,exit_price,exit_reason,pnl_pips,pnl_usd,commission_usd,slippage_pips,hold_bars
1,EURUSD,BUY,2022-05-20 17:00:00+00:00,1.05592,1.0550192857142857,1.058622142857143,1.0,100,v8_final,2022-05-20 18:00:00+00:00,1.0550192857142857,SL,-12.507142857142547,-132.07142857142549,7.0,2.0,0
2,EURUSD,SELL,2022-06-14 10:00:00+00:00,1.0466,1.0487121428571429,1.0434317857142856,0.56,100,v8_final,2022-06-14 12:00:00+00:00,1.0434317857142856,TP,28.182142857143436,153.90000000000327,3.9200000000000004,2.0,1
3,EURUSD,BUY,2022-10-28 11:00:00+00:00,0.99427,0.9934499999999999,0.99673,1.0,100,v8_final,2022-10-28 14:00:00+00:00,0.99673,TP,21.100000000000176,204.00000000000176,7.0,2.0,2
4,EURUSD,BUY,2022-12-27 16:00:00+00:00,1.06278,1.0616725,1.065255,1.0,100,v8_final,2022-12-27 17:00:00+00:00,1.065255,TP,21.25000000000005,205.5000000000005,7.0,2.0,0
5,EURUSD,BUY,2023-03-07 12:00:00+00:00,1.06627,1.065399,1.0679800000000002,1.0,100,v8_final,2023-03-07 14:00:00+00:00,1.065399,SL,-12.210000000000662,-129.10000000000662,7.0,2.0,1
6,EURUSD,BUY,2023-03-13 18:00:00+00:00,1.07417,1.0717164285714287,1.0778503571428573,0.5,100,v8_final,2023-03-14 02:00:00+00:00,1.0717164285714287,SL,-28.035714285713883,-143.67857142856943,3.5,2.0,7
7,EURUSD,SELL,2023-05-30 15:00:00+00:00,1.07204,1.0736814285714287,1.0695778571428571,0.74,100,v8_final,2023-05-30 16:00:00+00:00,1.0736814285714287,SL,-19.914285714285715,-152.5457142857143,5.18,2.0,0
8,EURUSD,BUY,2023-06-09 13:00:00+00:00,1.07632,1.0757046785714286,1.0773732142857142,1.0,100,v8_final,2023-06-09 14:00:00+00:00,1.0773732142857142,TP,7.032142857142546,63.32142857142546,7.0,2.0,0
9,EURUSD,BUY,2023-07-18 16:00:00+00:00,1.12286,1.1219303571428572,1.1256489285714286,1.0,100,v8_final,2023-07-18 19:00:00+00:00,1.1219303571428572,SL,-12.796428571428095,-134.96428571428095,7.0,2.0,2
10,EURUSD,SELL,2023-07-28 15:00:00+00:00,1.10073,1.1021497142857144,1.097532857142857,0.84,100,v8_final,2023-07-28 17:00:00+00:00,1.1021497142857144,SL,-17.69714285714413,-154.5360000000107,5.88,2.0,1
