symbol,description,currency_base,currency_profit,digits,point,trade_mode,volume_min,volume_max,volume_step
BTCUSDm,Bitcoin vs US Dollar,BTC,USD,2,0.01,4,0.01,200.0,0.01
ETHUSDm,Ethereum vs US Dollar,ETH,USD,2,0.01,4,0.1,2000.0,0.01
NZDCHFm,New Zealand Dollar vs Swiss Franc,NZD,CHF,5,1e-05,4,0.01,200.0,0.01
NZDCZKm,New Zealand Dollar vs Czech Koruna,NZD,CZK,4,0.0001,0,0.01,200.0,0.01
NZDDKKm,New Zealand Dollar vs Danish Krona,NZD,DKK,5,1e-05,4,0.01,200.0,0.01
NZDHUFm,New Zealand Dollar vs Forint,NZD,HUF,3,0.001,0,0.01,200.0,0.01
NZDJPYm,New Zealand Dollar vs Japanese Yen,NZD,JPY,3,0.001,4,0.01,200.0,0.01
NZDMXNm,New Zealand Dollar vs Mexican Peso,NZD,MXN,5,1e-05,4,0.01,200.0,0.01
NZDNOKm,New Zealand Dollar vs Norwegian Krona,NZD,NOK,5,1e-05,4,0.01,200.0,0.01
NZDPLNm,New Zealand Dollar vs Zloty,NZD,PLN,5,1e-05,4,0.01,200.0,0.01
NZDSEKm,New Zealand Dollar vs Swedish Krona,NZD,SEK,5,1e-05,4,0.01,200.0,0.01
NZDSGDm,New Zealand Dollar vs Singapore Dollar,NZD,SGD,5,1e-05,4,0.01,200.0,0.01
NZDTRYm,New Zealand Dollar vs New Turkish Lira,NZD,TRY,5,1e-05,3,0.01,200.0,0.01
NZDUSDm,New Zealand Dollar vs US Dollar,NZD,USD,5,1e-05,4,0.01,200.0,0.01
NZDZARm,New Zealand Dollar vs South African Rand,NZD,ZAR,5,1e-05,4,0.01,200.0,0.01
PLNDKKm,Zloty vs Danish Krona,PLN,DKK,5,1e-05,4,0.01,200.0,0.01
PLNHUFm,Zloty vs Forint,PLN,HUF,4,0.0001,0,0.01,200.0,0.01
PLNJPYm,Zloty vs Japanese Yen,PLN,JPY,4,0.0001,4,0.01,200.0,0.01
PLNSEKm,Zloty vs Swedish Krona,PLN,SEK,5,1e-05,4,0.01,200.0,0.01
SEKDKKm,Swedish Krona vs Danish Krona,SEK,DKK,5,1e-05,4,0.01,200.0,0.01
SEKJPYm,Swedish Krona vs Japanese Yen,SEK,JPY,3,0.001,4,0.01,200.0,0.01
SEKPLNm,Swedish Krona vs Romanian Leu New,SEK,PLN,5,1e-05,0,0.01,200.0,0.01
SGDHKDm,Singapore Dollar vs Hong Kong Dollar,SGD,HKD,5,1e-05,4,0.01,200.0,0.01
SGDJPYm,Singapore Dollar vs Japanese Yen,SGD,JPY,3,0.001,4,0.01,200.0,0.01
TRYDKKm,New Turkish Lira vs Danish Krona,TRY,DKK,4,0.0001,3,0.01,200.0,0.01
TRYJPYm,New Turkish Lira vs Japanese Yen,TRY,JPY,3,0.001,3,0.01,200.0,0.01
TRYZARm,New Turkish Lira vs South African Rand,TRY,ZAR,5,1e-05,3,0.01,200.0,0.01
USDCADm,US Dollar vs Canadian Dollar,USD,CAD,5,1e-05,4,0.01,200.0,0.01
USDCHFm,US Dollar vs Swiss Franc,USD,CHF,5,1e-05,4,0.01,200.0,0.01
USDCNHm,US Dollar vs offshore Chinese Renminbi,USD,CNH,5,1e-05,4,0.01,200.0,0.01
USDCZKm,US Dollar vs Czech Koruna,USD,CZK,4,0.0001,0,0.01,200.0,0.01
USDDKKm,US Dollar vs Danish Krona,USD,DKK,5,1e-05,4,0.01,200.0,0.01
USDHKDm,US Dollar vs Hong Kong Dollar,USD,HKD,5,1e-05,4,0.01,200.0,0.01
USDILSm,US Dollar vs New Israeli Shekel,USD,ILS,5,1e-05,4,0.01,200.0,0.01
USDJPYm,US Dollar vs Japanese Yen,USD,JPY,3,0.001,4,0.01,300.0,0.01
USDMXNm,US Dollar vs Mexican Peso,USD,MXN,5,1e-05,4,0.01,200.0,0.01
USDNOKm,US Dollar vs Norwegian Krona,USD,NOK,5,1e-05,4,0.01,200.0,0.01
USDPLNm,US Dollar vs Zloty,USD,PLN,5,1e-05,4,0.01,200.0,0.01
USDSEKm,US Dollar vs Swedish Krona,USD,SEK,5,1e-05,4,0.01,200.0,0.01
USDSGDm,US Dollar vs Singapore Dollar,USD,SGD,5,1e-05,4,0.01,200.0,0.01
USDTHBm,US Dollar vs Thai Baht,USD,THB,4,0.0001,4,0.01,200.0,0.01
USDTRYm,US Dollar vs New Turkish Lira,USD,TRY,5,1e-05,3,0.01,200.0,0.01
USDZARm,US Dollar vs South African Rand,USD,ZAR,5,1e-05,4,0.01,200.0,0.01
XAGAUDm,Silver vs Australian Dollar,XAG,AUD,3,0.001,4,0.01,200.0,0.01
XAGEURm,Silver vs Euro,XAG,EUR,3,0.001,4,0.01,200.0,0.01
XAGGBPm,Silver vs Great Britain Pound,XAG,GBP,3,0.001,4,0.01,200.0,0.01
XAGJPYm,Silver vs Japanese Yen,XAG,JPY,2,0.01,0,0.01,200.0,0.01
XAGUSDm,Silver vs US Dollar,XAG,USD,3,0.001,4,0.01,200.0,0.01
XAUAUDm,Gold vs Australian Dollar,XAU,AUD,3,0.001,4,0.01,200.0,0.01
