2026-07-30 22:13:17 | INFO    | pipeline.phase10_walkforward | [Phase 10: Walk-Forward Validation] Starting...
2026-07-30 22:13:19 | INFO    | pipeline.phase10_walkforward |   EURUSD fold 1: acc=0.3313 f1=0.3131
2026-07-30 22:13:20 | INFO    | pipeline.phase10_walkforward |   EURUSD fold 2: acc=0.3160 f1=0.2656
2026-07-30 22:13:23 | INFO    | pipeline.phase10_walkforward |   EURUSD fold 3: acc=0.4390 f1=0.3507
2026-07-30 22:13:25 | INFO    | pipeline.phase10_walkforward |   EURUSD fold 4: acc=0.3901 f1=0.3721
2026-07-30 22:13:28 | INFO    | pipeline.phase10_walkforward |   EURUSD fold 5: acc=0.3863 f1=0.3488
2026-07-30 22:13:28 | INFO    | pipeline.phase10_walkforward |   EURUSD WF avg: acc=0.3725 f1=0.3301 (5 folds)
2026-07-30 22:13:28 | INFO    | pipeline.phase10_walkforward | [Phase 10: Walk-Forward Validation] Completed in 0m 11.3s
2026-07-30 23:24:43 | INFO    | pipeline.phase10_walkforward | [Phase 10: Walk-Forward Validation] Starting...
2026-07-30 23:24:46 | INFO    | pipeline.phase10_walkforward |   USDJPY fold 1: acc=0.3545 f1=0.3267
2026-07-30 23:24:49 | INFO    | pipeline.phase10_walkforward |   USDJPY fold 2: acc=0.3005 f1=0.2832
2026-07-30 23:24:54 | INFO    | pipeline.phase10_walkforward |   USDJPY fold 3: acc=0.2687 f1=0.2049
2026-07-30 23:24:58 | INFO    | pipeline.phase10_walkforward |   USDJPY fold 4: acc=0.3617 f1=0.3588
