2026-07-30 21:05:15 | INFO    | pipeline.phase8_train | [Phase 8: Model Training] Starting...
2026-07-30 21:05:15 | INFO    | pipeline.phase8_train |   Training EURUSD xgboost...
2026-07-30 21:05:19 | INFO    | pipeline.phase8_train |     EURUSD xgboost: accuracy=0.4614 (3.4s)
2026-07-30 21:05:19 | INFO    | pipeline.phase8_train |   Training EURUSD lightgbm...
2026-07-30 21:05:28 | INFO    | pipeline.phase8_train |     EURUSD lightgbm: accuracy=0.4614 (8.6s, stopped at round 9/200)
2026-07-30 21:05:28 | INFO    | pipeline.phase8_train |   Training EURUSD catboost...
2026-07-30 21:05:31 | INFO    | pipeline.phase8_train |     EURUSD catboost: accuracy=0.4669 (2.9s, stopped at round 24/200)
2026-07-30 21:05:31 | INFO    | pipeline.phase8_train |   Training EURUSD random_forest...
2026-07-30 21:05:43 | INFO    | pipeline.phase8_train |     EURUSD random_forest: accuracy=0.3163 (12.2s)
2026-07-30 21:05:50 | INFO    | pipeline.phase8_train |   Training EURUSD ppo RL (500000 timesteps)...
2026-07-30 21:05:55 | INFO    | pipeline.phase8_train |     EURUSD ppo: RL training started (500,000 timesteps)
2026-07-30 21:07:37 | INFO    | pipeline.phase8_train |     EURUSD ppo: 25,000/500,000 (5%) -- 1.7m elapsed, ~32.3m remaining
2026-07-30 21:09:37 | INFO    | pipeline.phase8_train |     EURUSD ppo: 50,000/500,000 (10%) -- 3.7m elapsed, ~33.3m remaining
2026-07-30 21:11:22 | INFO    | pipeline.phase8_train |     EURUSD ppo: 75,000/500,000 (15%) -- 5.5m elapsed, ~30.9m remaining
2026-07-30 21:13:34 | INFO    | pipeline.phase8_train |     EURUSD ppo: 100,000/500,000 (20%) -- 7.6m elapsed, ~30.6m remaining
2026-07-30 21:15:50 | INFO    | pipeline.phase8_train |     EURUSD ppo: 125,000/500,000 (25%) -- 9.9m elapsed, ~29.7m remaining
2026-07-30 21:17:47 | INFO    | pipeline.phase8_train |     EURUSD ppo: 150,000/500,000 (30%) -- 11.9m elapsed, ~27.7m remaining
2026-07-30 21:20:07 | INFO    | pipeline.phase8_train |     EURUSD ppo: 175,000/500,000 (35%) -- 14.2m elapsed, ~26.4m remaining
2026-07-30 21:22:17 | INFO    | pipeline.phase8_train |     EURUSD ppo: 200,000/500,000 (40%) -- 16.4m elapsed, ~24.5m remaining
2026-07-30 21:24:20 | INFO    | pipeline.phase8_train |     EURUSD ppo: 225,000/500,000 (45%) -- 18.4m elapsed, ~22.5m remaining
2026-07-30 21:26:35 | INFO    | pipeline.phase8_train |     EURUSD ppo: 250,000/500,000 (50%) -- 20.7m elapsed, ~20.7m remaining
2026-07-30 21:28:56 | INFO    | pipeline.phase8_train |     EURUSD ppo: 275,000/500,000 (55%) -- 23.0m elapsed, ~18.8m remaining
2026-07-30 21:30:59 | INFO    | pipeline.phase8_train |     EURUSD ppo: 300,000/500,000 (60%) -- 25.1m elapsed, ~16.7m remaining
2026-07-30 21:33:12 | INFO    | pipeline.phase8_train |     EURUSD ppo: 325,000/500,000 (65%) -- 27.3m elapsed, ~14.7m remaining
2026-07-30 21:35:00 | INFO    | pipeline.phase8_train |     EURUSD ppo: 350,000/500,000 (70%) -- 29.1m elapsed, ~12.5m remaining
2026-07-30 21:36:58 | INFO    | pipeline.phase8_train |     EURUSD ppo: 375,000/500,000 (75%) -- 31.0m elapsed, ~10.3m remaining
2026-07-30 21:38:56 | INFO    | pipeline.phase8_train |     EURUSD ppo: 400,000/500,000 (80%) -- 33.0m elapsed, ~8.3m remaining
2026-07-30 21:40:50 | INFO    | pipeline.phase8_train |     EURUSD ppo: 425,000/500,000 (85%) -- 34.9m elapsed, ~6.2m remaining
2026-07-30 21:42:40 | INFO    | pipeline.phase8_train |     EURUSD ppo: 450,000/500,000 (90%) -- 36.8m elapsed, ~4.1m remaining
2026-07-30 21:44:31 | INFO    | pipeline.phase8_train |     EURUSD ppo: 475,000/500,000 (95%) -- 38.6m elapsed, ~2.0m remaining
2026-07-30 21:46:26 | INFO    | pipeline.phase8_train |     EURUSD ppo: 500,000/500,000 (100%) -- 40.5m elapsed, ~0.0m remaining
2026-07-30 21:46:36 | INFO    | pipeline.phase8_train |     EURUSD ppo: saved to D:\Projects\forex\data\trained_models\EURUSD\ppo\model.zip (2445.1s)
2026-07-30 21:46:36 | INFO    | pipeline.phase8_train |   Training EURUSD a2c RL (500000 timesteps)...
