trade_id,symbol,direction,entry_time,entry_price,stop_loss,take_profit,lot_size,confidence,strategy,exit_time,exit_price,exit_reason,pnl_pips,pnl_usd,commission_usd,slippage_pips,hold_bars
1,EURUSD,SELL,2024-01-26 09:00:00+00:00,1.08175,1.0827385714285713,1.0802671428571429,1.0,100,v11_recommended,2024-01-26 10:00:00+00:00,1.0827385714285713,SL,-13.385714285713387,-140.85714285713388,7.0,2.0,0
2,EURUSD,SELL,2024-03-27 10:00:00+00:00,1.08266,1.083478857142857,1.0818435714285715,1.0,100,v11_recommended,2024-03-27 11:00:00+00:00,1.083478857142857,SL,-11.688571428571212,-123.88571428571211,7.0,2.0,0
3,EURUSD,SELL,2024-04-02 08:00:00+00:00,1.0724500000000001,1.073054285714286,1.0715435714285715,1.0,100,v11_recommended,2024-04-02 09:00:00+00:00,1.073054285714286,SL,-9.542857142858349,-102.4285714285835,7.0,2.0,0
4,EURUSD,BUY,2024-05-20 07:00:00+00:00,1.08827,1.0876857142857144,1.0891464285714285,1.0,100,v11_recommended,2024-05-20 10:00:00+00:00,1.0876857142857144,SL,-9.342857142857039,-100.4285714285704,7.0,2.0,2
5,EURUSD,SELL,2024-06-14 09:00:00+00:00,1.07229,1.0729685714285715,1.0712721428571428,1.0,100,v11_recommended,2024-06-14 10:00:00+00:00,1.0712721428571428,TP,6.678571428571814,59.78571428571814,7.0,2.0,0
6,EURUSD,SELL,2025-08-22 08:00:00+00:00,1.15842,1.1593542857142858,1.1570185714285715,1.0,100,v11_recommended,2025-08-22 09:00:00+00:00,1.1593542857142858,SL,-12.842857142857763,-135.42857142857764,7.0,2.0,0
7,EURUSD,BUY,2025-11-13 17:00:00+00:00,1.1641,1.162257857142857,1.1668632142857143,0.62,100,v11_recommended,2025-11-14 10:00:00+00:00,1.162257857142857,SL,-21.921428571429033,-140.25285714286,4.34,2.0,16
8,EURUSD,BUY,2025-12-16 18:00:00+00:00,1.1771099999999999,1.1740662857142858,1.1797628571428571,0.37,100,v11_recommended,2025-12-16 21:00:00+00:00,1.1740662857142858,SL,-33.93714285714039,-128.15742857141942,2.59,2.0,2
9,EURUSD,BUY,2026-05-06 17:00:00+00:00,1.1757,1.1709998571428573,1.1793010714285714,0.23,100,v11_recommended,2026-05-08 09:00:00+00:00,1.17443,timeout,-16.199999999998823,-38.8699999999973,1.61,2.0,40
1,GBPUSD,SELL,2022-03-02 08:00:00+00:00,1.32871,1.3304414285714288,1.326112857142857,0.69,100,v11_recommended,2022-03-02 10:00:00+00:00,1.3304414285714288,SL,-20.81428571428717,-148.44857142858146,4.83,2.0,1
2,GBPUSD,BUY,2022-05-26 13:00:00+00:00,1.26187,1.2594114285714286,1.2655578571428572,0.48,100,v11_recommended,2022-05-26 14:00:00+00:00,1.2594114285714286,SL,-28.08571428571421,-138.17142857142824,3.36,2.0,0
3,GBPUSD,SELL,2022-06-07 14:00:00+00:00,1.24898,1.2538717142857143,1.2452921428571428,0.24,100,v11_recommended,2022-06-07 16:00:00+00:00,1.2538717142857143,SL,-52.417142857143325,-127.481142857144,1.68,2.0,1
4,GBPUSD,SELL,2022-06-22 14:00:00+00:00,1.2234800000000001,1.2281338571428573,1.2197760714285715,0.25,100,v11_recommended,2022-06-22 16:00:00+00:00,1.2281338571428573,SL,-50.03857142857154,-126.84642857142885,1.75,2.0,1
5,GBPUSD,BUY,2022-07-28 11:00:00+00:00,1.2188999999999999,1.216735,1.2221475,0.52,100,v11_recommended,2022-07-28 12:00:00+00:00,1.216735,SL,-25.149999999999725,-134.41999999999857,3.64,2.0,0
6,GBPUSD,BUY,2023-03-17 12:00:00+00:00,1.21377,1.2121614285714286,1.216182857142857,0.7,100,v11_recommended,2023-03-17 13:00:00+00:00,1.2121614285714286,SL,-19.585714285714037,-141.99999999999827,4.8999999999999995,2.0,0
7,GBPUSD,BUY,2023-06-01 13:00:00+00:00,1.24658,1.2449064285714286,1.249090357142857,0.66,100,v11_recommended,2023-06-01 15:00:00+00:00,1.2449064285714286,SL,-20.235714285713854,-138.17571428571145,4.62,2.0,1
8,GBPUSD,BUY,2023-07-10 19:00:00+00:00,1.2847899999999999,1.282717857142857,1.2878982142857143,0.52,100,v11_recommended,2023-07-11 06:00:00+00:00,1.2878982142857143,TP,27.582142857143946,139.78714285714852,3.64,2.0,10
9,GBPUSD,BUY,2023-11-23 20:00:00+00:00,1.25358,1.2517571428571428,1.2563142857142857,0.6,100,v11_recommended,2023-11-24 11:00:00+00:00,1.2563142857142857,TP,23.842857142858,138.85714285714803,4.2,2.0,14
10,GBPUSD,SELL,2024-02-01 16:00:00+00:00,1.26638,1.2682792857142857,1.2635310714285715,0.59,100,v11_recommended,2024-02-01 17:00:00+00:00,1.2682792857142857,SL,-22.49285714285659,-136.83785714285386,4.13,2.0,0
11,GBPUSD,SELL,2024-10-03 07:00:00+00:00,1.32418,1.3254564285714285,1.322265357142857,0.86,100,v11_recommended,2024-10-03 08:00:00+00:00,1.322265357142857,TP,15.646428571428231,128.53928571428278,6.02,2.0,0
12,GBPUSD,SELL,2024-10-09 14:00:00+00:00,1.3082,1.3106974285714286,1.3061942857142859,0.45,100,v11_recommended,2024-10-09 20:00:00+00:00,1.3061942857142859,TP,16.557142857141663,71.35714285713748,3.15,2.0,5
13,GBPUSD,SELL,2024-12-19 17:00:00+00:00,1.25477,1.2570842857142857,1.2512985714285714,0.49,100,v11_recommended,2024-12-19 19:00:00+00:00,1.2512985714285714,TP,31.214285714285694,149.5199999999999,3.4299999999999997,2.0,1
14,GBPUSD,SELL,2026-03-12 13:00:00+00:00,1.33547,1.3373621428571427,1.3326317857142855,0.6,100,v11_recommended,2026-03-12 15:00:00+00:00,1.3373621428571427,SL,-22.421428571427867,-138.7285714285672,4.2,2.0,1
15,GBPUSD,SELL,2026-05-15 07:00:00+00:00,1.3361100000000001,1.3385414285714288,1.3324628571428572,0.46,100,v11_recommended,2026-05-15 13:00:00+00:00,1.3385414285714288,SL,-27.8142857142864,-131.16571428571746,3.22,2.0,5
1,USDJPY,SELL,2022-05-19 11:00:00+00:00,127.831,128.141,127.366,0.49,100,v11_recommended,2022-05-19 15:00:00+00:00,127.366,TP,43.00000000000034,161.39699814599092,3.4299999999999997,2.0,3
2,USDJPY,BUY,2023-01-06 07:00:00+00:00,134.178,133.89342857142856,134.60485714285716,0.57,100,v11_recommended,2023-01-06 09:00:00+00:00,133.89342857142856,SL,-31.957142857143936,-139.74676659789267,3.9899999999999998,2.0,1
3,USDJPY,BUY,2023-02-15 08:00:00+00:00,133.341,133.11235714285715,133.6839642857143,0.7,100,v11_recommended,2023-02-15 14:00:00+00:00,133.6839642857143,TP,30.796428571428805,156.7719538626541,4.8999999999999995,2.0,5
4,USDJPY,BUY,2024-11-06 18:00:00+00:00,154.603,154.16235714285716,155.2639642857143,0.43,100,v11_recommended,2024-11-07 06:00:00+00:00,154.16235714285716,SL,-47.56428571428478,-135.30137117095043,3.01,2.0,11
5,USDJPY,BUY,2024-11-13 08:00:00+00:00,155.06,154.86121428571428,155.35817857142857,0.94,100,v11_recommended,2024-11-13 11:00:00+00:00,154.86121428571428,SL,-23.378571428571945,-148.30486226530135,6.58,2.0,2
6,USDJPY,BUY,2025-03-26 12:00:00+00:00,150.198,150.00842857142857,150.48235714285715,0.94,100,v11_recommended,2025-03-26 15:00:00+00:00,150.48235714285715,TP,24.935714285714653,149.4778132103741,6.58,2.0,2
7,USDJPY,BUY,2025-07-17 19:00:00+00:00,148.637,148.3095142857143,149.00064285714285,0.55,100,v11_recommended,2025-07-18 01:00:00+00:00,148.3095142857143,SL,-36.24857142857002,-137.9802252179034,3.8500000000000005,2.0,5
1,AUDUSD,SELL,2022-03-14 18:00:00+00:00,0.72143,0.7232335714285715,0.7187246428571429,0.67,100,v11_recommended,2022-03-14 22:00:00+00:00,0.7187246428571429,TP,23.553571428571342,153.118928571428,4.69,2.0,3
2,AUDUSD,SELL,2022-05-06 09:00:00+00:00,0.7064400000000001,0.7084214285714286,0.7034678571428572,0.61,100,v11_recommended,2022-05-06 10:00:00+00:00,0.7084214285714286,SL,-23.314285714285784,-146.48714285714328,4.27,2.0,0
3,AUDUSD,BUY,2022-11-11 07:00:00+00:00,0.66494,0.6624407142857143,0.6686889285714286,0.48,100,v11_recommended,2022-11-11 15:00:00+00:00,0.6686889285714286,TP,33.98928571428611,159.78857142857333,3.36,2.0,7
4,AUDUSD,BUY,2023-01-13 10:00:00+00:00,0.69867,0.697155,0.7009425,0.81,100,v11_recommended,2023-01-13 11:00:00+00:00,0.697155,SL,-18.65000000000044,-156.73500000000357,5.67,2.0,0
5,AUDUSD,SELL,2023-02-27 07:00:00+00:00,0.66978,0.6710014285714286,0.6679478571428572,0.98,100,v11_recommended,2023-02-27 08:00:00+00:00,0.6710014285714286,SL,-15.714285714285955,-160.86000000000234,6.859999999999999,2.0,0
6,AUDUSD,BUY,2023-05-05 19:00:00+00:00,0.67552,0.67416,0.6775599999999999,0.87,100,v11_recommended,2023-05-08 00:00:00+00:00,0.67416,SL,-17.10000000000028,-154.86000000000243,6.09,2.0,4
7,AUDUSD,BUY,2024-03-07 09:00:00+00:00,0.6590699999999999,0.658225,0.6603374999999999,1.0,100,v11_recommended,2024-03-07 12:00:00+00:00,0.6603374999999999,TP,9.17499999999977,84.7499999999977,7.0,2.0,2
8,AUDUSD,SELL,2024-10-15 20:00:00+00:00,0.66976,0.6708028571428571,0.6681957142857143,1.0,100,v11_recommended,2024-10-16 02:00:00+00:00,0.6681957142857143,TP,12.142857142856847,114.42857142856847,7.0,2.0,5
9,AUDUSD,SELL,2024-11-06 12:00:00+00:00,0.6579,0.660595,0.6538575,0.44,100,v11_recommended,2024-11-07 04:00:00+00:00,0.660595,SL,-30.450000000000028,-137.06000000000014,3.08,2.0,15
10,AUDUSD,BUY,2025-05-06 16:00:00+00:00,0.6476,0.6463014285714285,0.6495478571428571,0.9,100,v11_recommended,2025-05-06 19:00:00+00:00,0.6495478571428571,TP,15.978571428571676,137.50714285714508,6.3,2.0,2
11,AUDUSD,BUY,2026-01-22 13:00:00+00:00,0.68152,0.6801871428571429,0.6835192857142858,0.89,100,v11_recommended,2026-01-22 18:00:00+00:00,0.6835192857142858,TP,16.492857142857588,140.55642857143255,6.23,2.0,4
1,USDCHF,BUY,2022-03-22 12:00:00+00:00,0.9353199999999999,0.93284,0.9371949999999999,0.48,100,v11_recommended,2022-03-22 14:00:00+00:00,0.93284,SL,-28.299999999999265,-139.19999999999646,3.36,2.0,1
2,USDCHF,BUY,2022-07-14 20:00:00+00:00,0.98458,0.9812982857142857,0.9878178571428572,0.36,100,v11_recommended,2022-07-15 05:00:00+00:00,0.9812982857142857,SL,-36.317142857143324,-133.26171428571595,2.52,2.0,8
3,USDCHF,SELL,2022-07-22 13:00:00+00:00,0.96523,0.9665964285714286,0.9631803571428571,0.85,100,v11_recommended,2022-07-22 16:00:00+00:00,0.9631803571428571,TP,16.996428571429302,138.51964285714905,5.95,2.0,2
4,USDCHF,BUY,2023-10-03 08:00:00+00:00,0.91969,0.9188428571428572,0.9209607142857142,1.0,100,v11_recommended,2023-10-03 09:00:00+00:00,0.9188428571428572,SL,-11.971428571428241,-126.71428571428241,7.0,2.0,0
5,USDCHF,SELL,2023-10-18 20:00:00+00:00,0.8975500000000001,0.9003937142857142,0.8950471428571429,0.41,100,v11_recommended,2023-10-19 18:00:00+00:00,0.8950471428571429,TP,21.5285714285714,85.39714285714273,2.8699999999999997,2.0,21
6,USDCHF,BUY,2024-04-02 08:00:00+00:00,0.9067,0.9060542857142857,0.9076685714285714,1.0,100,v11_recommended,2024-04-02 09:00:00+00:00,0.9076685714285714,TP,6.1857142857142975,54.857142857142975,7.0,2.0,0
7,USDCHF,SELL,2024-05-15 18:00:00+00:00,0.90393,0.9051657142857144,0.9020764285714286,0.96,100,v11_recommended,2024-05-15 23:00:00+00:00,0.9020764285714286,TP,15.035714285714544,137.6228571428596,6.72,2.0,4
8,USDCHF,SELL,2025-10-24 07:00:00+00:00,0.7952400000000001,0.7966517142857142,0.7941021428571429,0.85,100,v11_recommended,2025-10-24 14:00:00+00:00,0.7966517142857142,SL,-17.61714285714183,-155.69571428570552,5.95,2.0,6
1,USDCAD,BUY,2022-08-19 09:00:00+00:00,1.29719,1.2959578571428572,1.2990382142857144,0.97,100,v11_recommended,2022-08-19 13:00:00+00:00,1.2990382142857144,TP,14.982142857143558,138.5367857142925,6.79,2.0,3
2,USDCAD,SELL,2022-11-11 07:00:00+00:00,1.33025,1.3328149999999999,1.3264025,0.47,100,v11_recommended,2022-11-11 15:00:00+00:00,1.3264025,TP,34.97500000000004,161.09250000000017,3.29,2.0,7
3,USDCAD,SELL,2022-12-30 10:00:00+00:00,1.35318,1.3543800000000001,1.35138,1.0,100,v11_recommended,2022-12-30 11:00:00+00:00,1.3543800000000001,SL,-15.500000000000899,-162.00000000000898,7.0,2.0,0
4,USDCAD,SELL,2023-01-13 10:00:00+00:00,1.33335,1.3350342857142858,1.3308235714285714,0.72,100,v11_recommended,2023-01-13 11:00:00+00:00,1.3350342857142858,SL,-20.342857142858048,-151.50857142857794,5.04,2.0,0
