Symbol,Group,Digits,PipSize,Spread(pips),Spread(pts),BrokerMinSL(pts),BrokerMinSL(pips),Freeze(pts),SafeMinSLTP(pips),MinLot,PipValue
BTCAUDm,Crypto,1,0.1,0.0,0.0,0,0.0,0,1.0,0.5,0.072
BTCCNHm,Crypto,1,0.1,0.0,0.0,0,0.0,0,1.0,0.5,0.015
BTCJPYm,Crypto,0,1.0,0.0,0.0,0,0.0,0,1.0,0.01,0.006
BTCTHBm,Crypto,0,1.0,0.0,0.0,0,0.0,0,1.0,0.5,0.03
BTCUSDTm,Crypto,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,
BTCUSDm,Crypto,2,0.01,1000.0,1000.0,0,0.0,0,10000.0,0.01,0.01
BTCZARm,Crypto,0,1.0,0.0,0.0,0,0.0,0,1.0,0.5,0.063
ETHBTCm,Crypto,6,1e-06,0.0,0.0,0,0.0,0,1.0,0.01,7.868
ETHUSDm,Crypto,2,0.01,100.0,100.0,0,0.0,0,1000.0,0.1,0.01
USDTHBm,Crypto,4,0.0001,3000.0,3000.0,0,0.0,0,30000.0,0.01,0.303
USDTRYm,Crypto,5,0.0001,535.6,5356.0,0,0.0,0,5356.1,0.01,0.208
AAPLm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
ABBVm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
ABTm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
ADBEm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
ADPm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
AMDm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
AMGNm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
AMTm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
AMZNm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
AUDCADm,Forex,5,0.0001,1.8,18.0,0,0.0,0,18.0,0.01,7.202
AUDCHFm,Forex,5,0.0001,0.9,9.0,0,0.0,0,9.1,0.01,12.414
AUDDKKm,Forex,5,0.0001,101.0,1010.0,0,0.0,0,1010.0,0.01,1.558
AUDJPYm,Forex,3,0.01,1.1,11.0,0,0.0,0,11.0,0.01,6.274
AUDMXNm,Forex,5,0.0001,95.8,958.0,0,0.0,0,958.0,0.01,0.59
AUDNOKm,Forex,5,0.0001,124.9,1249.0,0,0.0,0,1249.1,0.01,1.068
AUDNZDm,Forex,5,0.0001,1.8,18.0,0,0.0,0,18.1,0.01,5.95
AUDPLNm,Forex,5,0.0001,208.1,2081.0,0,0.0,0,2081.0,0.01,2.693
AUDSEKm,Forex,5,0.0001,386.3,3863.0,0,0.0,0,3863.1,0.01,1.049
AUDSGDm,Forex,5,0.0001,5.3,53.0,0,0.0,0,53.1,0.01,7.864
AUDTRYm,Forex,5,0.0001,1400.1,14001.0,0,0.0,0,14001.0,0.01,0.208
AUDUSDm,Forex,5,0.0001,0.9,9.0,0,0.0,0,9.1,0.01,10.0
AUDZARm,Forex,5,0.0001,232.5,2325.0,0,0.0,0,2325.0,0.01,0.626
AUS200m,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.06,0.007
AVGOm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
BABAm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
BACm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
BAm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
BEKEm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
BIDUm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
BIIBm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
BILIm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
BMYm,Forex,2,0.01,0.0,0.0,0,0.0,0,1.0,0.01,1.0
